variant,n_semi_rows,images,workers,buildings,transport_within_task_R2,assumption
calculation_valid_104,104,25,23,9,0.11823474463566719,unscaled Manual worker effect transported to Semi; exploratory only
raw_valid_103,103,25,23,9,0.11824797811192256,unscaled Manual worker effect transported to Semi; exploratory only
no_same_image_cross_condition_record,102,25,23,9,0.12003912336521994,unscaled Manual worker effect transported to Semi; exploratory only
