variant,replicate,metric,n_workers,rank_rho
all_calculation_valid,31,peer_distance_mean,23,0.16205533596837948
all_calculation_valid,31,corner_pair_count,23,0.7015810276679841
all_calculation_valid,31,log_active_time,22,0.9299830604178432
all_calculation_valid,32,peer_distance_mean,23,0.11758893280632411
all_calculation_valid,32,corner_pair_count,23,0.6996047430830039
all_calculation_valid,32,log_active_time,22,0.9073969508752118
all_calculation_valid,33,peer_distance_mean,23,0.2272727272727273
all_calculation_valid,33,corner_pair_count,23,0.7361660079051384
all_calculation_valid,33,log_active_time,22,0.9367588932806326
all_calculation_valid,34,peer_distance_mean,23,0.02766798418972332
all_calculation_valid,34,corner_pair_count,23,0.5256916996047432
all_calculation_valid,34,log_active_time,22,0.9435347261434219
all_calculation_valid,35,peer_distance_mean,23,0.07213438735177866
all_calculation_valid,35,corner_pair_count,23,0.7282608695652173
all_calculation_valid,35,log_active_time,22,0.9209486166007905
all_calculation_valid,36,peer_distance_mean,23,0.17391304347826086
all_calculation_valid,36,corner_pair_count,23,0.5276679841897233
all_calculation_valid,36,log_active_time,22,0.9570863918690007
all_calculation_valid,37,peer_distance_mean,23,0.26976284584980237
all_calculation_valid,37,corner_pair_count,23,0.5563241106719368
all_calculation_valid,37,log_active_time,22,0.9367588932806326
all_calculation_valid,38,peer_distance_mean,23,0.21541501976284588
all_calculation_valid,38,corner_pair_count,23,0.6600790513833992
all_calculation_valid,38,log_active_time,22,0.9469226425748165
all_calculation_valid,39,peer_distance_mean,23,0.16996047430830039
all_calculation_valid,39,corner_pair_count,23,0.6828063241106719
all_calculation_valid,39,log_active_time,22,0.9062676453980804
all_calculation_valid,40,peer_distance_mean,23,0.23715415019762848
all_calculation_valid,40,corner_pair_count,23,0.8060291820072999
all_calculation_valid,40,log_active_time,22,0.9638622247317901
all_calculation_valid,41,peer_distance_mean,23,0.1689723320158103
all_calculation_valid,41,corner_pair_count,23,0.5424901185770752
all_calculation_valid,41,log_active_time,22,0.9390175042348957
all_calculation_valid,42,peer_distance_mean,23,0.1798418972332016
all_calculation_valid,42,corner_pair_count,23,0.8913043478260869
all_calculation_valid,42,log_active_time,22,0.9446640316205535
all_calculation_valid,43,peer_distance_mean,23,0.316205533596838
all_calculation_valid,43,corner_pair_count,23,0.6916996047430831
all_calculation_valid,43,log_active_time,22,0.9525691699604744
all_calculation_valid,44,peer_distance_mean,23,0.31521739130434784
all_calculation_valid,44,corner_pair_count,23,0.4950592885375494
all_calculation_valid,44,log_active_time,22,0.9469226425748165
all_calculation_valid,45,peer_distance_mean,23,0.1956521739130435
all_calculation_valid,45,corner_pair_count,23,0.6531620553359684
all_calculation_valid,45,log_active_time,22,0.961603613777527
all_calculation_valid,46,peer_distance_mean,23,0.31521739130434784
all_calculation_valid,46,corner_pair_count,23,0.8379446640316206
all_calculation_valid,46,log_active_time,22,0.9695087521174479
all_calculation_valid,47,peer_distance_mean,23,0.07707509881422926
all_calculation_valid,47,corner_pair_count,23,0.7480237154150197
all_calculation_valid,47,log_active_time,22,0.9265951439864484
all_calculation_valid,48,peer_distance_mean,23,0.06422924901185771
all_calculation_valid,48,corner_pair_count,23,0.48616600790513836
all_calculation_valid,48,log_active_time,22,0.8509316770186337
all_calculation_valid,49,peer_distance_mean,23,0.025691699604743084
all_calculation_valid,49,corner_pair_count,23,0.7035573122529645
all_calculation_valid,49,log_active_time,22,0.9525691699604744
all_calculation_valid,50,peer_distance_mean,23,0.23320158102766803
all_calculation_valid,50,corner_pair_count,23,0.6353754940711461
all_calculation_valid,50,log_active_time,22,0.9424054206662904
all_calculation_valid,51,peer_distance_mean,23,0.32608695652173914
all_calculation_valid,51,corner_pair_count,23,0.43774703557312256
all_calculation_valid,51,log_active_time,22,0.9570863918690007
all_calculation_valid,52,peer_distance_mean,23,0.2707509881422925
all_calculation_valid,52,corner_pair_count,23,0.599802371541502
all_calculation_valid,52,log_active_time,22,0.9412761151891589
all_calculation_valid,53,peer_distance_mean,23,0.12944664031620554
all_calculation_valid,53,corner_pair_count,23,0.6837944664031621
all_calculation_valid,53,log_active_time,22,0.9435347261434219
all_calculation_valid,54,peer_distance_mean,23,0.2075098814229249
all_calculation_valid,54,corner_pair_count,23,0.6709486166007905
all_calculation_valid,54,log_active_time,22,0.935629587803501
all_calculation_valid,55,peer_distance_mean,23,0.16996047430830039
all_calculation_valid,55,corner_pair_count,23,0.4950592885375494
all_calculation_valid,55,log_active_time,22,0.8735177865612649
all_calculation_valid,56,peer_distance_mean,23,0.03063241106719368
all_calculation_valid,56,corner_pair_count,23,0.7094861660079053
all_calculation_valid,56,log_active_time,22,0.9559570863918693
all_calculation_valid,57,peer_distance_mean,23,0.09881422924901187
all_calculation_valid,57,corner_pair_count,23,0.5385375494071146
all_calculation_valid,57,log_active_time,22,0.9717673630717111
all_calculation_valid,58,peer_distance_mean,23,0.29545454545454547
all_calculation_valid,58,corner_pair_count,23,0.6640316205533596
all_calculation_valid,58,log_active_time,22,0.9672501411631848
all_calculation_valid,59,peer_distance_mean,23,0.17292490118577078
all_calculation_valid,59,corner_pair_count,23,0.5345849802371541
all_calculation_valid,59,log_active_time,22,0.9525691699604744
all_calculation_valid,60,peer_distance_mean,23,0.17391304347826086
all_calculation_valid,60,corner_pair_count,23,0.4397233201581028
all_calculation_valid,60,log_active_time,22,0.8418972332015812
all_calculation_valid,61,peer_distance_mean,23,0.47332015810276684
all_calculation_valid,61,corner_pair_count,23,0.5642292490118578
all_calculation_valid,61,log_active_time,22,0.9582156973461323
all_calculation_valid,62,peer_distance_mean,23,0.3577075098814229
all_calculation_valid,62,corner_pair_count,23,0.5088932806324111
all_calculation_valid,62,log_active_time,22,0.9559570863918693
all_calculation_valid,63,peer_distance_mean,23,0.2223320158102767
all_calculation_valid,63,corner_pair_count,23,0.7262845849802372
all_calculation_valid,63,log_active_time,22,0.9401468097120271
all_calculation_valid,64,peer_distance_mean,23,0.13932806324110672
all_calculation_valid,64,corner_pair_count,23,0.6383399209486166
all_calculation_valid,64,log_active_time,22,0.961603613777527
all_calculation_valid,65,peer_distance_mean,23,0.658102766798419
all_calculation_valid,65,corner_pair_count,23,0.5464426877470356
all_calculation_valid,65,log_active_time,22,0.961603613777527
all_calculation_valid,66,peer_distance_mean,23,0.3725296442687747
all_calculation_valid,66,corner_pair_count,23,0.5563241106719368
all_calculation_valid,66,log_active_time,22,0.9345002823263695
all_calculation_valid,67,peer_distance_mean,23,0.38932806324110675
all_calculation_valid,67,corner_pair_count,23,0.4792490118577075
all_calculation_valid,67,log_active_time,22,0.9548277809147376
all_calculation_valid,68,peer_distance_mean,23,0.22628458498023715
all_calculation_valid,68,corner_pair_count,23,0.7035573122529645
all_calculation_valid,68,log_active_time,22,0.9424054206662904
all_calculation_valid,69,peer_distance_mean,23,0.5148221343873518
all_calculation_valid,69,corner_pair_count,23,0.42786561264822137
all_calculation_valid,69,log_active_time,22,0.8667419536984755
all_calculation_valid,70,peer_distance_mean,23,0.0958498023715415
all_calculation_valid,70,corner_pair_count,23,0.6195652173913044
all_calculation_valid,70,log_active_time,22,0.9514398644833428
all_calculation_valid,71,peer_distance_mean,23,0.22035573122529645
all_calculation_valid,71,corner_pair_count,23,0.7549407114624507
all_calculation_valid,71,log_active_time,22,0.9378881987577641
all_calculation_valid,72,peer_distance_mean,23,0.2845849802371542
all_calculation_valid,72,corner_pair_count,23,0.5316205533596838
all_calculation_valid,72,log_active_time,22,0.9299830604178432
all_calculation_valid,73,peer_distance_mean,23,0.21739130434782608
all_calculation_valid,73,corner_pair_count,23,0.7539525691699605
all_calculation_valid,73,log_active_time,22,0.9808018068887635
all_calculation_valid,74,peer_distance_mean,23,0.3043478260869565
all_calculation_valid,74,corner_pair_count,23,0.774703557312253
all_calculation_valid,74,log_active_time,22,0.9638622247317901
all_calculation_valid,75,peer_distance_mean,23,0.23616600790513834
all_calculation_valid,75,corner_pair_count,23,0.6106719367588932
all_calculation_valid,75,log_active_time,22,0.9333709768492378
all_calculation_valid,76,peer_distance_mean,23,0.33300395256917
all_calculation_valid,76,corner_pair_count,23,0.4446640316205534
all_calculation_valid,76,log_active_time,22,0.9525691699604744
all_calculation_valid,77,peer_distance_mean,23,0.19466403162055337
all_calculation_valid,77,corner_pair_count,23,0.5612648221343874
all_calculation_valid,77,log_active_time,22,0.9695087521174479
all_calculation_valid,78,peer_distance_mean,23,0.21739130434782608
all_calculation_valid,78,corner_pair_count,23,0.6719367588932806
all_calculation_valid,78,log_active_time,22,0.9085262563523435
all_calculation_valid,79,peer_distance_mean,23,0.567193675889328
all_calculation_valid,79,corner_pair_count,23,0.6691376532421116
all_calculation_valid,79,log_active_time,22,0.9378881987577641
all_calculation_valid,80,peer_distance_mean,23,0.1007905138339921
all_calculation_valid,80,corner_pair_count,23,0.6857707509881423
all_calculation_valid,80,log_active_time,22,0.9277244494635801
all_calculation_valid,81,peer_distance_mean,23,0.02964426877470356
all_calculation_valid,81,corner_pair_count,23,0.633399209486166
all_calculation_valid,81,log_active_time,22,0.9062676453980804
all_calculation_valid,82,peer_distance_mean,23,0.31521739130434784
all_calculation_valid,82,corner_pair_count,23,0.8379446640316206
all_calculation_valid,82,log_active_time,22,0.9695087521174479
all_calculation_valid,83,peer_distance_mean,23,0.4140316205533597
all_calculation_valid,83,corner_pair_count,23,0.7806324110671937
all_calculation_valid,83,log_active_time,22,0.9661208356860531
all_calculation_valid,84,peer_distance_mean,23,0.4644268774703557
all_calculation_valid,84,corner_pair_count,23,0.48517786561264825
all_calculation_valid,84,log_active_time,22,0.8791643139469227
all_calculation_valid,85,peer_distance_mean,23,0.20948616600790515
all_calculation_valid,85,corner_pair_count,23,0.6739130434782609
all_calculation_valid,85,log_active_time,22,0.9480519480519483
all_calculation_valid,86,peer_distance_mean,23,0.2727272727272727
all_calculation_valid,86,corner_pair_count,23,0.7875494071146245
all_calculation_valid,86,log_active_time,22,0.9345002823263695
all_calculation_valid,87,peer_distance_mean,23,0.2658102766798419
all_calculation_valid,87,corner_pair_count,23,0.7025691699604744
all_calculation_valid,87,log_active_time,22,0.961603613777527
all_calculation_valid,88,peer_distance_mean,23,-0.02766798418972332
all_calculation_valid,88,corner_pair_count,23,0.6106719367588932
all_calculation_valid,88,log_active_time,22,0.9322416713721063
all_calculation_valid,89,peer_distance_mean,23,0.14723320158102768
all_calculation_valid,89,corner_pair_count,23,0.6571146245059288
all_calculation_valid,89,log_active_time,22,0.89158667419537
all_calculation_valid,90,peer_distance_mean,23,0.1116600790513834
all_calculation_valid,90,corner_pair_count,23,0.7529644268774704
all_calculation_valid,90,log_active_time,22,0.9491812535290796
all_calculation_valid,91,peer_distance_mean,23,0.07213438735177866
all_calculation_valid,91,corner_pair_count,23,0.7460474308300395
all_calculation_valid,91,log_active_time,22,0.9514398644833428
all_calculation_valid,92,peer_distance_mean,23,0.2114624505928854
all_calculation_valid,92,corner_pair_count,23,0.5800395256916997
all_calculation_valid,92,log_active_time,22,0.9446640316205535
all_calculation_valid,93,peer_distance_mean,23,0.1600790513833992
all_calculation_valid,93,corner_pair_count,23,0.6837944664031621
all_calculation_valid,93,log_active_time,22,0.9548277809147376
all_calculation_valid,94,peer_distance_mean,23,0.43577075098814233
all_calculation_valid,94,corner_pair_count,23,0.6195652173913044
all_calculation_valid,94,log_active_time,22,0.8870694522868439
all_calculation_valid,95,peer_distance_mean,23,0.18675889328063244
all_calculation_valid,95,corner_pair_count,23,0.7203557312252966
all_calculation_valid,95,log_active_time,22,0.9299830604178432
all_calculation_valid,96,peer_distance_mean,23,0.2618577075098814
all_calculation_valid,96,corner_pair_count,23,0.6294466403162056
all_calculation_valid,96,log_active_time,22,0.9164313946922643
all_calculation_valid,97,peer_distance_mean,23,0.1818181818181818
all_calculation_valid,97,corner_pair_count,23,0.849802371541502
all_calculation_valid,97,log_active_time,22,0.9604743083003954
all_calculation_valid,98,peer_distance_mean,23,0.22035573122529645
all_calculation_valid,98,corner_pair_count,23,0.7440711462450592
all_calculation_valid,98,log_active_time,22,0.9265951439864484
all_calculation_valid,99,peer_distance_mean,23,0.10375494071146245
all_calculation_valid,99,corner_pair_count,23,0.44565217391304346
all_calculation_valid,99,log_active_time,22,0.9198193111236591
all_calculation_valid,100,peer_distance_mean,23,0.03458498023715415
all_calculation_valid,100,corner_pair_count,23,0.7341897233201582
all_calculation_valid,100,log_active_time,22,0.9604743083003954
all_calculation_valid,101,peer_distance_mean,23,0.19071146245059292
all_calculation_valid,101,corner_pair_count,23,0.5108695652173914
all_calculation_valid,101,log_active_time,22,0.9107848673066066
all_calculation_valid,102,peer_distance_mean,23,0.17588932806324112
all_calculation_valid,102,corner_pair_count,23,0.599802371541502
all_calculation_valid,102,log_active_time,22,0.9525691699604744
all_calculation_valid,103,peer_distance_mean,23,0.33992094861660077
all_calculation_valid,103,corner_pair_count,23,0.5869565217391304
all_calculation_valid,103,log_active_time,22,0.9051383399209487
all_calculation_valid,104,peer_distance_mean,23,0.3527667984189723
all_calculation_valid,104,corner_pair_count,23,0.5889328063241107
all_calculation_valid,104,log_active_time,22,0.9672501411631848
all_calculation_valid,105,peer_distance_mean,23,0.17094861660079053
all_calculation_valid,105,corner_pair_count,23,0.7450592885375494
all_calculation_valid,105,log_active_time,22,0.9548277809147376
all_calculation_valid,106,peer_distance_mean,23,0.25
all_calculation_valid,106,corner_pair_count,23,0.7944664031620554
all_calculation_valid,106,log_active_time,22,0.9627329192546585
all_calculation_valid,107,peer_distance_mean,23,0.4762845849802372
all_calculation_valid,107,corner_pair_count,23,0.5790513833992095
all_calculation_valid,107,log_active_time,22,0.9265951439864484
all_calculation_valid,108,peer_distance_mean,23,0.316205533596838
all_calculation_valid,108,corner_pair_count,23,0.6254940711462451
all_calculation_valid,108,log_active_time,22,0.9254658385093169
all_calculation_valid,109,peer_distance_mean,23,0.07114624505928854
all_calculation_valid,109,corner_pair_count,23,0.5247035573122529
all_calculation_valid,109,log_active_time,22,0.9672501411631848
all_calculation_valid,110,peer_distance_mean,23,0.0009881422924901185
all_calculation_valid,110,corner_pair_count,23,0.633399209486166
all_calculation_valid,110,log_active_time,22,0.8893280632411069
all_calculation_valid,111,peer_distance_mean,23,0.19960474308300394
all_calculation_valid,111,corner_pair_count,23,0.48517786561264825
all_calculation_valid,111,log_active_time,22,0.9265951439864484
all_calculation_valid,112,peer_distance_mean,23,0.32608695652173914
all_calculation_valid,112,corner_pair_count,23,0.43774703557312256
all_calculation_valid,112,log_active_time,22,0.9570863918690007
all_calculation_valid,113,peer_distance_mean,23,0.17490118577075098
