k,scenario,p_at_least_one,p_at_least_two
2,finite_N25_minority2_without_replacement,0.15666666666666668,0.003333333333333334
2,iid_new_workers_p0.10_assumed_not_estimated,0.19,0.010000000000000002
3,finite_N25_minority2_without_replacement,0.23,0.01
3,iid_new_workers_p0.10_assumed_not_estimated,0.271,0.028000000000000008
4,finite_N25_minority2_without_replacement,0.30000000000000004,0.020000000000000004
4,iid_new_workers_p0.10_assumed_not_estimated,0.3439,0.05230000000000001
5,finite_N25_minority2_without_replacement,0.36666666666666664,0.03333333333333333
5,iid_new_workers_p0.10_assumed_not_estimated,0.40951000000000004,0.08146
6,finite_N25_minority2_without_replacement,0.43,0.05
6,iid_new_workers_p0.10_assumed_not_estimated,0.468559,0.11426500000000002
7,finite_N25_minority2_without_replacement,0.4900000000000001,0.07
7,iid_new_workers_p0.10_assumed_not_estimated,0.5217031,0.14969440000000003
8,finite_N25_minority2_without_replacement,0.5466666666666666,0.09333333333333334
8,iid_new_workers_p0.10_assumed_not_estimated,0.56953279,0.18689527000000009
9,finite_N25_minority2_without_replacement,0.6,0.12
9,iid_new_workers_p0.10_assumed_not_estimated,0.6125795110000001,0.225159022
10,finite_N25_minority2_without_replacement,0.65,0.15
10,iid_new_workers_p0.10_assumed_not_estimated,0.6513215599000001,0.2639010709
11,finite_N25_minority2_without_replacement,0.6966666666666667,0.18333333333333332
11,iid_new_workers_p0.10_assumed_not_estimated,0.68618940391,0.3026431198
12,finite_N25_minority2_without_replacement,0.74,0.22
12,iid_new_workers_p0.10_assumed_not_estimated,0.717570463519,0.3409977482110001
13,finite_N25_minority2_without_replacement,0.78,0.26
13,iid_new_workers_p0.10_assumed_not_estimated,0.7458134171671,0.37865501974179994
14,finite_N25_minority2_without_replacement,0.8166666666666667,0.3033333333333334
14,iid_new_workers_p0.10_assumed_not_estimated,0.7712320754503901,0.41537085948433
15,finite_N25_minority2_without_replacement,0.85,0.35
15,iid_new_workers_p0.10_assumed_not_estimated,0.794108867905351,0.4509569810809362
16,finite_N25_minority2_without_replacement,0.88,0.4
16,iid_new_workers_p0.10_assumed_not_estimated,0.814697981114816,0.4852721697633776
17,finite_N25_minority2_without_replacement,0.9066666666666666,0.45333333333333325
17,iid_new_workers_p0.10_assumed_not_estimated,0.8332281830033343,0.5182147508985218
18,finite_N25_minority2_without_replacement,0.9299999999999999,0.51
18,iid_new_workers_p0.10_assumed_not_estimated,0.8499053647030009,0.5497160941090027
19,finite_N25_minority2_without_replacement,0.95,0.5700000000000001
19,iid_new_workers_p0.10_assumed_not_estimated,0.8649148282327008,0.5797350211684026
20,finite_N25_minority2_without_replacement,0.9666666666666667,0.6333333333333333
20,iid_new_workers_p0.10_assumed_not_estimated,0.8784233454094308,0.6082530018748321
21,finite_N25_minority2_without_replacement,0.98,0.7
21,iid_new_workers_p0.10_assumed_not_estimated,0.8905810108684877,0.6352700362282919
22,finite_N25_minority2_without_replacement,0.99,0.77
22,iid_new_workers_p0.10_assumed_not_estimated,0.9015229097816388,0.6608011336923114
23,finite_N25_minority2_without_replacement,0.9966666666666667,0.8433333333333333
23,iid_new_workers_p0.10_assumed_not_estimated,0.911370618803475,0.6848733113012442
24,finite_N25_minority2_without_replacement,1.0,0.92
24,iid_new_workers_p0.10_assumed_not_estimated,0.9202335569231275,0.7075230420514673
25,finite_N25_minority2_without_replacement,1.0,1.0
25,iid_new_workers_p0.10_assumed_not_estimated,0.9282102012308148,0.7287940935386333
