metric,heldout_rows,task_only_sse,worker_task_sse,lobo_within_task_r2,baseline_within_task_rmse,worker_within_task_rmse,sensitivity
log_active_time,559,511.77206092022726,201.72567883422022,0.6058290511766247,0.9568247100678738,0.6007235929475624,time_eligible_only
log_active_time,566,354.8839611530225,157.27002553868022,0.5568409881705898,0.7918355037093682,0.5271263946474924,time_without_fastest_worker_W6
log_active_time,570,310.56823517699706,143.06189413869026,0.539354390003352,0.7381439920111117,0.500984809341246,time_10_to_1800_seconds
