variant,features,k,median_ari,q25,q75
all_calculation_valid,geometry_and_time,2,-0.0049079754601227,-0.035410129986553115,0.09289801413665433
all_calculation_valid,geometry_and_time,3,0.09403104449523729,0.022554739930136725,0.19764707341297802
all_calculation_valid,geometry_and_time,4,0.1413053953145315,0.07079179696434548,0.23055756698044896
all_calculation_valid,geometry_only,2,0.004061484628842789,-0.03207862043389579,0.061746708696458374
all_calculation_valid,geometry_only,3,0.06616219992944782,0.013884097120473348,0.1374760059705188
all_calculation_valid,geometry_only,4,0.08217804617267006,0.035163176536079976,0.14171428506310016
strict_clean_tasks,geometry_and_time,2,0.006533778664646314,-0.034482758620689655,0.09411764705882353
strict_clean_tasks,geometry_and_time,3,0.0937233220970431,0.013388090349075975,0.19930357595581416
strict_clean_tasks,geometry_and_time,4,0.1411929940515532,0.059680740790147374,0.2066175714579478
strict_clean_tasks,geometry_only,2,0.0031894934333958724,-0.02980786159613911,0.09116444662485548
strict_clean_tasks,geometry_only,3,0.0858554049126529,0.018846812329813438,0.1422428902927775
strict_clean_tasks,geometry_only,4,0.0852671730634306,0.036018633649148,0.1397969320148622
