variant,replicate,features,k,ari,n_workers
all_calculation_valid,0,geometry_only,2,-0.016441065578836764,23
all_calculation_valid,0,geometry_only,3,0.2528248587570621,23
all_calculation_valid,0,geometry_only,4,0.29207195203197867,23
all_calculation_valid,0,geometry_and_time,2,-0.023936170212765957,22
all_calculation_valid,0,geometry_and_time,3,0.20156803237228124,22
all_calculation_valid,0,geometry_and_time,4,0.16635859519408502,22
all_calculation_valid,1,geometry_only,2,0.10130034887408818,23
all_calculation_valid,1,geometry_only,3,0.11339173967459325,23
all_calculation_valid,1,geometry_only,4,0.08340552886508625,23
all_calculation_valid,1,geometry_and_time,2,-0.03773584905660377,22
all_calculation_valid,1,geometry_and_time,3,0.030793436727354462,22
all_calculation_valid,1,geometry_and_time,4,0.3063063063063063,22
all_calculation_valid,2,geometry_only,2,0.05154639175257732,23
all_calculation_valid,2,geometry_only,3,0.17977242387642234,23
all_calculation_valid,2,geometry_only,4,0.11677600030690144,23
all_calculation_valid,2,geometry_and_time,2,0.26369670379120264,22
all_calculation_valid,2,geometry_and_time,3,0.27699530516431925,22
all_calculation_valid,2,geometry_and_time,4,0.34935897435897434,22
all_calculation_valid,3,geometry_only,2,0.041848134822950196,23
all_calculation_valid,3,geometry_only,3,0.02640553139567625,23
all_calculation_valid,3,geometry_only,4,0.1282798833819242,23
all_calculation_valid,3,geometry_and_time,2,-0.02115842369743454,22
all_calculation_valid,3,geometry_and_time,3,0.04736193189065091,22
all_calculation_valid,3,geometry_and_time,4,0.14675675675675676,22
all_calculation_valid,4,geometry_only,2,0.006172839506172839,23
all_calculation_valid,4,geometry_only,3,0.05917275574112735,23
all_calculation_valid,4,geometry_only,4,0.18686429462698984,23
all_calculation_valid,4,geometry_and_time,2,-0.012588512981904013,22
all_calculation_valid,4,geometry_and_time,3,0.08442682879901489,22
all_calculation_valid,4,geometry_and_time,4,-0.01872191712431353,22
all_calculation_valid,5,geometry_only,2,0.16609577974536288,23
all_calculation_valid,5,geometry_only,3,0.09240475012370114,23
all_calculation_valid,5,geometry_only,4,0.1641077467252303,23
all_calculation_valid,5,geometry_and_time,2,-0.01349983125210935,22
all_calculation_valid,5,geometry_and_time,3,0.13096637667528804,22
all_calculation_valid,5,geometry_and_time,4,0.030678851174934726,22
all_calculation_valid,6,geometry_only,2,0.11588143525741029,23
all_calculation_valid,6,geometry_only,3,0.31131691749319484,23
all_calculation_valid,6,geometry_only,4,0.16853978171785614,23
all_calculation_valid,6,geometry_and_time,2,0.0297029702970297,22
all_calculation_valid,6,geometry_and_time,3,0.14491612191856343,22
all_calculation_valid,6,geometry_and_time,4,0.15992167101827676,22
all_calculation_valid,7,geometry_only,2,-0.011037107516650808,23
all_calculation_valid,7,geometry_only,3,-0.08921114815654031,23
all_calculation_valid,7,geometry_only,4,-0.026214340786430222,23
all_calculation_valid,7,geometry_and_time,2,0.1001669449081803,22
all_calculation_valid,7,geometry_and_time,3,0.36190399935946194,22
all_calculation_valid,7,geometry_and_time,4,0.20994475138121546,22
all_calculation_valid,8,geometry_only,2,0.05154639175257732,23
all_calculation_valid,8,geometry_only,3,0.099644128113879,23
all_calculation_valid,8,geometry_only,4,0.03179275831616132,23
all_calculation_valid,8,geometry_and_time,2,0.03013945119208277,22
all_calculation_valid,8,geometry_and_time,3,-0.000696217219772569,22
all_calculation_valid,8,geometry_and_time,4,0.10256410256410256,22
all_calculation_valid,9,geometry_only,2,-0.028455284552845527,23
all_calculation_valid,9,geometry_only,3,0.11144130757800892,23
all_calculation_valid,9,geometry_only,4,0.1420783791904537,23
all_calculation_valid,9,geometry_and_time,2,0.37341772151898733,22
all_calculation_valid,9,geometry_and_time,3,0.09946442234123948,22
