subset,predictor,outcome,n_tasks,spearman_rho,role
all84,corners_mean,task_pairwise_mask_distance,84,0.3358804971290807,post_annotation_descriptive_not_prospective_predictor
all84,corners_sd,task_pairwise_mask_distance,84,0.40536805459139497,post_annotation_descriptive_not_prospective_predictor
all84,occlusion_share,task_pairwise_mask_distance,84,-0.06376217412569428,post_annotation_descriptive_not_prospective_predictor
all84,trivial_share,task_pairwise_mask_distance,84,-0.15254508507610873,post_annotation_descriptive_not_prospective_predictor
all84,median_active_seconds,task_pairwise_mask_distance,84,0.2438794728930414,post_annotation_descriptive_not_prospective_predictor
support_at_least_5,corners_mean,task_pairwise_mask_distance,84,0.3358804971290807,post_annotation_descriptive_not_prospective_predictor
support_at_least_5,corners_sd,task_pairwise_mask_distance,84,0.40536805459139497,post_annotation_descriptive_not_prospective_predictor
support_at_least_5,occlusion_share,task_pairwise_mask_distance,84,-0.06376217412569428,post_annotation_descriptive_not_prospective_predictor
support_at_least_5,trivial_share,task_pairwise_mask_distance,84,-0.15254508507610873,post_annotation_descriptive_not_prospective_predictor
support_at_least_5,median_active_seconds,task_pairwise_mask_distance,84,0.2438794728930414,post_annotation_descriptive_not_prospective_predictor
