variant,metric,worker_id,effect,residual_sd,residual_MAD,rows,design_rank,worker_count
all_calculation_valid,peer_distance_mean,1,0.005013541345333577,0.03126323409880319,0.012356199245533175,28,22,23
all_calculation_valid,peer_distance_mean,2,-0.012136116723569122,0.03285771437981146,0.009383492382490675,26,22,23
all_calculation_valid,peer_distance_mean,6,-0.010662574698259937,0.033604795091597306,0.015373452943092676,28,22,23
all_calculation_valid,peer_distance_mean,8,-0.008049541392076066,0.025230656389876528,0.00928925337977425,27,22,23
all_calculation_valid,peer_distance_mean,10,-0.009446998555107403,0.032597505559963894,0.015953637011472115,28,22,23
all_calculation_valid,peer_distance_mean,11,-0.0005681524286061715,0.052623833084303316,0.008762285306586265,28,22,23
all_calculation_valid,peer_distance_mean,12,0.0027384980434550575,0.03314149509397296,0.015265460787692437,28,22,23
all_calculation_valid,peer_distance_mean,13,-0.013378129147441228,0.03207107681158575,0.01654895625181905,28,22,23
all_calculation_valid,peer_distance_mean,14,-0.007569307211580604,0.05208066458327847,0.011338482641192398,28,22,23
all_calculation_valid,peer_distance_mean,15,-0.008760941073614662,0.02824003697615421,0.008658473227259267,27,22,23
all_calculation_valid,peer_distance_mean,17,-0.006929812070350537,0.04108568053864868,0.006242120579559078,27,22,23
all_calculation_valid,peer_distance_mean,18,0.00252120990136249,0.06439352103150202,0.014957193695036848,28,22,23
all_calculation_valid,peer_distance_mean,27,0.001861302202825449,0.03832369101708255,0.011088688995632014,28,22,23
all_calculation_valid,peer_distance_mean,28,0.01654995255816315,0.04539334030605253,0.014250611428444112,28,22,23
all_calculation_valid,peer_distance_mean,29,0.0013810890328842386,0.03334297560493042,0.019666491368516725,28,22,23
all_calculation_valid,peer_distance_mean,30,-0.012767227989617352,0.01753665856078639,0.006909137478923986,28,22,23
all_calculation_valid,peer_distance_mean,31,-0.006629564136084062,0.025502192866201496,0.012212851192710497,32,22,23
all_calculation_valid,peer_distance_mean,32,0.018060753446134795,0.05779633598838948,0.010958202674742195,28,22,23
all_calculation_valid,peer_distance_mean,33,-0.011369813618936526,0.019541722517887106,0.008027224813488856,28,22,23
all_calculation_valid,peer_distance_mean,34,0.027820175623459068,0.07248468769991745,0.022031046678811464,44,22,23
all_calculation_valid,peer_distance_mean,35,-0.0015686085926891402,0.03503110164671218,0.013274959265010444,28,22,23
all_calculation_valid,peer_distance_mean,36,0.01080342281170184,0.0625571335500139,0.012314142568396406,28,22,23
all_calculation_valid,peer_distance_mean,37,0.023086842672613142,0.061174508548858766,0.02203786893897953,27,22,23
all_calculation_valid,corner_pair_count,1,0.5790824320195542,1.1138379690441342,0.6563341925170028,28,22,23
all_calculation_valid,corner_pair_count,2,0.6984999833843217,1.316015840798344,0.5258994099083074,26,22,23
all_calculation_valid,corner_pair_count,6,0.1041246064137118,0.8152360222470267,0.2390291259148842,28,22,23
all_calculation_valid,corner_pair_count,8,-0.15347179918055212,0.9205515359867448,0.22141443885037976,27,22,23
all_calculation_valid,corner_pair_count,10,-0.5746706737151318,0.8406024158141356,0.23659712838850777,28,22,23
all_calculation_valid,corner_pair_count,11,0.4128874393110994,1.6877569681478057,0.3177215452564073,28,22,23
all_calculation_valid,corner_pair_count,12,0.592989449671352,0.8247016164594247,0.5434782608695654,28,22,23
all_calculation_valid,corner_pair_count,13,-0.3064310478881992,1.018081530281625,0.2627669468037465,28,22,23
all_calculation_valid,corner_pair_count,14,-0.23768485816534407,1.3678078953942994,0.27259399433160014,28,22,23
all_calculation_valid,corner_pair_count,15,0.1021030448863337,0.8581788592241318,0.465372182192219,27,22,23
all_calculation_valid,corner_pair_count,17,0.6052171865277444,1.2191441776887726,0.417701206300751,27,22,23
all_calculation_valid,corner_pair_count,18,0.21764937333201323,0.9734770687680557,0.4022881576261069,28,22,23
all_calculation_valid,corner_pair_count,27,0.38725521983561184,1.290443138111048,0.28539672100069635,28,22,23
all_calculation_valid,corner_pair_count,28,0.0632374161917201,1.053686790804529,0.4363107418033001,28,22,23
all_calculation_valid,corner_pair_count,29,-0.8179109525184098,0.8672145617687448,0.4347826086956519,28,22,23
