feature,model,images,dimension,source_version,inference_calls
hohonet__encoder_stage2__global,hohonet,9,256,inherited_e086_numerical_outputs,0
hohonet__encoder_stage2__regions,hohonet,9,4096,inherited_e086_numerical_outputs,0
hohonet__encoder_stage4__global,hohonet,9,1024,inherited_e086_numerical_outputs,0
hohonet__encoder_stage4__regions,hohonet,9,16384,inherited_e086_numerical_outputs,0
hohonet__compressed__global,hohonet,9,2048,inherited_e086_numerical_outputs,0
hohonet__compressed__regions,hohonet,9,32768,inherited_e086_numerical_outputs,0
hohonet__refined__global,hohonet,9,2048,inherited_e086_numerical_outputs,0
hohonet__refined__regions,hohonet,9,32768,inherited_e086_numerical_outputs,0
hohonet__shared__global,hohonet,9,512,inherited_e086_numerical_outputs,0
hohonet__shared__regions,hohonet,9,8192,inherited_e086_numerical_outputs,0
hohonet__legacy_current,hohonet,9,256,inherited_e086_numerical_outputs,0
bilayout__fc__global,bilayout,9,1024,inherited_e086_numerical_outputs,0
bilayout__fc__regions,bilayout,9,16384,inherited_e086_numerical_outputs,0
bilayout__fg_enclosed__global,bilayout,9,1024,inherited_e086_numerical_outputs,0
bilayout__fg_enclosed__regions,bilayout,9,16384,inherited_e086_numerical_outputs,0
bilayout__fg_extended__global,bilayout,9,1024,inherited_e086_numerical_outputs,0
bilayout__fg_extended__regions,bilayout,9,16384,inherited_e086_numerical_outputs,0
ulayout__compressed__global,ulayout,9,2048,inherited_e086_numerical_outputs,0
ulayout__compressed__local16,ulayout,9,32768,inherited_e086_numerical_outputs,0
ulayout__transformer__global,ulayout,9,2048,inherited_e086_numerical_outputs,0
ulayout__transformer__local16,ulayout,9,32768,inherited_e086_numerical_outputs,0
da3__layer5__faces_global,da3,9,1536,inherited_e086_numerical_outputs,0
da3__layer5__faces_local16,da3,9,24576,inherited_e086_numerical_outputs,0
da3__layer5__faces_concat,da3,9,9216,inherited_e086_numerical_outputs,0
da3__layer7__faces_global,da3,9,1536,inherited_e086_numerical_outputs,0
da3__layer7__faces_local16,da3,9,24576,inherited_e086_numerical_outputs,0
da3__layer7__faces_concat,da3,9,9216,inherited_e086_numerical_outputs,0
da3__layer9__faces_global,da3,9,1536,inherited_e086_numerical_outputs,0
da3__layer9__faces_local16,da3,9,24576,inherited_e086_numerical_outputs,0
da3__layer9__faces_concat,da3,9,9216,inherited_e086_numerical_outputs,0
da3__layer11__faces_global,da3,9,1536,inherited_e086_numerical_outputs,0
da3__layer11__faces_local16,da3,9,24576,inherited_e086_numerical_outputs,0
da3__layer11__faces_concat,da3,9,9216,inherited_e086_numerical_outputs,0
