pool,condition,target,algorithm,building,candidate,inner_loss,inner_n
selected_existing,manual,candidate_v2,knn,7y3sRwLe3Va,hohonet__shared__global,0.638644067797,59
selected_existing,manual,candidate_v2,knn,B6ByNegPMKs,hohonet__shared__global,0.618571428571,56
selected_existing,manual,candidate_v2,knn,UwV83HsGsw3,hohonet__shared__global,0.658666666667,60
selected_existing,manual,candidate_v2,knn,VFuaQ6m2Qom,da3__layer9__faces_concat,0.657627118644,59
selected_existing,manual,candidate_v2,knn,X7HyMhZNoso,hohonet__shared__global,0.644,60
selected_existing,manual,candidate_v2,knn,b8cTxDM8gDG,hohonet__shared__global,0.619661016949,59
selected_existing,manual,candidate_v2,knn,e9zR4mvMWw7,hohonet__shared__global,0.634576271186,59
selected_existing,manual,candidate_v2,knn,jtcxE69GiFV,ulayout__compressed__local16,0.662666666667,60
selected_existing,manual,candidate_v2,knn,pRbA3pwrgk9,da3__layer9__faces_concat,0.630344827586,58
selected_existing,manual,candidate_v2,knn,q9vSo1VnCiC,hohonet__shared__global,0.576923076923,52
selected_existing,manual,candidate_v2,knn,rPc6DW4iMge,da3__layer11__faces_concat,0.572075471698,53
selected_existing,manual,candidate_v2,knn,uNb9QFRL6hY,bilayout__fg_extended__global,0.657596371882,49
selected_existing,manual,candidate_v2,knn,wc2JMjhGNzB,hohonet__shared__global,0.621090909091,55
selected_existing,manual,candidate_v2,knn,x8F5xyUWy9e,hohonet__shared__global,0.646666666667,60
selected_existing,manual,candidate_v2,knn,yqstnuAEVhm,hohonet__shared__global,0.64,55
selected_existing,manual,candidate_v2,ridge,7y3sRwLe3Va,da3__layer9__faces_global,0.585011949923,59
selected_existing,manual,candidate_v2,ridge,B6ByNegPMKs,da3__layer7__faces_local16,0.571716642426,56
selected_existing,manual,candidate_v2,ridge,UwV83HsGsw3,da3__layer7__faces_local16,0.582093747514,60
selected_existing,manual,candidate_v2,ridge,VFuaQ6m2Qom,da3__layer7__faces_local16,0.569906786289,59
selected_existing,manual,candidate_v2,ridge,X7HyMhZNoso,da3__layer9__faces_global,0.584599544751,60
selected_existing,manual,candidate_v2,ridge,b8cTxDM8gDG,da3__layer9__faces_global,0.559653516867,59
selected_existing,manual,candidate_v2,ridge,e9zR4mvMWw7,da3__layer9__faces_global,0.598361087595,59
selected_existing,manual,candidate_v2,ridge,jtcxE69GiFV,da3__layer9__faces_global,0.559844073908,60
selected_existing,manual,candidate_v2,ridge,pRbA3pwrgk9,da3__layer5__faces_global,0.561646489955,58
selected_existing,manual,candidate_v2,ridge,q9vSo1VnCiC,da3__layer5__faces_global,0.594785846654,52
selected_existing,manual,candidate_v2,ridge,rPc6DW4iMge,da3__layer9__faces_global,0.538900907513,53
selected_existing,manual,candidate_v2,ridge,uNb9QFRL6hY,da3__layer5__faces_local16,0.57164175983,49
selected_existing,manual,candidate_v2,ridge,wc2JMjhGNzB,da3__layer7__faces_local16,0.549989511021,55
selected_existing,manual,candidate_v2,ridge,x8F5xyUWy9e,da3__layer9__faces_global,0.579185483541,60
selected_existing,manual,candidate_v2,ridge,yqstnuAEVhm,da3__layer9__faces_global,0.576877181932,55
selected_existing,manual,core10_p_by_19,knn,7y3sRwLe3Va,hohonet__encoder_stage4__global,0.288435483871,124
selected_existing,manual,core10_p_by_19,knn,B6ByNegPMKs,hohonet__encoder_stage4__global,0.279451612903,124
selected_existing,manual,core10_p_by_19,knn,S9hNv5qa7GM,hohonet__encoder_stage4__global,0.283740458015,131
selected_existing,manual,core10_p_by_19,knn,UwV83HsGsw3,hohonet__encoder_stage4__global,0.289944,125
selected_existing,manual,core10_p_by_19,knn,VFuaQ6m2Qom,hohonet__encoder_stage4__global,0.286953846154,130
selected_existing,manual,core10_p_by_19,knn,X7HyMhZNoso,hohonet__encoder_stage4__global,0.281969230769,130
selected_existing,manual,core10_p_by_19,knn,Z6MFQCViBuw,hohonet__encoder_stage4__global,0.285176923077,130
selected_existing,manual,core10_p_by_19,knn,b8cTxDM8gDG,hohonet__encoder_stage4__global,0.279592307692,130
selected_existing,manual,core10_p_by_19,knn,e9zR4mvMWw7,hohonet__encoder_stage4__global,0.282372093023,129
selected_existing,manual,core10_p_by_19,knn,jh4fc5c5qoQ,hohonet__encoder_stage4__global,0.282484848485,132
selected_existing,manual,core10_p_by_19,knn,jtcxE69GiFV,hohonet__encoder_stage4__global,0.276069767442,129
selected_existing,manual,core10_p_by_19,knn,pRbA3pwrgk9,hohonet__encoder_stage4__global,0.283238461538,130
selected_existing,manual,core10_p_by_19,knn,pa4otMbVnkk,hohonet__encoder_stage4__global,0.280371212121,132
selected_existing,manual,core10_p_by_19,knn,q9vSo1VnCiC,hohonet__encoder_stage4__global,0.291875,120
selected_existing,manual,core10_p_by_19,knn,rPc6DW4iMge,hohonet__encoder_stage4__global,0.284620967742,124
selected_existing,manual,core10_p_by_19,knn,uNb9QFRL6hY,da3__layer7__faces_local16,0.267186915888,107
selected_existing,manual,core10_p_by_19,knn,wc2JMjhGNzB,hohonet__encoder_stage4__global,0.2945,122
selected_existing,manual,core10_p_by_19,knn,x8F5xyUWy9e,hohonet__encoder_stage4__global,0.282294573643,129
selected_existing,manual,core10_p_by_19,knn,yqstnuAEVhm,hohonet__encoder_stage4__global,0.281403361345,119
selected_existing,manual,core10_p_by_19,knn,zsNo4HB9uLZ,hohonet__encoder_stage4__global,0.2841,130
selected_existing,manual,core10_p_by_19,ridge,7y3sRwLe3Va,ulayout__transformer__global,0.287412080002,124
selected_existing,manual,core10_p_by_19,ridge,B6ByNegPMKs,ulayout__compressed__global,0.275772792317,124
selected_existing,manual,core10_p_by_19,ridge,S9hNv5qa7GM,ulayout__compressed__global,0.275928714581,131
selected_existing,manual,core10_p_by_19,ridge,UwV83HsGsw3,ulayout__compressed__global,0.272869390735,125
selected_existing,manual,core10_p_by_19,ridge,VFuaQ6m2Qom,ulayout__compressed__global,0.276410796151,130
selected_existing,manual,core10_p_by_19,ridge,X7HyMhZNoso,ulayout__compressed__global,0.272667034992,130
