selector,condition,target,heldout_building,algorithm,feature,inner_MAE,pca,parameter,inner_images,dimensions,candidate_count
current_prespecified_all,manual,owner_valid_active_seconds,2t7WUuJeko7,knn,C_ulayout_compressed_local16,64.5315217391,32,5,184,32768,29
current_prespecified_all,manual,owner_valid_active_seconds,2t7WUuJeko7,ridge,C_hohonet_encoder_stage4_global,67.1563201992,32,100,184,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,7y3sRwLe3Va,knn,C_hohonet_compressed_local16,65.8464419476,32,3,178,32768,29
current_prespecified_all,manual,owner_valid_active_seconds,7y3sRwLe3Va,ridge,C_hohonet_encoder_stage4_global,67.5017994189,32,100,178,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,B6ByNegPMKs,knn,C_hohonet_legacy_single_phase,66.1370786517,16,5,178,256,29
current_prespecified_all,manual,owner_valid_active_seconds,B6ByNegPMKs,ridge,C_bilayout_fg_enclosed_global,66.9511728513,16,0.1,178,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,S9hNv5qa7GM,knn,C_ulayout_compressed_local16,63.8050847458,16,5,177,32768,29
current_prespecified_all,manual,owner_valid_active_seconds,S9hNv5qa7GM,ridge,C_hohonet_encoder_stage4_global,65.7664136666,32,100,177,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,UwV83HsGsw3,knn,C_hohonet_compressed_local16,64.5681564246,32,5,179,32768,29
current_prespecified_all,manual,owner_valid_active_seconds,UwV83HsGsw3,ridge,C_hohonet_encoder_stage4_global,64.4689659352,32,100,179,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,VFuaQ6m2Qom,knn,C_ulayout_compressed_local16,63.2285714286,32,5,182,32768,29
current_prespecified_all,manual,owner_valid_active_seconds,VFuaQ6m2Qom,ridge,C_hohonet_encoder_stage4_global,64.2012435818,32,100,182,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,VLzqgDo317F,knn,C_bilayout_fc_local16,64.8032258065,32,5,186,16384,29
current_prespecified_all,manual,owner_valid_active_seconds,VLzqgDo317F,ridge,C_hohonet_encoder_stage4_global,67.6101126701,32,100,186,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,X7HyMhZNoso,knn,C_ulayout_compressed_local16,65.6326086957,16,5,184,32768,29
current_prespecified_all,manual,owner_valid_active_seconds,X7HyMhZNoso,ridge,C_hohonet_encoder_stage4_global,67.8859647394,32,100,184,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,Z6MFQCViBuw,knn,C_hohonet_compressed_local16,65.3483695652,16,5,184,32768,29
current_prespecified_all,manual,owner_valid_active_seconds,Z6MFQCViBuw,ridge,C_hohonet_encoder_stage4_global,67.5800480393,32,100,184,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,b8cTxDM8gDG,knn,C_ulayout_compressed_local16,64.4864130435,16,5,184,32768,29
current_prespecified_all,manual,owner_valid_active_seconds,b8cTxDM8gDG,ridge,C_hohonet_encoder_stage4_global,67.3970930776,32,100,184,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,e9zR4mvMWw7,knn,C_bilayout_fc_local16,64.3032786885,16,3,183,16384,29
current_prespecified_all,manual,owner_valid_active_seconds,e9zR4mvMWw7,ridge,C_hohonet_encoder_stage4_global,67.3548373414,32,100,183,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,jh4fc5c5qoQ,knn,C_bilayout_fc_local16,61.5738888889,16,5,180,16384,29
current_prespecified_all,manual,owner_valid_active_seconds,jh4fc5c5qoQ,ridge,C_hohonet_encoder_stage4_global,64.1471302188,32,100,180,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,jtcxE69GiFV,knn,C_hohonet_compressed_local16,65.8701754386,32,5,171,32768,29
current_prespecified_all,manual,owner_valid_active_seconds,jtcxE69GiFV,ridge,C_hohonet_encoder_stage4_global,65.9873808273,32,100,171,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,pRbA3pwrgk9,knn,C_hohonet_encoder_stage4_global,61.2880681818,16,5,176,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,pRbA3pwrgk9,ridge,C_hohonet_encoder_stage4_global,62.4097458752,32,100,176,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,pa4otMbVnkk,knn,C_bilayout_fc_local16,65.5246212121,16,3,176,16384,29
current_prespecified_all,manual,owner_valid_active_seconds,pa4otMbVnkk,ridge,C_hohonet_encoder_stage4_global,68.9473087729,32,100,176,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,q9vSo1VnCiC,knn,C_hohonet_compressed_local16,63.8612716763,16,3,173,32768,29
current_prespecified_all,manual,owner_valid_active_seconds,q9vSo1VnCiC,ridge,C_hohonet_encoder_stage4_global,69.3389644022,32,100,173,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,rPc6DW4iMge,knn,C_ulayout_compressed_local16,66.7146067416,16,5,178,32768,29
current_prespecified_all,manual,owner_valid_active_seconds,rPc6DW4iMge,ridge,C_hohonet_encoder_stage4_global,68.7281485589,32,100,178,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,uNb9QFRL6hY,knn,C_hohonet_encoder_stage4_local16,67.0393374741,32,3,161,16384,29
current_prespecified_all,manual,owner_valid_active_seconds,uNb9QFRL6hY,ridge,C_hohonet_encoder_stage4_global,69.2155310282,32,100,161,1024,29
current_prespecified_all,manual,owner_valid_active_seconds,wc2JMjhGNzB,knn,C_hohonet_compressed_local16,68.1107954545,32,3,176,32768,29
current_prespecified_all,manual,owner_valid_active_seconds,wc2JMjhGNzB,ridge,C_hohonet_compressed_global,68.1162561186,32,100,176,2048,29
current_prespecified_all,manual,owner_valid_active_seconds,x8F5xyUWy9e,knn,C_bilayout_fc_local16,64.6839708561,16,3,183,16384,29
current_prespecified_all,manual,owner_valid_active_seconds,x8F5xyUWy9e,ridge,C_hohonet_encoder_stage4_global,67.6343980807,32,100,183,1024,29
