comparison,base_task_id,building_id,stage,condition,worker_id,other_worker_id,left_id,right_id,d_mask,independence_status,metric_contract,pair_relation,other_independence_status,other_stage,reference_status,scope_status,reference_source
human_human_different_worker_same_stage,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,C1,manual,14,18,89f6eb36f9ae94e81adb,c63d05f140fcc66be4df,0.188830454948,not_materialized,periodic_linear_image_plane_mask_proxy_1024x512,different_worker_same_stage,not_materialized,C1,,,
human_human_different_worker_same_stage,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,C1,manual,14,31,89f6eb36f9ae94e81adb,6051dfca1aade85a07a8,0.024119412415,not_materialized,periodic_linear_image_plane_mask_proxy_1024x512,different_worker_same_stage,not_materialized,C1,,,
human_human_different_worker_same_stage,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,C1,manual,14,32,89f6eb36f9ae94e81adb,e6f01175aabbf9fcafe7,0.159340922955,not_materialized,periodic_linear_image_plane_mask_proxy_1024x512,different_worker_same_stage,not_materialized,C1,,,
human_human_different_worker_same_stage,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,C1,manual,14,34,89f6eb36f9ae94e81adb,dec8403a4ddac6db3115,0.017632844463,not_materialized,periodic_linear_image_plane_mask_proxy_1024x512,different_worker_same_stage,not_materialized,C1,,,
human_human_different_worker_same_stage,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,C1,manual,14,8,89f6eb36f9ae94e81adb,74c45cde6e9ca313500c,0.000598332754,not_materialized,periodic_linear_image_plane_mask_proxy_1024x512,different_worker_same_stage,not_materialized,C1,,,
human_human_different_worker_same_stage,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,C1,manual,18,31,c63d05f140fcc66be4df,6051dfca1aade85a07a8,0.18315510651,not_materialized,periodic_linear_image_plane_mask_proxy_1024x512,different_worker_same_stage,not_materialized,C1,,,
human_human_different_worker_same_stage,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,C1,manual,18,32,c63d05f140fcc66be4df,e6f01175aabbf9fcafe7,0.073864266018,not_materialized,periodic_linear_image_plane_mask_proxy_1024x512,different_worker_same_stage,not_materialized,C1,,,
human_human_different_worker_same_stage,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,C1,manual,18,34,c63d05f140fcc66be4df,dec8403a4ddac6db3115,0.187445309262,not_materialized,periodic_linear_image_plane_mask_proxy_1024x512,different_worker_same_stage,not_materialized,C1,,,
human_human_different_worker_same_stage,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,C1,manual,18,8,c63d05f140fcc66be4df,74c45cde6e9ca313500c,0.188394402674,not_materialized,periodic_linear_image_plane_mask_proxy_1024x512,different_worker_same_stage,not_materialized,C1,,,
human_human_different_worker_same_stage,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,C1,manual,31,32,6051dfca1aade85a07a8,e6f01175aabbf9fcafe7,0.14837495397,not_materialized,periodic_linear_image_plane_mask_proxy_1024x512,different_worker_same_stage,not_materialized,C1,,,
