stage,historical_source_kind,reference_type,image_count,response_count,geometry_change_n,initial_final_d_mask_mean,exact_retention_count,source_note
C1,missing_required_initialization,public_frozen_gt,25,106,103,0.05795979464897292,33,C1 legacy missing flag resolved to import+runtime preview; exact checkpoint unknown
P1,control_natural,final_gold,6,156,156,0.025007239176033418,66,natural/synthetic initialization separate
P1,trap_natural,final_gold,6,156,152,0.08332942530030607,22,natural/synthetic initialization separate
P1,trap_synthetic_disjoint_source,synthetic_source_gt,6,156,156,0.0738975761871349,25,natural/synthetic initialization separate
