condition,endpoint,images,outside_106_expert,valid_record_only_images,buildings
manual,cdf_early7,42,33,42,15
manual,cdf_observed_by19,42,33,42,15
manual,late_new_geometry,133,103,124,20
manual,half_tv,133,103,124,20
manual,singleton_mass,166,134,155,22
manual,within_mode_median,126,97,118,19
semi,cdf_early7,16,12,16,7
semi,cdf_observed_by19,16,12,16,7
semi,late_new_geometry,42,34,39,12
semi,half_tv,42,34,39,12
semi,singleton_mass,43,35,39,12
semi,within_mode_median,41,33,38,12
