condition,grade,n_valid,images
manual,difficult_candidate,23,2
manual,difficult_candidate,24,8
manual,medium,20,1
manual,simple,5,7
manual,simple,6,5
manual,simple,24,3
semi,difficult_candidate,24,1
semi,medium,24,1
semi,simple,4,3
