condition,image_id,max_few_modes,mode_semantics,n_valid,n_supported_modes,p_early,p_cumulative,status
manual,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,2,cap_allow_unified,20,1,0.09,0.95,
manual,,2,between2_and_cap,,,,,zero_images
manual,,2,exact_x,,,,,zero_images
manual,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,3,cap_allow_unified,20,1,0.09,0.95,
manual,,3,between2_and_cap,,,,,zero_images
manual,,3,exact_x,,,,,zero_images
manual,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,4,cap_allow_unified,20,1,0.09,0.95,
manual,,4,between2_and_cap,,,,,zero_images
manual,,4,exact_x,,,,,zero_images
semi,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,2,cap_allow_unified,24,1,0.3,1,
semi,,2,between2_and_cap,,,,,zero_images
semi,,2,exact_x,,,,,zero_images
semi,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,3,cap_allow_unified,24,1,0.3,1,
semi,,3,between2_and_cap,,,,,zero_images
semi,,3,exact_x,,,,,zero_images
semi,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,4,cap_allow_unified,24,1,0.3,1,
semi,,4,between2_and_cap,,,,,zero_images
semi,,4,exact_x,,,,,zero_images
