stage,condition,paired_record_count,spearman_rho,spearman_p,log_scale_pearson_r,log_scale_pearson_p,median_active_to_lead_ratio,q25_active_to_lead_ratio,q75_active_to_lead_ratio,interpretation
C1,manual,607,0.9128435149049827,1.5813810064107284e-237,0.8966015169931045,3.438847761427301e-216,0.9764651959905144,0.8447449848382409,1.0060022776808606,active_and_elapsed_time_measure_different_constructs
C1,semi,94,0.9170963019743327,1.6278056895059035e-38,0.9390280222643502,1.9517809175773754e-44,0.962388803344606,0.9145335754727608,1.0094997685093738,active_and_elapsed_time_measure_different_constructs
C2-A-RP-B1,manual,40,0.9023875426222586,1.813991966378878e-15,0.8632737198512772,7.688610661388868e-13,1.0197469610882233,0.9404308027904495,1.0749113779452628,active_and_elapsed_time_measure_different_constructs
C2-A-RP-B2,manual,40,0.9232573452771196,2.261609457571592e-17,0.9239921019153798,1.8960944763863218e-17,1.015236871834251,0.8884499776370219,1.0740265057378657,active_and_elapsed_time_measure_different_constructs
C2-B,manual,160,0.8813426983547021,2.559946648169399e-53,0.7627185553048297,1.027834499614701e-31,1.0794980286308038,0.9828160718360516,1.2196665445129125,active_and_elapsed_time_measure_different_constructs
P1,manual,599,0.8629192813934183,4.1487760280542624e-179,0.8625873205772028,8.101003432333832e-179,1.1608273533136344,1.0389537370239834,1.9232041265984814,active_and_elapsed_time_measure_different_constructs
P1,oos,180,0.8528441617583411,4.11347913634158e-52,0.8800910248223393,1.7807934282695513e-59,1.0854507260822608,1.0084488141944097,1.360867107277409,active_and_elapsed_time_measure_different_constructs
P1,semi,349,0.9182567092011272,1.1561828476376627e-141,0.9144474542796109,2.2233793537061565e-138,1.2609189776601657,1.0863124629666205,1.7372523241618933,active_and_elapsed_time_measure_different_constructs
