base_task_id,building_id,condition,partition_status,task_crowd_structure_status,cluster_count,largest_cluster_support,second_cluster_support,supported_cluster_count,singleton_cluster_count,largest_cluster_median_iou,best_cluster_rank,best_cluster_support,best_cluster_median_iou,crowd_gt_gap_best_minus_largest,crowd_gt_relationship,task_final_scope,geometry_reference_status,display_thresholds
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,unique,dominant_with_dissent,2.0,4,1,1.0,1.0,0.8311110434571953,2.0,1.0,0.8405263323574779,0.009415288900282537,dominant_with_singleton_dissent_no_clear_gt_order,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,unique,supported_multimodal,2.0,3,2,2.0,0.0,0.8170038437484628,1.0,3.0,0.8170038437484628,0.0,supported_multimodal_largest_cluster_best_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,unique,dominant_with_dissent,3.0,3,1,1.0,2.0,0.8159975809049256,3.0,1.0,0.9756172597072762,0.15961967880235062,dominant_with_singleton_dissent_singleton_better_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,unique,unimodal,1.0,4,0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,unimodal_high_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,unique,dominant_with_dissent,3.0,3,1,1.0,2.0,0.94017990656914,1.0,3.0,0.94017990656914,0.0,dominant_with_singleton_dissent_largest_cluster_best_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,unique,dominant_with_dissent,3.0,2,1,1.0,2.0,0.9802568312419374,3.0,1.0,0.9962883914017332,0.016031560159795788,dominant_with_singleton_dissent_no_clear_gt_order,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,unique,unimodal,1.0,5,0,1.0,0.0,0.9331462485268393,1.0,5.0,0.9331462485268393,0.0,unimodal_high_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,unique,dominant_with_dissent,2.0,4,1,1.0,1.0,0.9426084442367704,1.0,4.0,0.9426084442367704,0.0,dominant_with_singleton_dissent_largest_cluster_best_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,unique,dominant_with_dissent,2.0,4,1,1.0,1.0,0.7451339431812869,1.0,4.0,0.7451339431812869,0.0,dominant_with_singleton_dissent_largest_cluster_best_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,unique,unimodal,1.0,4,0,1.0,0.0,0.9996029274369356,1.0,4.0,0.9996029274369356,0.0,unimodal_high_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,unique,unimodal,1.0,5,0,1.0,0.0,0.9595101880877744,1.0,5.0,0.9595101880877744,0.0,unimodal_high_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,unique,dominant_with_dissent,2.0,3,1,1.0,1.0,0.9571598695898328,1.0,3.0,0.9571598695898328,0.0,dominant_with_singleton_dissent_largest_cluster_best_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,unique,dominant_with_dissent,2.0,4,1,1.0,1.0,0.820429392311649,1.0,4.0,0.820429392311649,0.0,dominant_with_singleton_dissent_largest_cluster_best_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,unique,dominant_with_dissent,2.0,3,1,1.0,1.0,0.9125201918328744,2.0,1.0,1.0,0.08747980816712564,dominant_with_singleton_dissent_singleton_better_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,unique,dominant_with_dissent,3.0,3,1,1.0,2.0,0.9460098627278978,1.0,3.0,0.9460098627278978,0.0,dominant_with_singleton_dissent_largest_cluster_best_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual,unique,unimodal,1.0,5,0,1.0,0.0,0.5644452228741571,1.0,5.0,0.5644452228741571,0.0,unimodal_low_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,unique,unimodal,1.0,5,0,1.0,0.0,0.7823755160349148,1.0,5.0,0.7823755160349148,0.0,unimodal_low_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,manual,unique,supported_multimodal,3.0,2,2,2.0,1.0,0.7983412636364637,2.0,2.0,0.9205702887899492,0.12222902515348544,supported_multimodal_nonlargest_supported_cluster_better_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,semi,unique,dominant_with_dissent,3.0,2,1,1.0,2.0,0.8312987026004602,3.0,1.0,0.9747291230564662,0.14343042045600596,dominant_with_singleton_dissent_singleton_better_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,unique,dominant_with_dissent,3.0,20,1,1.0,2.0,0.9802082384198751,1.0,20.0,0.9802082384198751,0.0,dominant_with_singleton_dissent_largest_cluster_best_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual,unique,supported_multimodal,2.0,3,2,2.0,0.0,0.8264746565439073,2.0,2.0,0.9118590498623943,0.08538439331848702,supported_multimodal_nonlargest_supported_cluster_better_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,manual,unique,dominant_with_dissent,2.0,4,1,1.0,1.0,0.9350375138201084,1.0,4.0,0.9350375138201084,0.0,dominant_with_singleton_dissent_largest_cluster_best_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,manual,unique,dominant_with_dissent,3.0,3,1,1.0,2.0,0.912594599089948,3.0,1.0,0.9653447369080116,0.05275013781806359,dominant_with_singleton_dissent_singleton_better_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,semi,unique,dominant_with_dissent,2.0,3,1,1.0,1.0,0.932906597636372,2.0,1.0,0.9930218068535824,0.060115209217210475,dominant_with_singleton_dissent_singleton_better_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,manual,unique,unimodal,1.0,5,0,1.0,0.0,0.9455276326943586,1.0,5.0,0.9455276326943586,0.0,unimodal_high_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,semi,unique,unimodal,1.0,4,0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,unimodal_high_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,manual,unique,unimodal,1.0,5,0,1.0,0.0,0.9507381372619036,1.0,5.0,0.9507381372619036,0.0,unimodal_high_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,semi,unique,unimodal,1.0,4,0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,unimodal_high_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,manual,unique,unimodal,1.0,5,0,1.0,0.0,0.9148327464788732,1.0,5.0,0.9148327464788732,0.0,unimodal_high_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG,manual,unique,dominant_with_dissent,2.0,4,1,1.0,1.0,0.9596837318523213,1.0,4.0,0.9596837318523213,0.0,dominant_with_singleton_dissent_largest_cluster_best_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG,manual,unique,supported_multimodal,2.0,3,2,2.0,0.0,0.6935251080396471,2.0,2.0,0.6968033972937847,0.003278289254137645,supported_multimodal_no_clear_gt_alignment_order,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,e9zR4mvMWw7,manual,unique,unimodal,1.0,5,0,1.0,0.0,0.9338308115179088,1.0,5.0,0.9338308115179088,0.0,unimodal_high_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7,manual,unique,unimodal,1.0,5,0,1.0,0.0,0.7268648687618192,1.0,5.0,0.7268648687618192,0.0,unimodal_low_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,manual,unique,unimodal,1.0,5,0,1.0,0.0,0.8631223502044798,1.0,5.0,0.8631223502044798,0.0,unimodal_intermediate_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,manual,unique,unimodal,1.0,5,0,1.0,0.0,0.9587371206645184,1.0,5.0,0.9587371206645184,0.0,unimodal_high_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,semi,unique,,4.0,1,1,0.0,4.0,0.7300856460470471,2.0,1.0,0.959934937077305,0.22984929103025797,diffuse_all_singletons_no_supported_crowd_mode,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,manual,unique,dominant_with_dissent,3.0,3,1,1.0,2.0,0.9423779468227864,1.0,3.0,0.9423779468227864,0.0,dominant_with_singleton_dissent_largest_cluster_best_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,q9vSo1VnCiC,manual,unique,,3.0,1,1,0.0,3.0,0.773839900925087,1.0,1.0,0.773839900925087,0.0,diffuse_all_singletons_no_supported_crowd_mode,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,q9vSo1VnCiC,manual,unique,unimodal,1.0,5,0,1.0,0.0,0.8388546884635775,1.0,5.0,0.8388546884635775,0.0,unimodal_intermediate_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,manual,unique,unimodal,1.0,5,0,1.0,0.0,0.8997193310723892,1.0,5.0,0.8997193310723892,0.0,unimodal_intermediate_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,semi,unique,dominant_with_dissent,2.0,3,1,1.0,1.0,0.8968127463468964,2.0,1.0,0.9453867281543522,0.04857398180745576,dominant_with_singleton_dissent_no_clear_gt_order,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,manual,unique,dominant_with_dissent,2.0,4,1,1.0,1.0,0.9296001566054672,1.0,4.0,0.9296001566054672,0.0,dominant_with_singleton_dissent_largest_cluster_best_gt_alignment,in_scope,reference_ready_public_gt,high_alignment>=0.90;low_alignment<0.80;gap>=0.05;descriptive_only
