time_metric,time_value_seconds,within_stage_mode_percentile,stage,condition,base_task_id,building_id,worker_id,annotation_id,canonical_annotation_id,active_time_lane,lead_time_lane,active_time_source,active_time_source_file,timing_status,active_to_lead_ratio,assignment_provenance,worker_status_class,source_artifact,model_lane,status,outcome,term,log_scale_estimate,standard_error,ci_lower,ci_upper,multiplicative_ratio_exp_beta,p_value,n_rows,worker_count,task_count,building_count,covariance,formula,interpretation
active_time,2023.0,0.9950576606260296,C1,manual,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,36,5991,f52f3c5633b4d227b132,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,0.9305992820171234,original_assignment,observed_worker,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,2020.0,0.9934102141680395,C1,manual,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,uNb9QFRL6hY,27,5783,4f5e2f801a33ddacfbff,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,0.47645386240153975,original_assignment,historical_retained,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,1965.0,0.991652754590985,P1,manual,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,27,4002,2d11509a2a34dd12,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-16.jsonl;active_times_2026-06-17.jsonl,project+task+annotator,29.95244192427291,not_recorded,historical_retained,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,1938.0,0.989983305509182,P1,manual,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm,17,3138,7231fd59d0668aa1,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-05-19.jsonl,project+task+annotator,0.10184113854399122,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,1915.0,0.988313856427379,P1,manual,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,27,4000,0e553d8ef8642a3a,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-16.jsonl;active_times_2026-06-17.jsonl,project+task+annotator,16.12753808709713,not_recorded,historical_retained,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,1896.0,0.975,C2-A-RP-B2,manual,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,jtcxE69GiFV,36,6800,48533a527240e49fe294,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-08-11.jsonl,auxiliary_available,0.9079211813318762,not_recorded,observed_worker,analysis_results/c2a_rp_block2_reestimate_20260814_v1/c2a_rp_block2_canonical_submissions.csv,,,,,,,,,,,,,,,,,
active_time,1879.0,0.986644407345576,P1,manual,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,27,4001,8f36de747d064c9d,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-16.jsonl;active_times_2026-06-17.jsonl,project+task+annotator,16.018072545927282,not_recorded,historical_retained,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,1821.0,0.9917627677100495,C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,36,5861,beebb1979f052693f701,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,0.8358908870909252,original_assignment,observed_worker,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,1799.0,0.9849749582637729,P1,manual,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,36,4677,65e6380997e850f1,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-28.jsonl,project+task+annotator,0.8907686853462362,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,1737.0,0.9833055091819699,P1,manual,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,36,4674,1863472107c00fbd,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-27.jsonl,project+task+annotator,0.9535714462170881,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,1716.0,0.9816360601001669,P1,manual,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,33,4175,58a8d69137385a19,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-20.jsonl,project+task+annotator,1.0007709902384003,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,1619.0,0.9799666110183639,P1,manual,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,36,4676,6d05edefd05793bc,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-27.jsonl;active_times_2026-06-28.jsonl,project+task+annotator,1.172535014908359,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,1584.0,0.9782971619365609,P1,manual,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,uNb9QFRL6hY,36,4602,f1c6623b59a93276,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-26.jsonl;active_times_2026-06-27.jsonl,project+task+annotator,0.9201203127014942,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,1527.0,0.9766277128547579,P1,manual,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,33,4362,c61e2afdd2d8efd8,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-21.jsonl,project+task+annotator,0.49607944548259075,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,1519.0,0.9901153212520593,C1,manual,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,wc2JMjhGNzB,36,6099,1241f308b7f478aaf10d,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,0.8448538997877576,original_assignment,observed_worker,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,1514.0,1.0,P1,oos,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,28,3952,4f42032dc8e4d665,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-16.jsonl;active_times_2026-06-17.jsonl,project+task+annotator,1.1555522990453337,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,1482.0,0.9749582637729549,P1,manual,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,uNb9QFRL6hY,28,3914,39f32d3182a9a449,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-16.jsonl;active_times_2026-06-17.jsonl,project+task+annotator,1.0604651162790697,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
active_time,1383.0,0.9732888146911519,P1,manual,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,36,4606,02a6165f728512be,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-27.jsonl,project+task+annotator,0.9322887385182879,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,79323.603,1.0,P1,oos,b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,34,4398,98fd9fa5115fc41a,missing,label_studio_elapsed_observed,lead_time_fallback,,fallback_no_direct_log,,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,48911.978,1.0,C2-B,manual,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,6,6646,b505f83196ae0e6e3cc8,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-08-03.jsonl;active_times_2026-08-04.jsonl,auxiliary_mixed_or_legacy,0.0020444889797750563,not_recorded,observed_worker,analysis_results/c2b_closeout_20260806_final/c2b_canonical_submissions.csv,,,,,,,,,,,,,,,,,
lead_time,19029.638,1.0,P1,manual,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm,17,3138,7231fd59d0668aa1,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-05-19.jsonl,project+task+annotator,0.10184113854399122,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,14342.19,0.99375,C2-B,manual,jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,jtcxE69GiFV,13,6731,ade1e217bd688a016108,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-08-06.jsonl,auxiliary_mixed_or_legacy,0.011504519184308672,not_recorded,observed_worker,analysis_results/c2b_closeout_20260806_final/c2b_canonical_submissions.csv,,,,,,,,,,,,,,,,,
lead_time,8969.691,1.0,C1,manual,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,13,6239,26a3cf470c4ab78ffaea,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,0.02006758092335622,original_assignment,observed_worker,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,
