stage,high_support_task_count,supported_multimodal_count_q095,strong_persistent_split_count_q095,not_evaluable_partition_count_q095,strong_at_all_three_thresholds_count,strong_persistent_split_rate_q095,strong_all_thresholds_rate,interpretation
PreScreen,29,14,10,2,6,0.3448275862068966,0.20689655172413793,largest observed high support; not infinite-worker convergence claim
Calibration,12,6,5,3,2,0.4166666666666667,0.16666666666666666,largest observed high support; not infinite-worker convergence claim
