stage,condition,task_count,geometry_computable_worker_count,geometry_missing_worker_count,multiple_topology_task_count,single_topology_task_count,not_evaluable_task_count,median_topology_entropy,median_largest_topology_share,median_same_topology_cyclic_rmse
C1,manual,87,668,6,62,25,0,0.5004024235381879,0.8,0.09778355244450868
C1,semi,25,105,1,16,9,0,0.5004024235381879,0.8,0.013689126010659667
C2-A-RP-B1,manual,28,40,0,5,7,16,-0.0,1.0,0.11019410424232844
C2-A-RP-B2,manual,27,39,1,4,7,16,-0.0,1.0,0.09521950581305699
C2-B,manual,46,160,0,17,22,7,-0.0,1.0,0.11763502888457603
P1,manual,30,741,38,26,4,0,0.44982056188068775,0.88,0.12409969009542386
P1,oos,9,221,13,8,1,0,1.2326713884822265,0.56,0.09720762839608796
P1,semi,18,464,4,14,4,0,0.4603114979858529,0.8461538461538461,0.044610230459222175
