field,value,n_pool,n_labelled,n_buildings,simple,medium,hard
fine_ai,用餐|起居休闲|通行,9,6,1,0,6,0
fine_ai,用餐|通行,5,0,0,0,0,0
fine_ai,用餐（跨视点证据）|起居休闲,1,0,0,0,0,0
fine_ai,起居休闲,20,11,1,0,11,0
fine_ai,起居休闲|通行,13,1,1,0,1,0
fine_ai,通行,66,0,0,0,0,0
fine_ai,通行|通行（电梯）|通行（门厅）,1,0,0,0,0,0
main_space_human,L形厨房为主；短走道可见,1,0,0,0,0,0
main_space_human,两单床儿童卧室,1,0,0,0,0,0
main_space_human,主卫靠衣帽通道,1,1,1,0,0,1
main_space_human,书房与客厅双门,1,0,0,0,0,0
main_space_human,入口交接处为主,1,0,0,0,0,0
main_space_human,内侧厕间,1,0,0,0,0,0
main_space_human,厨房外过渡走道,1,0,0,0,0,0
main_space_human,厨房＋起居；厨房为主,2,0,0,0,0,0
main_space_human,双单床房靠外门侧,1,0,0,0,0,0
main_space_human,大餐桌用餐区为主,1,1,1,1,0,0
main_space_human,家务水槽房为主；卫浴门后可见,1,0,0,0,0,0
main_space_human,彩画卧室主区,1,0,0,0,0,0
main_space_human,彩色挂画卧室卫浴侧,1,0,0,0,0,0
main_space_human,房间入口交接处为主,1,0,0,0,0,0
main_space_human,更衣通道为主；柜体次要,1,0,0,0,0,0
main_space_human,洗漱区与更衣前室交接并重,1,0,0,0,0,0
main_space_human,洗漱区入口为主,1,0,0,0,0,0
main_space_human,洗漱／淋浴为主；前室可见,1,0,0,0,0,0
main_space_human,洗漱／淋浴为主；前室次要,1,1,1,0,1,0
main_space_human,浴室与卧室门口；浴室呈现较完整,1,0,0,0,0,0
main_space_human,灰墙卫浴入口,1,0,0,0,0,0
main_space_human,盥洗厕间为主,1,0,0,0,0,0
main_space_human,磨砂门内厕间,1,0,0,0,0,0
main_space_human,空房主区,1,0,0,0,0,0
main_space_human,空房及衣帽间入口,1,1,1,1,0,0
main_space_human,空置办公室为主,1,0,0,0,0,0
main_space_human,空置房间与通道并见；主区域待定,1,0,0,0,0,0
main_space_human,衣帽储物区为主,2,0,0,0,0,0
main_space_human,衣帽间,1,0,0,0,0,0
main_space_human,起居＋厨房；起居为主,4,4,1,0,4,0
main_space_human,过道与台阶连接为主,1,0,0,0,0,0
main_space_human,餐室边缘为主；餐桌局部可见,1,1,1,1,0,0
main_space_human,餐桌区为主,1,1,1,1,0,0
main_space_human,餐桌及餐室围合为主,1,1,1,1,0,0
main_space_human,餐饮为主；厨房与起居次要,1,0,0,0,0,0
main_space_human,餐饮＋厨房；餐饮为主,1,0,0,0,0,0
main_space_human,,607,95,11,44,36,15
building,2t7WUuJeko7,17,5,1,2,3,0
building,7y3sRwLe3Va,26,4,1,0,4,0
building,B6ByNegPMKs,51,3,1,3,0,0
building,S9hNv5qa7GM,23,5,1,5,0,0
building,UwV83HsGsw3,23,0,0,0,0,0
building,VFuaQ6m2Qom,11,6,1,0,0,6
building,VLzqgDo317F,3,0,0,0,0,0
building,X7HyMhZNoso,26,0,0,0,0,0
building,Z6MFQCViBuw,10,4,1,4,0,0
building,ZMojNkEp431,2,0,0,0,0,0
building,b8cTxDM8gDG,19,0,0,0,0,0
building,e9zR4mvMWw7,41,7,1,7,0,0
building,jh4fc5c5qoQ,15,0,0,0,0,0
building,jtcxE69GiFV,34,5,1,0,5,0
building,kEZ7cmS4wCh,2,0,0,0,0,0
building,pRbA3pwrgk9,20,0,0,0,0,0
building,pa4otMbVnkk,49,6,1,0,6,0
building,q9vSo1VnCiC,34,0,0,0,0,0
building,rPc6DW4iMge,22,3,1,3,0,0
building,rqfALeAoiTq,1,0,0,0,0,0
building,uNb9QFRL6hY,88,40,1,12,20,8
building,wc2JMjhGNzB,68,14,1,9,3,2
building,x8F5xyUWy9e,11,0,0,0,0,0
building,yqstnuAEVhm,36,4,1,4,0,0
building,zsNo4HB9uLZ,16,0,0,0,0,0
selection_display_group,G002,5,5,1,2,3,0
selection_display_group,G014,4,0,0,0,0,0
selection_display_group,G015,4,4,1,0,4,0
selection_display_group,G027,2,1,1,1,0,0
selection_display_group,G036,2,2,1,2,0,0
selection_display_group,G047,5,5,1,5,0,0
selection_display_group,G057,6,6,1,0,0,6
selection_display_group,G078,4,4,1,4,0,0
selection_display_group,G090,7,7,1,7,0,0
selection_display_group,G109,5,5,1,0,5,0
selection_display_group,G141,6,6,1,0,6,0
selection_display_group,G165,3,3,1,3,0,0
selection_display_group,G172,12,11,1,0,11,0
selection_display_group,G178,7,7,1,6,1,0
selection_display_group,G179,9,9,1,4,5,0
selection_display_group,G184,9,9,1,0,1,8
selection_display_group,G197,2,2,1,0,2,0
selection_display_group,G200,2,2,1,2,0,0
selection_display_group,G202,5,5,1,0,3,2
selection_display_group,G205,5,5,1,5,0,0
selection_display_group,G207,4,4,1,4,0,0
selection_display_group,G237,4,4,1,4,0,0
selection_display_group,,536,0,0,0,0,0
room_status,not_in_supported_component,176,0,0,0,0,0
room_status,overlap_with_pending_or_unsupported,210,52,7,26,12,14
room_status,supported_component,262,54,8,23,29,2
