assumption_set_id,variance,source,status
optimistic,0.0005715289389682439,empirical paired cross-fitted aggregation delta,estimated
central,0.0011430578779364879,empirical paired cross-fitted aggregation delta,estimated
pessimistic,0.0022861157558729758,empirical paired cross-fitted aggregation delta,estimated
routing_counterfactual,,historical routing counterfactual,not_identifiable
