assumption_set_id,variance_source,effect_size,n_tasks,n_workers,n_pairs,n_buildings,analysis_model,power,simulation_replicates,seed
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,50,10,5,5,random_pair_contrast_worker_generalized_clustered_simulation,0.151,1000,20311868
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,50,10,5,5,random_pair_contrast_worker_generalized_clustered_simulation,0.309,1000,20312368
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,50,10,5,5,random_pair_contrast_worker_generalized_clustered_simulation,0.425,1000,20312868
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,50,10,5,5,random_pair_contrast_worker_generalized_clustered_simulation,0.63,1000,20313368
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,50,10,5,5,random_pair_contrast_worker_generalized_clustered_simulation,0.766,1000,20313868
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,50,10,5,5,random_pair_contrast_worker_generalized_clustered_simulation,0.952,1000,20314868
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,50,14,7,5,random_pair_contrast_worker_generalized_clustered_simulation,0.206,1000,20311888
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,50,14,7,5,random_pair_contrast_worker_generalized_clustered_simulation,0.423,1000,20312388
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,50,14,7,5,random_pair_contrast_worker_generalized_clustered_simulation,0.626,1000,20312888
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,50,14,7,5,random_pair_contrast_worker_generalized_clustered_simulation,0.815,1000,20313388
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,50,14,7,5,random_pair_contrast_worker_generalized_clustered_simulation,0.92,1000,20313888
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,50,14,7,5,random_pair_contrast_worker_generalized_clustered_simulation,0.994,1000,20314888
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,50,16,8,5,random_pair_contrast_worker_generalized_clustered_simulation,0.206,1000,20311898
