record_type,analysis_model,effect_size,n_pairs,target_power,required_N,n_tasks,MDE_80,MDE_90
required_N,fixed_roster,0.01,5,0.8,>200,,,
required_N,fixed_roster,0.01,7,0.8,>200,,,
required_N,fixed_roster,0.01,8,0.8,>200,,,
required_N,fixed_roster,0.01,9,0.8,>200,,,
required_N,fixed_roster,0.01,10,0.8,>200,,,
required_N,fixed_roster,0.01,12,0.8,200,,,
required_N,fixed_roster,0.015,5,0.8,>200,,,
required_N,fixed_roster,0.015,7,0.8,100,,,
required_N,fixed_roster,0.015,8,0.8,80,,,
required_N,fixed_roster,0.015,9,0.8,80,,,
required_N,fixed_roster,0.015,10,0.8,80,,,
required_N,fixed_roster,0.015,12,0.8,80,,,
required_N,fixed_roster,0.02,5,0.8,80,,,
required_N,fixed_roster,0.02,7,0.8,50,,,
required_N,fixed_roster,0.02,8,0.8,50,,,
required_N,fixed_roster,0.02,9,0.8,50,,,
required_N,fixed_roster,0.02,10,0.8,50,,,
required_N,fixed_roster,0.02,12,0.8,50,,,
required_N,fixed_roster,0.025,5,0.8,50,,,
required_N,fixed_roster,0.025,7,0.8,50,,,
required_N,fixed_roster,0.025,8,0.8,50,,,
required_N,fixed_roster,0.025,9,0.8,50,,,
required_N,fixed_roster,0.025,10,0.8,50,,,
required_N,fixed_roster,0.025,12,0.8,50,,,
required_N,fixed_roster,0.03,5,0.8,50,,,
required_N,fixed_roster,0.03,7,0.8,50,,,
required_N,fixed_roster,0.03,8,0.8,50,,,
required_N,fixed_roster,0.03,9,0.8,50,,,
required_N,fixed_roster,0.03,10,0.8,50,,,
required_N,fixed_roster,0.03,12,0.8,50,,,
required_N,fixed_roster,0.04,5,0.8,50,,,
required_N,fixed_roster,0.04,7,0.8,50,,,
required_N,fixed_roster,0.04,8,0.8,50,,,
required_N,fixed_roster,0.04,9,0.8,50,,,
required_N,fixed_roster,0.04,10,0.8,50,,,
required_N,fixed_roster,0.04,12,0.8,50,,,
MDE,fixed_roster,,5,,,50,0.013395315459759636,0.01549876943966277
MDE,fixed_roster,,5,,,80,0.010589926707326504,0.012252853089786492
MDE,fixed_roster,,5,,,100,0.009471918397729033,0.010959284970832373
MDE,fixed_roster,,5,,,120,0.008646638948807302,0.010004412654420394
MDE,fixed_roster,,5,,,150,0.007733788986572181,0.008948218708097245
MDE,fixed_roster,,5,,,200,0.006697657729879818,0.007749384719831385
MDE,fixed_roster,,7,,,50,0.013395315459759636,0.01549876943966277
MDE,fixed_roster,,7,,,80,0.010589926707326504,0.012252853089786492
MDE,fixed_roster,,7,,,100,0.009471918397729033,0.010959284970832373
MDE,fixed_roster,,7,,,120,0.008646638948807302,0.010004412654420394
MDE,fixed_roster,,7,,,150,0.007733788986572181,0.008948218708097245
MDE,fixed_roster,,7,,,200,0.006697657729879818,0.007749384719831385
MDE,fixed_roster,,8,,,50,0.013395315459759636,0.01549876943966277
MDE,fixed_roster,,8,,,80,0.010589926707326504,0.012252853089786492
MDE,fixed_roster,,8,,,100,0.009471918397729033,0.010959284970832373
MDE,fixed_roster,,8,,,120,0.008646638948807302,0.010004412654420394
MDE,fixed_roster,,8,,,150,0.007733788986572181,0.008948218708097245
MDE,fixed_roster,,8,,,200,0.006697657729879818,0.007749384719831385
MDE,fixed_roster,,9,,,50,0.013395315459759636,0.01549876943966277
