record_type,assumption_set_id,effect_size,target_power,required_N,variance_source,n_tasks,n_buildings,MDE_80,MDE_90
required_N,optimistic,0.005,0.8,244,empirical_A2_minus_A0_paired_delta,,,,
required_N,optimistic,0.005,0.9,325,empirical_A2_minus_A0_paired_delta,,,,
required_N,optimistic,0.01,0.8,60,empirical_A2_minus_A0_paired_delta,,,,
required_N,optimistic,0.01,0.9,82,empirical_A2_minus_A0_paired_delta,,,,
required_N,optimistic,0.015,0.8,24,empirical_A2_minus_A0_paired_delta,,,,
required_N,optimistic,0.015,0.9,35,empirical_A2_minus_A0_paired_delta,,,,
required_N,optimistic,0.02,0.8,20,empirical_A2_minus_A0_paired_delta,,,,
required_N,optimistic,0.02,0.9,20,empirical_A2_minus_A0_paired_delta,,,,
required_N,optimistic,0.025,0.8,20,empirical_A2_minus_A0_paired_delta,,,,
required_N,optimistic,0.025,0.9,20,empirical_A2_minus_A0_paired_delta,,,,
required_N,optimistic,0.03,0.8,20,empirical_A2_minus_A0_paired_delta,,,,
required_N,optimistic,0.03,0.9,20,empirical_A2_minus_A0_paired_delta,,,,
MDE,optimistic,,,,empirical_A2_minus_A0_paired_delta,40,5,0.01230438293250981,0.014236528788080753
MDE,optimistic,,,,empirical_A2_minus_A0_paired_delta,50,6,0.011073100685087786,0.012811899429759827
MDE,optimistic,,,,empirical_A2_minus_A0_paired_delta,60,8,0.009953028874273231,0.011515943779903719
MDE,optimistic,,,,empirical_A2_minus_A0_paired_delta,70,9,0.009262883432526,0.010717425438651718
MDE,optimistic,,,,empirical_A2_minus_A0_paired_delta,80,10,0.008700512609893704,0.010066746046609402
MDE,optimistic,,,,empirical_A2_minus_A0_paired_delta,100,12,0.007829864583186977,0.009059380966663233
required_N,central,0.005,0.8,485,empirical_A2_minus_A0_paired_delta,,,,
required_N,central,0.005,0.9,>500,empirical_A2_minus_A0_paired_delta,,,,
required_N,central,0.01,0.8,122,empirical_A2_minus_A0_paired_delta,,,,
required_N,central,0.01,0.9,164,empirical_A2_minus_A0_paired_delta,,,,
required_N,central,0.015,0.8,53,empirical_A2_minus_A0_paired_delta,,,,
required_N,central,0.015,0.9,73,empirical_A2_minus_A0_paired_delta,,,,
required_N,central,0.02,0.8,28,empirical_A2_minus_A0_paired_delta,,,,
required_N,central,0.02,0.9,41,empirical_A2_minus_A0_paired_delta,,,,
required_N,central,0.025,0.8,20,empirical_A2_minus_A0_paired_delta,,,,
required_N,central,0.025,0.9,23,empirical_A2_minus_A0_paired_delta,,,,
required_N,central,0.03,0.8,20,empirical_A2_minus_A0_paired_delta,,,,
required_N,central,0.03,0.9,20,empirical_A2_minus_A0_paired_delta,,,,
MDE,central,,,,empirical_A2_minus_A0_paired_delta,40,5,0.017401025219787408,0.020133492093218804
MDE,central,,,,empirical_A2_minus_A0_paired_delta,50,6,0.015659729166373954,0.018118761933326465
MDE,central,,,,empirical_A2_minus_A0_paired_delta,60,8,0.014075708420688223,0.016286003877065924
MDE,central,,,,empirical_A2_minus_A0_paired_delta,70,9,0.013099695376959318,0.015156728409063678
MDE,central,,,,empirical_A2_minus_A0_paired_delta,80,10,0.01230438293250981,0.014236528788080753
MDE,central,,,,empirical_A2_minus_A0_paired_delta,100,12,0.011073100685087786,0.012811899429759827
required_N,pessimistic,0.005,0.8,>500,empirical_A2_minus_A0_paired_delta,,,,
required_N,pessimistic,0.005,0.9,>500,empirical_A2_minus_A0_paired_delta,,,,
required_N,pessimistic,0.01,0.8,244,empirical_A2_minus_A0_paired_delta,,,,
required_N,pessimistic,0.01,0.9,325,empirical_A2_minus_A0_paired_delta,,,,
required_N,pessimistic,0.015,0.8,108,empirical_A2_minus_A0_paired_delta,,,,
required_N,pessimistic,0.015,0.9,145,empirical_A2_minus_A0_paired_delta,,,,
required_N,pessimistic,0.02,0.8,60,empirical_A2_minus_A0_paired_delta,,,,
required_N,pessimistic,0.02,0.9,82,empirical_A2_minus_A0_paired_delta,,,,
required_N,pessimistic,0.025,0.8,39,empirical_A2_minus_A0_paired_delta,,,,
required_N,pessimistic,0.025,0.9,53,empirical_A2_minus_A0_paired_delta,,,,
required_N,pessimistic,0.03,0.8,24,empirical_A2_minus_A0_paired_delta,,,,
required_N,pessimistic,0.03,0.9,35,empirical_A2_minus_A0_paired_delta,,,,
MDE,pessimistic,,,,empirical_A2_minus_A0_paired_delta,40,5,0.02460876586501962,0.028473057576161507
MDE,pessimistic,,,,empirical_A2_minus_A0_paired_delta,50,6,0.02214620137017557,0.025623798859519653
MDE,pessimistic,,,,empirical_A2_minus_A0_paired_delta,60,8,0.019906057748546462,0.023031887559807437
MDE,pessimistic,,,,empirical_A2_minus_A0_paired_delta,70,9,0.018525766865052,0.021434850877303437
MDE,pessimistic,,,,empirical_A2_minus_A0_paired_delta,80,10,0.017401025219787408,0.020133492093218804
MDE,pessimistic,,,,empirical_A2_minus_A0_paired_delta,100,12,0.015659729166373954,0.018118761933326465
