assumption_set_id,variance_source,effect_size,n_tasks,n_workers,n_pairs,n_buildings,analysis_model,power,simulation_replicates,seed
central,empirical_A2_minus_A0_paired_delta,0.01,50,5,,6,paired_task_delta_building_cluster_simulation,0.328,1000,20311818
central,empirical_A2_minus_A0_paired_delta,0.015,50,5,,6,paired_task_delta_building_cluster_simulation,0.56,1000,20312318
central,empirical_A2_minus_A0_paired_delta,0.02,50,5,,6,paired_task_delta_building_cluster_simulation,0.81,1000,20312818
central,empirical_A2_minus_A0_paired_delta,0.025,50,5,,6,paired_task_delta_building_cluster_simulation,0.941,1000,20313318
central,empirical_A2_minus_A0_paired_delta,0.03,50,5,,6,paired_task_delta_building_cluster_simulation,0.986,1000,20313818
central,empirical_A2_minus_A0_paired_delta,0.005,60,5,,8,paired_task_delta_building_cluster_simulation,0.138,1000,20321318
central,empirical_A2_minus_A0_paired_delta,0.01,60,5,,8,paired_task_delta_building_cluster_simulation,0.399,1000,20321818
central,empirical_A2_minus_A0_paired_delta,0.015,60,5,,8,paired_task_delta_building_cluster_simulation,0.691,1000,20322318
central,empirical_A2_minus_A0_paired_delta,0.02,60,5,,8,paired_task_delta_building_cluster_simulation,0.916,1000,20322818
central,empirical_A2_minus_A0_paired_delta,0.025,60,5,,8,paired_task_delta_building_cluster_simulation,0.984,1000,20323318
central,empirical_A2_minus_A0_paired_delta,0.03,60,5,,8,paired_task_delta_building_cluster_simulation,0.999,1000,20323818
central,empirical_A2_minus_A0_paired_delta,0.005,70,5,,9,paired_task_delta_building_cluster_simulation,0.153,1000,20331318
central,empirical_A2_minus_A0_paired_delta,0.01,70,5,,9,paired_task_delta_building_cluster_simulation,0.471,1000,20331818
central,empirical_A2_minus_A0_paired_delta,0.015,70,5,,9,paired_task_delta_building_cluster_simulation,0.8,1000,20332318
central,empirical_A2_minus_A0_paired_delta,0.02,70,5,,9,paired_task_delta_building_cluster_simulation,0.972,1000,20332818
