assumption_set_id,variance_source,effect_size,n_tasks,n_workers,n_pairs,n_buildings,analysis_model,power,simulation_replicates,seed
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,80,10,5,8,fixed_pair_effects_clustered_simulation,0.33,1000,20341867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,80,10,5,8,fixed_pair_effects_clustered_simulation,0.633,1000,20342367
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,80,10,5,8,fixed_pair_effects_clustered_simulation,0.844,1000,20342867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,80,10,5,8,fixed_pair_effects_clustered_simulation,0.959,1000,20343367
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,80,10,5,8,fixed_pair_effects_clustered_simulation,0.986,1000,20343867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,80,10,5,8,fixed_pair_effects_clustered_simulation,1.0,1000,20344867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,80,14,7,8,fixed_pair_effects_clustered_simulation,0.427,1000,20341887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,80,14,7,8,fixed_pair_effects_clustered_simulation,0.774,1000,20342387
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,80,14,7,8,fixed_pair_effects_clustered_simulation,0.938,1000,20342887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,80,14,7,8,fixed_pair_effects_clustered_simulation,0.987,1000,20343387
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,80,14,7,8,fixed_pair_effects_clustered_simulation,1.0,1000,20343887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,80,14,7,8,fixed_pair_effects_clustered_simulation,1.0,1000,20344887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,80,16,8,8,fixed_pair_effects_clustered_simulation,0.477,1000,20341897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,80,16,8,8,fixed_pair_effects_clustered_simulation,0.825,1000,20342397
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,80,16,8,8,fixed_pair_effects_clustered_simulation,0.96,1000,20342897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,80,16,8,8,fixed_pair_effects_clustered_simulation,0.994,1000,20343397
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,80,16,8,8,fixed_pair_effects_clustered_simulation,0.999,1000,20343897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,80,16,8,8,fixed_pair_effects_clustered_simulation,1.0,1000,20344897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,80,18,9,8,fixed_pair_effects_clustered_simulation,0.499,1000,20341907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,80,18,9,8,fixed_pair_effects_clustered_simulation,0.837,1000,20342407
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,80,18,9,8,fixed_pair_effects_clustered_simulation,0.97,1000,20342907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,80,18,9,8,fixed_pair_effects_clustered_simulation,0.997,1000,20343407
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,80,18,9,8,fixed_pair_effects_clustered_simulation,1.0,1000,20343907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,80,18,9,8,fixed_pair_effects_clustered_simulation,1.0,1000,20344907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,80,20,10,8,fixed_pair_effects_clustered_simulation,0.495,1000,20341917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,80,20,10,8,fixed_pair_effects_clustered_simulation,0.862,1000,20342417
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,80,20,10,8,fixed_pair_effects_clustered_simulation,0.984,1000,20342917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,80,20,10,8,fixed_pair_effects_clustered_simulation,0.999,1000,20343417
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,80,20,10,8,fixed_pair_effects_clustered_simulation,1.0,1000,20343917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,80,20,10,8,fixed_pair_effects_clustered_simulation,1.0,1000,20344917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,80,24,12,8,fixed_pair_effects_clustered_simulation,0.567,1000,20341937
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,80,24,12,8,fixed_pair_effects_clustered_simulation,0.906,1000,20342437
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,80,24,12,8,fixed_pair_effects_clustered_simulation,0.988,1000,20342937
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,80,24,12,8,fixed_pair_effects_clustered_simulation,1.0,1000,20343437
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,80,24,12,8,fixed_pair_effects_clustered_simulation,1.0,1000,20343937
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,80,24,12,8,fixed_pair_effects_clustered_simulation,1.0,1000,20344937
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,100,10,5,10,fixed_pair_effects_clustered_simulation,0.399,1000,20361867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,100,10,5,10,fixed_pair_effects_clustered_simulation,0.699,1000,20362367
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,100,10,5,10,fixed_pair_effects_clustered_simulation,0.873,1000,20362867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,100,10,5,10,fixed_pair_effects_clustered_simulation,0.967,1000,20363367
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,100,10,5,10,fixed_pair_effects_clustered_simulation,0.992,1000,20363867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,100,10,5,10,fixed_pair_effects_clustered_simulation,1.0,1000,20364867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,100,14,7,10,fixed_pair_effects_clustered_simulation,0.49,1000,20361887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,100,14,7,10,fixed_pair_effects_clustered_simulation,0.822,1000,20362387
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,100,14,7,10,fixed_pair_effects_clustered_simulation,0.96,1000,20362887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,100,14,7,10,fixed_pair_effects_clustered_simulation,0.996,1000,20363387
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,100,14,7,10,fixed_pair_effects_clustered_simulation,1.0,1000,20363887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,100,14,7,10,fixed_pair_effects_clustered_simulation,1.0,1000,20364887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,100,16,8,10,fixed_pair_effects_clustered_simulation,0.534,1000,20361897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,100,16,8,10,fixed_pair_effects_clustered_simulation,0.838,1000,20362397
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,100,16,8,10,fixed_pair_effects_clustered_simulation,0.985,1000,20362897
