image_id,comparison_status,raw_sequence_equal,ordered_cycle_equal,declared_manifest_status,legacy_linear_gap,legacy_linear_gap_zero,legacy_metric,interpretation
B6ByNegPMKs_5b3d1c9fefb64512b0c9750a00feece4,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,comparable,False,False,ok,0.07377472055,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,comparable,False,False,ok,0.003151806091,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_75327de9719945aa8b893a6404667884,comparable,True,True,ok,0.0,True,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_8c889fb13bce4bcebdac872570cb5381,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_8d4e583714dd484d8e1e9bfb38ef2250,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_9a11dae14ce9444287b881b54c6f6b6e,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_b5d0239ee410435aa172b77984b9faa4,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,comparable,False,False,ok,0.015314073364,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_bb2332e3d7ad40a59ee5ad0eae108dec,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,comparable,False,False,ok,0.002823839804,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_ce2f5a74556c4be192df3ca7a178cefb,comparable,True,True,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,comparable,False,False,ok,0.018548649528,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_d2dcbd73533446dcaf50e6be98c30386,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_d7ade8d217fe4d068fc3629dd2510898,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,comparable,False,False,ok,0.017956234639,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,comparable,False,False,ok,0.13482171392,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,comparable,True,True,ok,0.0,True,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,comparable,True,True,ok,0.0,True,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,comparable,True,True,ok,0.0,True,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,comparable,False,False,ok,0.003782770152,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,comparable,False,False,ok,0.02591674279,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,comparable,False,False,ok,0.006292875926,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,comparable,False,False,ok,0.001738599253,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,comparable,True,True,ok,0.0,True,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,comparable,False,False,ok,0.004514513455,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,comparable,False,False,ok,0.001841802836,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,comparable,False,False,ok,0.006516656548,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,not_evaluable,,,degenerate,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_1018c8753d68416e8f2d48a144282aeb,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,comparable,False,False,ok,0.013956594324,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_2460d9e0bb2047e3b15b5eeeb58f68a8,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_28e58f32d4274b62ac6d2b239e9e8516,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,comparable,False,False,ok,0.134043029613,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_6faf5c6575694e52882985ae8538f498,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,comparable,False,False,ok,0.000616780406,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,comparable,False,False,ok,0.015989292499,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,comparable,False,False,ok,0.003983889152,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_92a9d9780863464195c5cfdd1851d623,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,comparable,False,False,ok,0.156384837335,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_a7ae0b7c2c574b4a843af1be0c808f77,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_b51c75363db94cc09b68d661fcfcd186,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,comparable,False,False,ok,0.009228465228,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,comparable,False,False,ok,0.009380619866,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_c3d8db2f8817403e88c7d96e96ebd9b6,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,comparable,False,False,ok,0.001099616643,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,comparable,False,False,ok,0.000717542014,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,comparable,False,False,ok,0.003621265116,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,comparable,False,False,ok,0.000378294881,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,comparable,True,True,ok,0.0,True,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,comparable,False,False,ok,0.00536461801,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,comparable,False,False,ok,0.003850029414,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,comparable,False,False,ok,0.008190292041,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_0595477618f44940b004970372df16dc,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
