worker_id,deployment_id,project_id,runtime_task_id,planned_task_id,active_seconds,event_count,session_count,match_status,primary_active_time_eligible,script_versions,schema_status,audit_flags,affects_geometry_or_routing
1,c2b_zh,84,3533,pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,197.0,8,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
1,c2b_zh,84,3534,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,211.0,11,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
10,c2b_zh,84,3535,S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,118.0,7,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
10,c2b_zh,84,3536,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,84.0,4,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
11,c2b_zh,84,3537,S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,179.0,7,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
11,c2b_zh,84,3538,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,188.0,8,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
15,c2b_zh,84,3538,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,918.0,31,1,project+task+annotator,True,0.24-official,auxiliary_mixed_or_legacy,legacy_script_auxiliary_only,false
12,c2b_zh,84,3539,pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,225.0,9,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
12,c2b_zh,84,3540,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,76.0,4,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
13,c2b_zh,84,3540,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,26.0,4,3,project+task+annotator,True,stage1_active_time_annotation_hardening_20260701_v1,auxiliary_mixed_or_legacy,legacy_script_auxiliary_only,false
13,c2b_zh,84,3541,jtcxE69GiFV_44661972414d44fabc0799f237e4d7f0,47.0,4,2,project+task+annotator,True,stage1_active_time_annotation_hardening_20260701_v1,auxiliary_mixed_or_legacy,legacy_script_auxiliary_only,false
15,c2b_zh,84,3542,zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,153.0,7,1,project+task+annotator,True,0.24-official,auxiliary_mixed_or_legacy,legacy_script_auxiliary_only,false
17,c2b_zh,84,3543,jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,56.0,5,3,project+task+annotator,True,stage1_active_time_annotation_hardening_20260701_v1,auxiliary_mixed_or_legacy,legacy_script_auxiliary_only,false
17,c2b_zh,84,3544,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,118.0,10,5,project+task+annotator,True,stage1_active_time_annotation_hardening_20260701_v1,auxiliary_mixed_or_legacy,legacy_script_auxiliary_only,false
8,c2b_zh,84,3544,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,111.0,5,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
2,c2b_zh,84,3545,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,224.0,8,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
2,c2b_zh,84,3546,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,122.0,5,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
6,c2b_zh,84,3547,jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,139.0,6,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
6,c2b_zh,84,3548,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,51.0,3,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
8,c2b_zh,84,3549,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,85.0,4,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
28,c2b_en,85,3550,jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,113.0,6,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
28,c2b_en,85,3551,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,202.0,9,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
29,c2b_en,85,3552,pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,415.0,21,2,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
29,c2b_en,85,3553,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,180.0,9,2,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
30,c2b_en,85,3554,pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,81.0,6,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
30,c2b_en,85,3555,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,123.0,6,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
37,c2b_en,85,3555,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,201.0,8,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
31,c2b_en,85,3556,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,240.0,9,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
34,c2b_en,85,3556,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,205.0,16,2,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
31,c2b_en,85,3557,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,238.0,11,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
32,c2b_en,85,3558,zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,204.0,10,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
32,c2b_en,85,3559,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,207.0,9,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
35,c2b_en,85,3559,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,77.0,6,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
33,c2b_en,85,3560,pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,153.0,8,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
33,c2b_en,85,3561,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,145.0,8,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
34,c2b_en,85,3561,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,163.0,8,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
36,c2b_en,85,3561,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,1896.0,70,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,long_duration_review,false
35,c2b_en,85,3562,pa4otMbVnkk_fc4ee7e59f32491d9817b3a9a5b5e9b1,172.0,9,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
36,c2b_en,85,3563,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,3474.0,129,4,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,long_duration_review,false
37,c2b_en,85,3564,jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,301.0,13,1,project+task+annotator,True,c2plus_task_worker_active_time_20260802_v2,auxiliary_available,none,false
