dimension,level,rows,active_seconds_n,active_seconds_mean,active_seconds_median,active_seconds_sd,active_seconds_min,active_seconds_q25,active_seconds_q75,active_seconds_max
all,all,40,40,302.95,167.5,598.5278071213032,26.0,112.5,208.0,3474.0
task_stratum,ordinary,20,20,339.05,175.5,742.9260411585926,47.0,116.75,224.25,3474.0
task_stratum,stress,20,20,266.85,154.0,425.0210242477795,26.0,104.25,203.25,1896.0
audit_flags,legacy_script_auxiliary_only,6,6,219.66666666666666,87.0,345.4149195774072,26.0,49.25,144.25,918.0
audit_flags,long_duration_review,2,2,2685.0,2685.0,1115.814500712372,1896.0,2290.5,3079.5,3474.0
audit_flags,none,32,32,169.6875,175.5,74.34897552280275,51.0,116.75,205.5,415.0
