task_stratum,worker_scope_choices,rows,row_rate,registry_in_scope_rows,worker_registry_scope_conflict_rows,quality_mean,risk_mean,active_seconds_median
all,normal,33,0.825,33,0,0.8802666013593073,5.7940637898058425,172.0
all,oos_insufficient,3,0.075,3,3,0.7350115403448121,4.723194064590591,197.0
all,oos_open_boundary,4,0.1,4,4,0.8406312746702753,7.4082185584083575,118.0
ordinary,normal,16,0.8,16,0,0.9369748559398519,4.060515000685632,191.5
ordinary,oos_insufficient,2,0.1,2,2,0.8080518294770731,4.201397629818717,168.0
ordinary,oos_open_boundary,2,0.1,2,2,0.9496834505629987,3.6884274206339995,97.0
stress,normal,17,0.85,17,0,0.8271026126900469,7.425639120742511,145.0
stress,oos_insufficient,1,0.05,1,1,0.58893096208029,5.76678693413434,211.0
stress,oos_open_boundary,2,0.1,2,2,0.7315790987775517,11.128009696182716,162.5
