base_task_id,evidence_stage,building_id,task_stratum,risk,rows_total,rows_eligible,workers,quality_mean,quality_median,quality_sd,quality_min,quality_max,reference_status,registry_status,reference_normalizer_status,final_scope,scope_review_level,per_image_human_scope_review,review_status,review_disposition,issue_type,meta_rows,occlusion_rate,trivial_rate,worker_scope_oos_rate
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,C2A_RP_BLOCK1,2t7WUuJeko7,ordinary,3.928480185152084,1,1,1,0.9558731244130336,0.9558731244130336,,0.9558731244130336,0.9558731244130336,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,in_scope,dataset_level_protocol_assumption,false,,,,,,,
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,C2A_RP_BLOCK1,S9hNv5qa7GM,ordinary,4.139632060675147,1,1,1,0.8762633100369571,0.8762633100369571,,0.8762633100369571,0.8762633100369571,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,in_scope,dataset_level_protocol_assumption,false,,,,,,,
jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,C2A_RP_BLOCK1,jh4fc5c5qoQ,ordinary,3.595006432551763,1,1,1,0.7554462207479058,0.7554462207479058,,0.7554462207479058,0.7554462207479058,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,in_scope,dataset_level_protocol_assumption,false,,,,,,,
jtcxE69GiFV_3fb4bb890d7f4964b496a46db647e72a,C2A_RP_BLOCK1,jtcxE69GiFV,ordinary,3.874768143483207,1,1,1,0.9020208456601884,0.9020208456601884,,0.9020208456601884,0.9020208456601884,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,in_scope,dataset_level_protocol_assumption,false,,,,,,,
jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,C2A_RP_BLOCK1,jtcxE69GiFV,ordinary,3.8929663992613457,1,0,1,,,,,,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,in_scope,dataset_level_protocol_assumption,false,,,,,,,
pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,C2A_RP_BLOCK1,pRbA3pwrgk9,ordinary,3.511845508517192,1,1,1,0.978423309899633,0.978423309899633,,0.978423309899633,0.978423309899633,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,in_scope,dataset_level_protocol_assumption,false,,,,,,,
pa4otMbVnkk_eac7bdc24b24474ba38b8b0b5acd62f6,C2A_RP_BLOCK1,pa4otMbVnkk,ordinary,3.8394553324631153,1,0,1,,,,,,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,in_scope,dataset_level_protocol_assumption,false,,,,,,,
zsNo4HB9uLZ_2caadd7bc71c43d5ad10f4e7f10a3455,C2A_RP_BLOCK1,zsNo4HB9uLZ,ordinary,3.694259647695755,1,1,1,0.947278783924994,0.947278783924994,,0.947278783924994,0.947278783924994,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,in_scope,dataset_level_protocol_assumption,false,,,,,,,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,C2A_RP_BLOCK1;C2A_RP_BLOCK2,2t7WUuJeko7,ordinary,3.9778924598625696,3,3,3,0.9665749064554262,0.9625029747739172,0.011651893801605915,0.9575054160493736,0.9797163285429876,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,in_scope,dataset_level_protocol_assumption,false,,,,1.0,0.0,1.0,0.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,C2A_RP_BLOCK1;C2A_RP_BLOCK2,2t7WUuJeko7,ordinary,3.768993304208514,3,3,3,0.9623616203044328,0.9574425328041434,0.014032410639952676,0.9514510300989424,0.9781912980102128,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,in_scope,dataset_level_protocol_assumption,false,,,,2.0,1.0,0.0,0.0
