worker_id,rows_total,rows_eligible,tasks,buildings,ordinary_n,stress_n,c2b_n,block1_n,block2_n,risk_min,risk_max,risk_span,risk_sd,risk_leverage_sum_sq,quality_mean,quality_median,quality_sd,direct_risk_slope_diagnostic,direct_risk_slope_se_diagnostic,block2_meta_rows,block2_occlusion_yes,block2_scope_oos,block2_active_n,block2_active_median_seconds,block2_active_max_seconds,block2_active_flagged
1,12,11,11,6,7,4,7,2,2,3.890175999177667,6.831342493839091,2.9411664946614238,1.0856100405571276,11.78549160158448,0.8196858683255868,0.876183041076147,0.13520813414818106,-0.0592477706909264,0.036516890327437705,2,2,2,2,204.0,211.0,0
2,12,10,10,5,6,4,7,1,2,3.6156052152509655,9.481862942795813,5.866257727544847,1.8827747839977909,31.90356798532135,0.9063835604139726,0.9463574877453701,0.1252510501138051,-0.014910576721736625,0.02292163824241917,2,2,0,2,173.0,224.0,0
6,12,12,12,6,7,5,8,2,2,3.446418996433377,9.481862942795813,6.035443946362435,1.695809003227531,31.633449929703076,0.8894565425742204,0.917852249558631,0.10333748448768686,-0.00843267971456996,0.019084563962032914,2,1,1,2,95.0,139.0,0
8,12,12,12,7,7,5,8,2,2,3.446418996433377,9.481862942795813,6.035443946362435,1.9386153916088578,41.340526002410414,0.8627959558659355,0.8976411107493951,0.125101190840061,-0.039125882212167236,0.016227883407088788,2,0,0,2,98.0,111.0,0
10,12,11,11,5,7,4,7,2,2,3.622320944116328,14.109703699097196,10.487382754980867,2.971192516184759,88.2798496823232,0.8730684808146638,0.9205453803499845,0.11879738295468419,-0.025910503882997173,0.010150485815355447,2,1,0,2,101.0,118.0,0
11,12,12,12,5,7,5,8,2,2,3.859560696473668,8.745138446780821,4.885577750307153,1.6230652273958555,28.977748056197164,0.9211102686730692,0.9389055023237265,0.050213937857691786,-0.012854630537420189,0.008898881976926357,2,2,0,2,183.5,188.0,0
12,12,11,11,6,7,4,7,2,2,3.859560696473668,9.481862942795813,5.622302246322144,1.9292488862317299,37.2200126502637,0.8803737013522749,0.9004696271771988,0.07974683695188801,-0.020792938529666863,0.011908414887090985,2,2,0,2,150.5,225.0,0
13,12,11,11,6,7,4,8,1,2,3.874768143483207,9.481862942795813,5.6070947993126055,1.6691553435027193,27.86079560743681,0.8851774425270118,0.9160555281123736,0.08152582778718652,-0.01950404329920091,0.014926443415151404,2,1,0,2,36.5,47.0,2
15,12,11,11,8,6,5,8,1,2,3.6864736105910576,9.481862942795813,5.7953893322047545,1.7365595857202951,30.15639194757043,0.8797720421494241,0.9160555281123736,0.09230042561382021,-0.010416595671365068,0.017373532949523374,2,1,0,2,535.5,918.0,2
17,12,12,12,7,7,5,8,2,2,3.890175999177667,7.29202638738098,3.4018503882033126,1.034254106273827,11.766497119787,0.8795053138650908,0.9368908593013809,0.1239676210822069,-0.027292156884047285,0.036907998726134796,2,2,0,2,87.0,118.0,2
28,12,10,10,5,6,4,7,1,2,3.802659941901452,14.109703699097196,10.307043757195743,3.0275101017562633,82.49235674612599,0.8220105230760717,0.8249062276805157,0.11493524104768665,-0.024612207473415585,0.010219317715684843,2,1,2,2,157.5,202.0,0
29,12,10,10,5,6,4,8,1,1,3.511845508517192,7.29202638738098,3.7801808788637876,1.2117005351423134,13.213963681777518,0.8142498594241901,0.8663302624200242,0.17025867810247616,-0.04845922389318624,0.04663069676968452,2,1,0,2,297.5,415.0,0
30,12,10,10,5,6,4,8,0,2,3.5741948993665464,14.109703699097196,10.53550879973065,3.0991184360240194,86.44081572453567,0.8629605588641602,0.8404107215254784,0.07438603221983384,-0.016957198705833128,0.006005880184690468,2,1,2,2,102.0,123.0,0
31,12,12,12,6,7,5,8,2,2,3.768993304208514,7.183628916179173,3.414635611970659,1.2590758758890241,17.437992673702844,0.8570891190643292,0.9090679383763884,0.1438846710218784,-0.054610447173319226,0.03174454282937501,2,2,0,2,239.0,240.0,0
32,12,12,12,5,7,5,8,2,2,3.406655903885932,8.146315693268235,4.739659789382303,1.609133146549717,28.482404316574918,0.8616011425045781,0.9224830464099278,0.1384836507710025,-0.04048784123267525,0.024015068265028375,2,0,0,2,205.5,207.0,0
33,12,12,12,5,7,5,8,2,2,3.406655903885932,7.29202638738098,3.8853704834950475,1.3891470482963884,21.22702473969625,0.8699234233387055,0.9359356942183056,0.18007774761416437,-0.05139665532741195,0.037633507553077934,2,2,0,2,149.0,153.0,0
34,12,12,12,6,7,5,8,2,2,3.56801929571565,7.29202638738098,3.72400709166533,1.230596915108958,16.65805644223252,0.851373945180316,0.9051986428995525,0.1634447882543956,-0.04085327990868856,0.0399643516718607,2,2,0,2,184.0,205.0,0
35,12,11,11,6,7,4,8,1,2,3.56801929571565,7.183628916179173,3.6156096204635233,1.3448149419019009,18.08527227962613,0.8675094960957296,0.9002812144651818,0.1317507113316523,-0.0623852535078395,0.025179540289109355,2,0,0,2,124.5,172.0,0
36,12,12,12,6,7,5,8,2,2,4.11082649457379,8.146315693268235,4.035489198694445,1.1672661410585004,14.98761268467763,0.839173328781956,0.8745207337230955,0.12006990139654852,-0.04482817506916609,0.029277088307706,2,2,0,2,2685.0,3474.0,2
37,12,11,11,5,7,4,8,2,1,3.595006432551763,8.146315693268235,4.551309260716472,1.4427266745691327,20.814602575133083,0.7572859550282903,0.8012613983061712,0.1775322802580581,-0.05053282894717629,0.037399566505002,2,0,0,2,251.0,301.0,0
