task_stratum,tag,rows,yes_n,yes_rate,quality_yes_mean,quality_no_mean,risk_yes_mean,risk_no_mean,active_yes_median,active_no_median
all,trivial,40,14,0.35,0.908368628548281,0.8418812876290563,5.865837983262651,5.880185758666188,133.0,183.5
all,occlusion,40,25,0.625,0.8458748420266393,0.896773439515337,5.551005041048947,6.415429030984953,188.0,123.0
all,low_texture,40,3,0.075,0.8780292159496471,0.8634781918287179,8.413607379520535,5.669344306822605,123.0,172.0
all,seam,40,3,0.075,0.7589579295853911,0.8736843020885112,6.110396910271263,5.856091101626599,139.0,172.0
all,reflection,40,1,0.025,0.9619683810317644,0.861996107589792,3.890175999177667,5.926061166456932,56.0,172.0
all,low_quality,40,4,0.1,0.830545552779098,0.8686365338452255,5.587503472327578,5.907126322269103,204.0,153.0
ordinary,trivial,20,7,0.35,0.9507569140301574,0.9095662500805681,3.9411004627609136,4.089245144042241,153.0,197.0
ordinary,occlusion,20,13,0.65,0.9095662500805681,0.9507569140301574,4.089245144042241,3.9411004627609136,197.0,153.0
ordinary,low_texture,20,1,0.05,0.9464120325075984,0.9235378537039067,3.5741948993665464,4.061773432237315,81.0,179.0
ordinary,seam,20,1,0.05,0.7209599839459178,0.9360629675128891,4.418088103411216,4.0173580004454905,139.0,179.0
ordinary,reflection,20,1,0.05,0.9619683810317644,0.9226736121192309,3.890175999177667,4.04514284803673,56.0,179.0
ordinary,low_quality,20,2,0.1,0.8958058078909122,0.9281459872585938,4.513151707539054,3.9845325942665237,211.0,162.5
stress,trivial,20,7,0.35,0.8589156288194256,0.7794028607507377,7.790575503764386,7.671126373290136,111.0,163.0
stress,occlusion,20,12,0.6,0.7821834339727104,0.8427899650005168,7.134578262806214,8.580466528180988,175.5,117.0
stress,low_texture,20,2,0.1,0.8438378076706714,0.799885608666753,10.83331361959753,7.366224674440411,155.5,154.0
stress,seam,20,2,0.1,0.7779569024051277,0.8076363034038758,6.956551313701288,7.796976041762215,1009.0,154.0
stress,reflection,20,0,0.0,,0.8045121559303233,,7.712933568956122,,154.0
stress,low_quality,20,2,0.1,0.7652852976672838,0.8091270804318573,6.661855237116101,7.829720050271681,199.5,134.0
