image_id,code,condition,building,N_observed,N_geometry,N_unavailable,development_image,method,omitted_worker,ARI,changed_pairs,total_pairs
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,A1_mask,W027,1.0,0,6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,A1_mask,W028,1.0,0,6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,A1_mask,W030,1.0,0,6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,A3_cyclic,W006,1.0,0,6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,A3_cyclic,W010,1.0,0,6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,A3_cyclic,W027,1.0,0,6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,A3_cyclic,W028,1.0,0,6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,A3_cyclic,W030,1.0,0,6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,A3_cyclic_cut08,W006,1.0,0,6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,A3_cyclic_cut08,W010,1.0,0,6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,A3_cyclic_cut08,W027,1.0,0,6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,A3_cyclic_cut08,W028,1.0,0,6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,0,False,A3_cyclic_cut08,W030,1.0,0,6
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W001,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W002,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W006,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W008,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W010,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W011,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A0_legacy,W012,1.0,0,253
