model,baseline,delta_MAE,low,high
model_counts_and_gaps,model_counts,-0.003750348907447201,-0.007664689336686767,-0.00026034822210977646
counts_gaps_rotation,model_counts_and_gaps,5.408948960210004e-05,-0.002228749866279087,0.0024355628613192456
