image_id,building_id,method,replicate,human_count,synthetic_count,corner_count_tv,human_to_sim_nearest_deg,sim_to_human_nearest_deg,symmetric_coverage_deg,human_diversity_deg,synthetic_diversity_deg,diversity_absolute_error_deg,basic_parse_failure_rate,geometry_issue_rate
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,worker_conservative,0,24,50,0.0,0.9541743145459738,1.4749790208845357,1.2145766677152547,1.3338407536479218,2.3340480429645423,1.0002072893166205,0.0,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,worker_conservative,1,24,50,0.0,0.9428596845641057,1.462372588041244,1.2026161363026748,1.3338407536479218,2.357939222790324,1.0240984691424022,0.0,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,worker_conservative,2,24,50,0.0,0.9202112670673571,1.5935860436526073,1.2568986553599821,1.3338407536479218,2.5959834661181254,1.2621427124702036,0.0,0.0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,worker_conservative,0,24,50,0.4583333333333333,9.82345266297299,3.5014371673758875,6.662444915174438,11.543643991862119,8.537736462515936e-08,11.543643906484755,0.0,0.0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,worker_conservative,1,24,50,0.4583333333333333,9.82345266297299,3.5014371673758875,6.662444915174438,11.543643991862119,8.537736462515936e-08,11.543643906484755,0.0,0.0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,worker_conservative,2,24,50,0.4583333333333333,9.82345266297299,3.5014371673758875,6.662444915174438,11.543643991862119,8.537736462515936e-08,11.543643906484755,0.0,0.0
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,worker_conservative,0,23,50,0.8695652173913043,8.87893202362246,3.042634619706595,5.960783321664527,8.035398718247231,2.713360005989828,5.322038712257403,0.0,0.0
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,worker_conservative,1,23,50,0.8695652173913043,8.916033015004368,3.015869346474905,5.965951180739637,8.035398718247231,2.6429937307088203,5.392404987538411,0.0,0.0
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,worker_conservative,2,23,50,0.8695652173913043,8.958570642527217,3.1530724897155893,6.055821566121403,8.035398718247231,2.8290137605901484,5.206384957657082,0.0,0.0
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,worker_conservative,0,24,50,1.0,10.338232990350706,9.627841764830409,9.983037377590557,6.686472813307024,2.401375046426477,4.285097766880547,0.0,0.0
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,worker_conservative,1,24,50,1.0,10.270007218132221,9.638844859023042,9.954426038577632,6.686472813307024,2.6149880223276964,4.071484790979327,0.0,0.0
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,worker_conservative,2,24,50,1.0,10.29605795140993,9.512348659478043,9.904203305443986,6.686472813307024,2.5408908900137366,4.145581923293287,0.0,0.0
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,worker_conservative,0,23,50,1.0,23.76700998120921,23.290295150392105,23.528652565800655,3.1032727368519484,2.447426961799615,0.6558457750523332,0.0,0.0
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,worker_conservative,1,23,50,1.0,23.724312750326792,23.285862740163108,23.50508774524495,3.1032727368519484,2.4813154058107787,0.6219573310411697,0.0,0.0
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,worker_conservative,2,23,50,1.0,24.34813964998167,23.38614312765243,23.86714138881705,3.1032727368519484,2.364934368553337,0.7383383682986113,0.0,0.0
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,worker_conservative,0,24,50,0.08333333333333334,5.429241748687197,2.9508460759729074,4.190043912330053,3.7480321590582055,2.5587120426195846,1.189320116438621,0.0,0.0
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,worker_conservative,1,24,50,0.08333333333333334,5.590284525774682,3.060627850245106,4.325456188009894,3.7480321590582055,2.6145797930739056,1.1334523659842999,0.0,0.0
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,worker_conservative,2,24,50,0.08333333333333334,5.607544731961845,2.9873118251875566,4.297428278574701,3.7480321590582055,2.381707647414404,1.3663245116438016,0.0,0.0
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,worker_conservative,0,20,50,0.09999999999999998,4.74169350855613,3.6099720566494926,4.175832782602812,6.439084191921732,2.657679668144097,3.7814045237776353,0.0,0.0
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,worker_conservative,1,20,50,0.09999999999999998,4.891916072432838,3.6221762446382284,4.257046158535533,6.439084191921732,2.4649002086783818,3.9741839832433503,0.0,0.0
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,worker_conservative,2,20,50,0.09999999999999998,4.952005785969123,3.730542308046085,4.341274047007604,6.439084191921732,2.4836314009276816,3.9554527909940504,0.0,0.0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,worker_conservative,0,20,50,0.0,1.0232336836440086,1.5234462328646254,1.273339958254317,1.1250278444115085,2.4521434827192325,1.327115638307724,0.0,0.0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,worker_conservative,1,20,50,0.0,1.0380490038743728,1.58905877224131,1.3135538880578415,1.1250278444115085,2.4951630877186592,1.3701352433071508,0.0,0.0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,worker_conservative,2,20,50,0.0,1.0209750628256424,1.531246096954537,1.2761105798900898,1.1250278444115085,2.4299198558424258,1.3048920114309173,0.0,0.0
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,worker_conservative,0,24,50,1.0,12.359579014787142,5.114090638937881,8.736834826862513,14.982807017966374,3.8647348424574885e-07,14.98280663149289,0.0,0.0
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,worker_conservative,1,24,50,1.0,12.359579014787142,5.114090638937881,8.736834826862513,14.982807017966374,3.8647348424574885e-07,14.98280663149289,0.0,0.0
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,worker_conservative,2,24,50,1.0,12.359579014787142,5.114090638937881,8.736834826862513,14.982807017966374,3.8647348424574885e-07,14.98280663149289,0.0,0.0
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,worker_conservative,0,23,50,0.9999999999999999,9.369238133749176,4.953293409236962,7.161265771493069,10.82076849393792,1.5379333136971798,9.28283518024074,0.0,0.0
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,worker_conservative,1,23,50,0.9999999999999999,9.369238133749176,4.920918395351016,7.145078264550096,10.82076849393792,1.560557445295373,9.260211048642546,0.0,0.0
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,worker_conservative,2,23,50,0.9999999999999999,9.369238133749176,4.954060620078257,7.161649376913717,10.82076849393792,1.5458545896463158,9.274913904291603,0.0,0.0
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,worker_conservative,0,24,50,1.0,15.275166463159968,9.358965451624444,12.317065957392206,13.681441736639615,1.7088349018743818,11.972606834765234,0.0,0.0
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,worker_conservative,1,24,50,1.0,15.275166463159968,9.40321979385677,12.33919312850837,13.681441736639615,1.955818442893977,11.725623293745638,0.0,0.0
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,worker_conservative,2,24,50,1.0,15.275166463159968,9.381594716896366,12.328380590028168,13.681441736639615,1.9207552872762468,11.760686449363368,0.0,0.0
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,worker_conservative,0,24,50,0.9166666666666666,7.034663108877264,5.081489865707732,6.058076487292498,7.176667608978428,2.2911293089839635,4.885538299994464,0.0,0.0
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,worker_conservative,1,24,50,0.9166666666666666,7.00925375719635,5.1437034952527005,6.076478626224525,7.176667608978428,2.4055388662615433,4.7711287427168845,0.0,0.0
