image_id,hohonet_rotation,bi_enclosed_rotation,bi_extended_rotation,ulayout_rotation,hohonet_points,hohonet_topology_change,hohonet_post_displacement,bi_enclosed_points,bi_enclosed_topology_change,bi_enclosed_post_displacement,bi_extended_points,bi_extended_topology_change,bi_extended_post_displacement,hohonet_vs_bi_enclosed,hohonet_vs_bi_extended,hohonet_vs_ulayout,bi_enclosed_vs_bi_extended,bi_enclosed_vs_ulayout,bi_extended_vs_ulayout,bi_height_disagreement,hohonet_warning_phases,da3_confidence_median,da3_confidence_face_variation,da3_log_shape_spread_median,da3_log_shape_face_variation
2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,0.00305017137526,0.000889503850035,0.000951594316971,0.000582455391466,12,0,0.136188208187,12,0,0.126328948668,12,0,0.126951987518,0.0260830908908,0.0261859959963,0.0238951904386,0.000379228280838,0.012384223131,0.0123847858806,1.44741756096,0,4.82023382187,1.19233184393,0.363434389234,0.201235111199
2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,0.00278189342894,0.00121932745801,0.00124846341844,0.000488162395178,12,0,0.183303147262,12,0,0.177566055924,12,0,0.177580967412,0.00846102470963,0.00847611293877,0.0134792263783,0.000374011942943,0.0110754301469,0.010995440018,1.4175696522,0,3.45168232918,1.46754879676,0.55289876461,0.185309931281
2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,0.00269373852898,0.00119212597765,0.00120549978689,0.000511236869262,12,0,0.213114948072,13,1,0.195291723661,12.5,1,0.196673581194,0.0374048512332,0.0373434486843,0.0393522276474,0.000388078945075,0.0114500790423,0.0111974165833,1.41895392537,0,2.37875175476,0.603187216795,0.774584591389,0.383172853149
2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,0.00275724088406,0.00147804747621,0.00149567151243,0.000714499870236,12,0,0.246765072299,12,0,0.237983992139,12,0,0.237799328655,0.0266119106751,0.026822846996,0.0331653418656,0.000363093345265,0.0141738723507,0.0140845281398,1.46509031206,0,2.61142385006,1.10232681453,0.852076411247,0.384566706063
2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881,0.00296334225286,0.00125148961917,0.00128195857324,0.000854022792026,12,0,0.195941345516,12,0,0.117265906103,12,0,0.11827825142,0.0246269408944,0.0249944617639,0.0233841326719,0.000730785370767,0.00917204473864,0.00972725146901,1.46046606079,0,2.93217933178,1.76724259773,0.434791117907,0.0997362570415
7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,0.00283893365949,0.00131737176513,0.00140789158026,0.00050106821465,8,0,0.309377715919,8,0,0.308486226031,8,0,0.309070606382,0.0143150152292,0.0141390346972,0.012801248787,0.000384269934153,0.0165906035029,0.016276283719,0.942693725228,0,2.44092822075,0.842737628701,0.417893625796,0.506353097474
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,0.0041362919957,0.000765340792385,0.000702779257144,0.000658667429613,12,0,0.213016258565,17,1,0.185602420009,17,1,0.185534812358,0.0237753063033,0.0234314816865,0.0193249245154,0.00153245462149,0.0185440246935,0.0179143729865,0.970011930913,0,2.7632163763,1.22281065228,0.756320297718,0.376134214799
7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b,0.00290732290181,0.00156533111709,0.00159059184009,0.000503116180589,8,0,0.345423945574,8,0,0.33929431377,8,0,0.337903167996,0.0182619668494,0.0180022477602,0.00974552204418,0.000361990259265,0.0157958173133,0.0155623124745,0.926404912025,0,3.43286073208,1.44173119031,0.882919102907,0.532699711194
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,0.00425813923899,0.00141163339964,0.00146845319657,0.000661645868543,13,1,0.205539404124,18,0,0.17849255939,18.5,1,0.176949445803,0.0201625818351,0.0203429166254,0.0173408413163,0.000543355531994,0.0159007466426,0.0158655937236,0.992897268385,0,2.47463607788,1.52278541397,0.685173600912,0.366212204646
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,0.00289669358509,0.0056266435271,0.00581474261201,0.00160677763407,12,0,0.682629912533,8,0,0.763754848087,8,0,0.764469176674,0.0305130116061,0.0297281443808,0.0147439017772,0.000928795605193,0.0212700664824,0.0205965098349,1.31348621473,0,1.62540113926,2.16004807042,0.489600613713,0.42503973856
