mode,image_n,usable_image_n,usable_response_n,worker_n,dense_image_n,low_n_image_n,q_valid_n,q_invalid_n,replay_image_n,replay_curve_nodes
with_workers,214,196,1887,26,55,141,1872,15,176,356139
without_workers,214,196,1843,24,55,141,1832,11,176,345051
