image_id,building_id,config,lookahead,min_support,epsilon,people_budget,k_max,possible_onset_with_workers,conservative_onset_with_workers,identified_onset_with_workers,onset_status_with_workers,onset_detail_with_workers,mean_unknown_width_with_workers,budget_scope,possible_onset_without_workers,conservative_onset_without_workers,identified_onset_without_workers,onset_status_without_workers,onset_detail_without_workers,mean_unknown_width_without_workers
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,1,0.05,3,2,1.0,1.0,1.0,identified,identified,0.0,paired_common_n,1.0,1.0,1.0,identified,identified,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,1,0.1,3,2,1.0,1.0,1.0,identified,identified,0.0,paired_common_n,1.0,1.0,1.0,identified,identified,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,1,0.2,3,2,1.0,1.0,1.0,identified,identified,0.0,paired_common_n,1.0,1.0,1.0,identified,identified,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,2,0.05,3,2,1.0,2.0,,unknown,finite_interval,0.5,paired_common_n,1.0,2.0,,unknown,finite_interval,0.5
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,2,0.1,3,2,1.0,2.0,,unknown,finite_interval,0.5,paired_common_n,1.0,2.0,,unknown,finite_interval,0.5
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,2,0.2,3,2,1.0,2.0,,unknown,finite_interval,0.5,paired_common_n,1.0,2.0,,unknown,finite_interval,0.5
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,3,0.05,3,2,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,3,0.1,3,2,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,3,0.2,3,2,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,1,0.05,3,1,1.0,1.0,1.0,identified,identified,0.0,paired_common_n,1.0,1.0,1.0,identified,identified,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,1,0.1,3,1,1.0,1.0,1.0,identified,identified,0.0,paired_common_n,1.0,1.0,1.0,identified,identified,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,1,0.2,3,1,1.0,1.0,1.0,identified,identified,0.0,paired_common_n,1.0,1.0,1.0,identified,identified,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,2,0.05,3,1,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,2,0.1,3,1,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,2,0.2,3,1,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,3,0.05,3,1,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,3,0.1,3,1,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,3,0.2,3,1,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,1,0.05,3,2,1.0,1.0,1.0,identified,identified,0.0,paired_common_n,1.0,1.0,1.0,identified,identified,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,1,0.1,3,2,1.0,1.0,1.0,identified,identified,0.0,paired_common_n,1.0,1.0,1.0,identified,identified,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,1,0.2,3,2,1.0,1.0,1.0,identified,identified,0.0,paired_common_n,1.0,1.0,1.0,identified,identified,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,2,0.05,3,2,1.0,2.0,,unknown,finite_interval,0.5,paired_common_n,1.0,2.0,,unknown,finite_interval,0.5
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,2,0.1,3,2,1.0,2.0,,unknown,finite_interval,0.5,paired_common_n,1.0,2.0,,unknown,finite_interval,0.5
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,2,0.2,3,2,1.0,2.0,,unknown,finite_interval,0.5,paired_common_n,1.0,2.0,,unknown,finite_interval,0.5
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,3,0.05,3,2,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,3,0.1,3,2,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,3,0.2,3,2,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,1,0.05,3,1,1.0,1.0,1.0,identified,identified,0.0,paired_common_n,1.0,1.0,1.0,identified,identified,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,1,0.1,3,1,1.0,1.0,1.0,identified,identified,0.0,paired_common_n,1.0,1.0,1.0,identified,identified,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,1,0.2,3,1,1.0,1.0,1.0,identified,identified,0.0,paired_common_n,1.0,1.0,1.0,identified,identified,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,2,0.05,3,1,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,2,0.1,3,1,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,2,0.2,3,1,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,3,0.05,3,1,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,3,0.1,3,1,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,3,0.2,3,1,1.0,,,unknown,unknown,1.0,paired_common_n,1.0,,,unknown,unknown,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,1,1,0.05,3,2,1.0,1.0,1.0,identified,identified,0.0,paired_common_n,1.0,1.0,1.0,identified,identified,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,1,1,0.1,3,2,1.0,1.0,1.0,identified,identified,0.0,paired_common_n,1.0,1.0,1.0,identified,identified,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,1,1,0.2,3,2,1.0,1.0,1.0,identified,identified,0.0,paired_common_n,1.0,1.0,1.0,identified,identified,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,1,2,0.05,3,2,1.0,2.0,,unknown,finite_interval,0.5,paired_common_n,1.0,2.0,,unknown,finite_interval,0.5
