usable_n,image_n,mode
0,18,with_workers
1,20,with_workers
2,23,with_workers
3,10,with_workers
4,9,with_workers
5,54,with_workers
6,23,with_workers
7,2,with_workers
19,1,with_workers
20,3,with_workers
23,13,with_workers
24,1,with_workers
25,31,with_workers
26,6,with_workers
0,18,without_workers
1,20,without_workers
2,23,without_workers
3,10,without_workers
4,9,without_workers
5,54,without_workers
6,23,without_workers
7,2,without_workers
19,1,without_workers
20,3,without_workers
22,1,without_workers
23,12,without_workers
24,38,without_workers
