people_budget,config,lookahead,k,image_n,stable_lower,stable_upper,mode,min_support,epsilon
3,q_0.975,1,1,10,0.0,1.0,with_workers,2,0.1
3,q_0.975,2,1,10,0.0,1.0,with_workers,2,0.1
3,q_0.975,1,2,10,0.5,0.9365,with_workers,2,0.1
3,q_0.950,1,1,10,0.0,1.0,with_workers,2,0.1
3,q_0.950,2,1,10,0.0,1.0,with_workers,2,0.1
3,q_0.950,1,2,10,0.6,0.9365,with_workers,2,0.1
3,q_0.925,1,1,10,0.0,1.0,with_workers,2,0.1
3,q_0.925,2,1,10,0.0,1.0,with_workers,2,0.1
3,q_0.925,1,2,10,0.6,0.9365,with_workers,2,0.1
3,q_0.900,1,1,10,0.0,1.0,with_workers,2,0.1
3,q_0.900,2,1,10,0.0,1.0,with_workers,2,0.1
3,q_0.900,1,2,10,0.6,0.9365,with_workers,2,0.1
3,q_0.850,1,1,10,0.0,1.0,with_workers,2,0.1
3,q_0.850,2,1,10,0.0,1.0,with_workers,2,0.1
3,q_0.850,1,2,10,0.6,0.9365,with_workers,2,0.1
3,q_0.800,1,1,10,0.0,1.0,with_workers,2,0.1
3,q_0.800,2,1,10,0.0,1.0,with_workers,2,0.1
3,q_0.800,1,2,10,0.6,0.9365,with_workers,2,0.1
3,ospa30_t6,1,1,10,0.0,1.0,with_workers,2,0.1
3,ospa30_t6,2,1,10,0.0,1.0,with_workers,2,0.1
3,ospa30_t6,1,2,10,0.6,0.9365,with_workers,2,0.1
5,q_0.975,1,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.975,2,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.975,3,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.975,1,2,54,0.3563888888888889,0.8656481481481481,with_workers,2,0.1
5,q_0.975,2,2,54,0.27564814814814814,0.7865740740740741,with_workers,2,0.1
5,q_0.975,3,2,54,0.2222222222222222,0.7357407407407407,with_workers,2,0.1
5,q_0.975,1,3,54,0.5147222222222223,0.7696296296296297,with_workers,2,0.1
5,q_0.975,2,3,54,0.2222222222222222,0.4861111111111111,with_workers,2,0.1
5,q_0.975,1,4,54,0.5918518518518519,0.7741666666666667,with_workers,2,0.1
5,q_0.950,1,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.950,2,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.950,3,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.950,1,2,54,0.39546296296296296,0.8673148148148149,with_workers,2,0.1
5,q_0.950,2,2,54,0.32314814814814813,0.795,with_workers,2,0.1
5,q_0.950,3,2,54,0.2777777777777778,0.7496296296296298,with_workers,2,0.1
5,q_0.950,1,3,54,0.5412962962962963,0.7608333333333334,with_workers,2,0.1
5,q_0.950,2,3,54,0.2777777777777778,0.4973148148148148,with_workers,2,0.1
5,q_0.950,1,4,54,0.6187962962962963,0.7306481481481482,with_workers,2,0.1
5,q_0.925,1,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.925,2,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.925,3,1,54,0.0,1.0,with_workers,2,0.1
