mode,threshold,image_n,pointset_n,q_valid_n,q_invalid_n,unique_images,nonunique_images,truncated_images,invalid_geometry_images
with_workers,0.975,196,1887,1872,15,167,15,0,14
with_workers,0.95,196,1887,1872,15,175,7,0,14
with_workers,0.925,196,1887,1872,15,178,4,0,14
with_workers,0.9,196,1887,1872,15,180,2,0,14
with_workers,0.85,196,1887,1872,15,181,1,0,14
with_workers,0.8,196,1887,1872,15,182,0,0,14
without_workers,0.975,196,1843,1832,11,170,15,0,11
without_workers,0.95,196,1843,1832,11,178,7,0,11
without_workers,0.925,196,1843,1832,11,181,4,0,11
without_workers,0.9,196,1843,1832,11,183,2,0,11
without_workers,0.85,196,1843,1832,11,184,1,0,11
without_workers,0.8,196,1843,1832,11,185,0,0,11
