config,lookahead,min_support,epsilon,budget_scope,mode,cohort,inventory_image_n,evaluable_window_image_n,no_future_window_images,identified_images,finite_interval_images,unknown_images,not_reached_images
q_0.975,1,1,0.05,own_full_n,with_workers,all_positive,196,176,20,60,5,32,79
q_0.975,1,1,0.05,own_full_n,with_workers,dense_ge16,55,55,0,14,5,28,8
q_0.975,1,1,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,46,0,4,71
q_0.975,1,1,0.1,own_full_n,with_workers,all_positive,196,176,20,62,5,32,77
q_0.975,1,1,0.1,own_full_n,with_workers,dense_ge16,55,55,0,14,5,28,8
q_0.975,1,1,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,48,0,4,69
q_0.975,1,1,0.2,own_full_n,with_workers,all_positive,196,176,20,75,5,32,64
q_0.975,1,1,0.2,own_full_n,with_workers,dense_ge16,55,55,0,14,5,28,8
q_0.975,1,1,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,61,0,4,56
q_0.975,1,2,0.05,own_full_n,with_workers,all_positive,196,176,20,24,39,64,49
q_0.975,1,2,0.05,own_full_n,with_workers,dense_ge16,55,55,0,14,13,26,2
q_0.975,1,2,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,10,26,38,47
q_0.975,1,2,0.1,own_full_n,with_workers,all_positive,196,176,20,18,48,64,46
q_0.975,1,2,0.1,own_full_n,with_workers,dense_ge16,55,55,0,7,21,26,1
q_0.975,1,2,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,11,27,38,45
q_0.975,1,2,0.2,own_full_n,with_workers,all_positive,196,176,20,33,50,69,24
q_0.975,1,2,0.2,own_full_n,with_workers,dense_ge16,55,55,0,6,22,26,1
q_0.975,1,2,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,27,28,43,23
q_0.975,1,3,0.05,own_full_n,with_workers,all_positive,196,176,20,18,41,84,33
q_0.975,1,3,0.05,own_full_n,with_workers,dense_ge16,55,55,0,10,18,25,2
q_0.975,1,3,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,8,23,59,31
q_0.975,1,3,0.1,own_full_n,with_workers,all_positive,196,176,20,13,46,84,33
q_0.975,1,3,0.1,own_full_n,with_workers,dense_ge16,55,55,0,5,23,25,2
q_0.975,1,3,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,8,23,59,31
q_0.975,1,3,0.2,own_full_n,with_workers,all_positive,196,176,20,11,59,100,6
q_0.975,1,3,0.2,own_full_n,with_workers,dense_ge16,55,55,0,1,27,25,2
q_0.975,1,3,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,10,32,75,4
q_0.975,2,1,0.05,own_full_n,with_workers,all_positive,196,153,43,36,1,31,85
q_0.975,2,1,0.05,own_full_n,with_workers,dense_ge16,55,55,0,10,1,28,16
q_0.975,2,1,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,26,0,3,69
q_0.975,2,1,0.1,own_full_n,with_workers,all_positive,196,153,43,38,1,31,83
q_0.975,2,1,0.1,own_full_n,with_workers,dense_ge16,55,55,0,12,1,28,14
q_0.975,2,1,0.1,own_full_n,with_workers,low_n_1_to15,141,98,43,26,0,3,69
q_0.975,2,1,0.2,own_full_n,with_workers,all_positive,196,153,43,41,1,31,80
q_0.975,2,1,0.2,own_full_n,with_workers,dense_ge16,55,55,0,12,1,28,14
q_0.975,2,1,0.2,own_full_n,with_workers,low_n_1_to15,141,98,43,29,0,3,66
q_0.975,2,2,0.05,own_full_n,with_workers,all_positive,196,153,43,10,27,51,65
q_0.975,2,2,0.05,own_full_n,with_workers,dense_ge16,55,55,0,10,6,28,11
q_0.975,2,2,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,0,21,23,54
q_0.975,2,2,0.1,own_full_n,with_workers,all_positive,196,153,43,14,30,49,60
q_0.975,2,2,0.1,own_full_n,with_workers,dense_ge16,55,55,0,14,9,26,6
q_0.975,2,2,0.1,own_full_n,with_workers,low_n_1_to15,141,98,43,0,21,23,54
q_0.975,2,2,0.2,own_full_n,with_workers,all_positive,196,153,43,13,39,49,52
q_0.975,2,2,0.2,own_full_n,with_workers,dense_ge16,55,55,0,5,18,26,6
q_0.975,2,2,0.2,own_full_n,with_workers,low_n_1_to15,141,98,43,8,21,23,46
q_0.975,2,3,0.05,own_full_n,with_workers,all_positive,196,153,43,12,26,82,33
q_0.975,2,3,0.05,own_full_n,with_workers,dense_ge16,55,55,0,12,5,27,11
q_0.975,2,3,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,0,21,55,22
q_0.975,2,3,0.1,own_full_n,with_workers,all_positive,196,153,43,6,37,82,28
q_0.975,2,3,0.1,own_full_n,with_workers,dense_ge16,55,55,0,6,16,27,6
q_0.975,2,3,0.1,own_full_n,with_workers,low_n_1_to15,141,98,43,0,21,55,22
q_0.975,2,3,0.2,own_full_n,with_workers,all_positive,196,153,43,2,43,91,17
q_0.975,2,3,0.2,own_full_n,with_workers,dense_ge16,55,55,0,2,20,27,6
q_0.975,2,3,0.2,own_full_n,with_workers,low_n_1_to15,141,98,43,0,23,64,11
q_0.950,1,1,0.05,own_full_n,with_workers,all_positive,196,176,20,80,3,22,71
q_0.950,1,1,0.05,own_full_n,with_workers,dense_ge16,55,55,0,30,3,18,4
q_0.950,1,1,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,50,0,4,67
q_0.950,1,1,0.1,own_full_n,with_workers,all_positive,196,176,20,82,3,22,69
q_0.950,1,1,0.1,own_full_n,with_workers,dense_ge16,55,55,0,30,3,18,4
q_0.950,1,1,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,52,0,4,65
q_0.950,1,1,0.2,own_full_n,with_workers,all_positive,196,176,20,95,3,22,56
q_0.950,1,1,0.2,own_full_n,with_workers,dense_ge16,55,55,0,30,3,18,4
q_0.950,1,1,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,65,0,4,52
q_0.950,1,2,0.05,own_full_n,with_workers,all_positive,196,176,20,30,43,52,51
q_0.950,1,2,0.05,own_full_n,with_workers,dense_ge16,55,55,0,21,12,19,3
q_0.950,1,2,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,9,31,33,48
q_0.950,1,2,0.1,own_full_n,with_workers,all_positive,196,176,20,24,52,52,48
q_0.950,1,2,0.1,own_full_n,with_workers,dense_ge16,55,55,0,14,20,19,2
q_0.950,1,2,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,10,32,33,46
q_0.950,1,2,0.2,own_full_n,with_workers,all_positive,196,176,20,36,56,60,24
q_0.950,1,2,0.2,own_full_n,with_workers,dense_ge16,55,55,0,11,23,19,2
q_0.950,1,2,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,25,33,41,22
q_0.950,1,3,0.05,own_full_n,with_workers,all_positive,196,176,20,23,47,75,31
q_0.950,1,3,0.05,own_full_n,with_workers,dense_ge16,55,55,0,16,20,17,2
q_0.950,1,3,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,7,27,58,29
q_0.950,1,3,0.1,own_full_n,with_workers,all_positive,196,176,20,19,51,75,31
q_0.950,1,3,0.1,own_full_n,with_workers,dense_ge16,55,55,0,12,24,17,2
q_0.950,1,3,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,7,27,58,29
q_0.950,1,3,0.2,own_full_n,with_workers,all_positive,196,176,20,11,69,90,6
q_0.950,1,3,0.2,own_full_n,with_workers,dense_ge16,55,55,0,3,33,17,2
q_0.950,1,3,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,8,36,73,4
q_0.950,2,1,0.05,own_full_n,with_workers,all_positive,196,153,43,47,2,20,84
q_0.950,2,1,0.05,own_full_n,with_workers,dense_ge16,55,55,0,16,2,17,20
q_0.950,2,1,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,31,0,3,64
q_0.950,2,1,0.1,own_full_n,with_workers,all_positive,196,153,43,50,3,21,79
q_0.950,2,1,0.1,own_full_n,with_workers,dense_ge16,55,55,0,19,3,18,15
q_0.950,2,1,0.1,own_full_n,with_workers,low_n_1_to15,141,98,43,31,0,3,64
q_0.950,2,1,0.2,own_full_n,with_workers,all_positive,196,153,43,54,2,21,76
q_0.950,2,1,0.2,own_full_n,with_workers,dense_ge16,55,55,0,20,2,18,15
q_0.950,2,1,0.2,own_full_n,with_workers,low_n_1_to15,141,98,43,34,0,3,61
q_0.950,2,2,0.05,own_full_n,with_workers,all_positive,196,153,43,19,29,35,70
q_0.950,2,2,0.05,own_full_n,with_workers,dense_ge16,55,55,0,19,4,17,15
q_0.950,2,2,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,0,25,18,55
q_0.950,2,2,0.1,own_full_n,with_workers,all_positive,196,153,43,24,30,36,63
q_0.950,2,2,0.1,own_full_n,with_workers,dense_ge16,55,55,0,24,5,18,8
q_0.950,2,2,0.1,own_full_n,with_workers,low_n_1_to15,141,98,43,0,25,18,55
q_0.950,2,2,0.2,own_full_n,with_workers,all_positive,196,153,43,17,45,36,55
q_0.950,2,2,0.2,own_full_n,with_workers,dense_ge16,55,55,0,9,20,18,8
