image_id,building_id,config,lookahead,min_support,epsilon,people_budget,k_max,possible_onset,conservative_onset,identified_onset,onset_status,onset_detail,mean_unknown_width,mode,budget_scope
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,1,0.05,3,2,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,1,0.1,3,2,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,1,0.2,3,2,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,2,0.05,3,2,1.0,2.0,,unknown,finite_interval,0.5,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,2,0.1,3,2,1.0,2.0,,unknown,finite_interval,0.5,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,2,0.2,3,2,1.0,2.0,,unknown,finite_interval,0.5,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,3,0.05,3,2,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,3,0.1,3,2,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,1,3,0.2,3,2,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,1,0.05,3,1,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,1,0.1,3,1,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,1,0.2,3,1,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,2,0.05,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,2,0.1,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,2,0.2,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,3,0.05,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,3,0.1,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,ospa30_t6,2,3,0.2,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,1,0.05,3,2,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,1,0.1,3,2,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,1,0.2,3,2,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,2,0.05,3,2,1.0,2.0,,unknown,finite_interval,0.5,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,2,0.1,3,2,1.0,2.0,,unknown,finite_interval,0.5,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,2,0.2,3,2,1.0,2.0,,unknown,finite_interval,0.5,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,3,0.05,3,2,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,3,0.1,3,2,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,1,3,0.2,3,2,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,1,0.05,3,1,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,1,0.1,3,1,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,1,0.2,3,1,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,2,0.05,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,2,0.1,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,2,0.2,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,3,0.05,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,3,0.1,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.800,2,3,0.2,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,1,1,0.05,3,2,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,1,1,0.1,3,2,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,1,1,0.2,3,2,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,1,2,0.05,3,2,1.0,2.0,,unknown,finite_interval,0.5,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,1,2,0.1,3,2,1.0,2.0,,unknown,finite_interval,0.5,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,1,2,0.2,3,2,1.0,2.0,,unknown,finite_interval,0.5,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,1,3,0.05,3,2,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,1,3,0.1,3,2,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,1,3,0.2,3,2,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,2,1,0.05,3,1,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,2,1,0.1,3,1,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,2,1,0.2,3,1,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,2,2,0.05,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,2,2,0.1,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,2,2,0.2,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,2,3,0.05,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,2,3,0.1,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.850,2,3,0.2,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,1,1,0.05,3,2,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,1,1,0.1,3,2,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,1,1,0.2,3,2,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,1,2,0.05,3,2,1.0,2.0,,unknown,finite_interval,0.5,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,1,2,0.1,3,2,1.0,2.0,,unknown,finite_interval,0.5,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,1,2,0.2,3,2,1.0,2.0,,unknown,finite_interval,0.5,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,1,3,0.05,3,2,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,1,3,0.1,3,2,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,1,3,0.2,3,2,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,2,1,0.05,3,1,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,2,1,0.1,3,1,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,2,1,0.2,3,1,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,2,2,0.05,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,2,2,0.1,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,2,2,0.2,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,2,3,0.05,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,2,3,0.1,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.900,2,3,0.2,3,1,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.925,1,1,0.05,3,2,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.925,1,1,0.1,3,2,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.925,1,1,0.2,3,2,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.925,1,2,0.05,3,2,1.0,2.0,,unknown,finite_interval,0.5,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.925,1,2,0.1,3,2,1.0,2.0,,unknown,finite_interval,0.5,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.925,1,2,0.2,3,2,1.0,2.0,,unknown,finite_interval,0.5,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.925,1,3,0.05,3,2,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.925,1,3,0.1,3,2,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.925,1,3,0.2,3,2,1.0,,,unknown,unknown,1.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.925,2,1,0.05,3,1,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.925,2,1,0.1,3,1,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,q_0.925,2,1,0.2,3,1,1.0,1.0,1.0,identified,identified,0.0,with_workers,paired_common_n
