stage,condition,audit_class,raw_row_count,worker_count,task_count,lead_time_observed_count
C1,manual,annotation_version_not_selected;canonical_join_nonmatched,6,3,4,6
C1,manual,outside_assignment,7,2,6,7
C1,semi,outside_assignment,4,3,4,4
C1,semi,outside_assignment;annotation_version_not_selected;canonical_join_nonmatched,2,1,1,2
P1,manual,annotation_version_not_selected;canonical_join_nonmatched,3,2,3,3
P1,semi,annotation_version_not_selected;canonical_join_nonmatched,1,1,1,1
