time_measurement_lane,record_count,active_time_observed_count,lead_time_observed_count,script_versions,interpretation_zh
c1_active_time_missing,79,0,79,not_recorded;stage1_active_time_annotation_hardening_20260701_v1;stage3_active_time_page_gate_20260711_v2,Active time 按冻结来源保留；脚本版本未记录时明确标为 not_recorded。
c1_formal_active_log,701,701,701,0.24-official;c2plus_task_worker_active_time_20260802_v1;stage1_active_time_annotation_hardening_20260701_v1;stage1_helper_ordercache_hotfix_20260617_v1,Active time 按冻结来源保留；脚本版本未记录时明确标为 not_recorded。
lead_time_proxy_excluded,353,0,353,0.24-official;not_recorded;stage1_helper_ordercache_hotfix_20260617_v1,仅有 Label Studio 经过时间；不得进入 Active time 汇总。
other_stage_formal_active_log,1368,1368,1368,0.24-official;0.26-foreign-https-en-standalone;0.26-official;0.27-foreign-https-en-standalone;0.28-foreign-https-en-standalone;0.29-foreign-https-en-debug;0.29-foreign-https-en-standalone;0.30-foreign-https-en-debug;0.30-foreign-https-en-standalone;c2plus_task_worker_active_time_20260802_v1;c2plus_task_worker_active_time_20260802_v2;stage1_active_time_annotation_hardening_20260701_v1;stage1_helper_ordercache_hotfix_20260617_v1,Active time 按冻结来源保留；脚本版本未记录时明确标为 not_recorded。
