image_id,condition,building,target,model_gap,human_value,model_bucket,human_bucket,model_training_q25,model_training_q75,human_training_q25,human_training_q75,n_valid,candidate,supported_clusters,max_cross_compatible,scene_category
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,2t7WUuJeko7,point_count_disagreement,0.154932540342,0,middle,low,0.134254988422,0.23391038023,0,0.729166666666,3,,1,0,通行与连接
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,2t7WUuJeko7,point_count_disagreement,0.121608413542,0,low,low,0.134254988422,0.23391038023,0,0.729166666666,3,,1,0,卧室
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va,point_count_disagreement,0.252650671513,0.4,high,middle,0.133038643266,0.232111135312,0,0.733333333333,5,simple_candidate,1,0,开放复合空间
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,point_count_disagreement,0.095286479387,0,low,low,0.133038643266,0.232111135312,0,0.733333333333,24,simple_candidate,1,0,复合／待定
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,point_count_disagreement,0.264041730104,0.4,high,middle,0.133038643266,0.232111135312,0,0.733333333333,5,,1,0,通行与连接
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,point_count_disagreement,0.248878158691,0.6,high,middle,0.133038643266,0.232111135312,0,0.733333333333,6,,1,0,开放复合空间
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,7y3sRwLe3Va,point_count_disagreement,0.124816355842,0.6,low,middle,0.133038643266,0.232111135312,0,0.733333333333,6,,1,0,开放复合空间
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,7y3sRwLe3Va,point_count_disagreement,0.230940189794,0.7,middle,middle,0.133038643266,0.232111135312,0,0.733333333333,5,,1,0,通行与连接
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,7y3sRwLe3Va,point_count_disagreement,0.212568956471,0.4,middle,middle,0.133038643266,0.232111135312,0,0.733333333333,5,,1,0,通行与连接
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,7y3sRwLe3Va,point_count_disagreement,0.202745191713,0,middle,low,0.133038643266,0.232111135312,0,0.733333333333,5,,1,0,卫浴
