requested_pattern,image_id,building,condition,family,requested_groups,signature,actual_types,all_types_training_supported,workers,future_workers,n_people,total_clusters,supported_clusters,singleton_share,point_count_disagreement,within_mode,mode_entropy,heldout_geometry_coverage
AA,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,Q,2,AA,BB,True,W028;W030,W006;W010,2,2,0,1,1,,1,1
AA,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,2,AA,BB,True,W001;W006,W029;W032,2,1,1,0,0,0.0578889336622,-0,1
AA,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,Q,2,AA,AA,True,W001;W012,W013;W014,2,1,1,0,0,0.0515447579655,-0,1
AA,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,Q,2,AA,BB,True,W006;W017,W010;W011,2,2,0,1,0,,1,0.5
AB,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,Q,2,AB,AB,True,W027;W028,W006;W010,2,1,1,0,0,0.0444080909292,-0,1
AB,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,2,AB,AB,True,W001;W002,W029;W032,2,1,1,0,0,0.0452726351972,-0,1
AB,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,Q,2,AB,AB,True,W001;W002,W013;W014,2,1,1,0,0,0.0711715831999,-0,1
AB,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,Q,4,AB,CD,True,W006;W033,W010;W011,2,2,0,1,1,,1,0.5
AAB,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,Q,2,AAB,ABB,True,W027;W028;W030,W006;W010,3,2,1,0.333333333333,0.666666666667,0.0444080909292,0.918295834054,1
AAB,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,2,AAB,ABB,True,W001;W014;W027,W029;W032,3,1,1,0,0,0.0551202377736,-0,1
AAB,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,Q,2,AAB,AAB,True,W001;W002;W029,W013;W014,3,2,1,0.333333333333,0,0.0711715831999,0.918295834054,1
AAB,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,Q,4,AAB,CDD,True,W006;W017;W033,W010;W011,3,3,0,1,0.666666666667,,1.58496250072,0.5
ACD,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,T,4,ABC,ACD,True,W027;W028;W030,W006;W010,3,2,1,0.333333333333,0.666666666667,0.0444080909292,0.918295834054,1
ACD,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,4,ABC,ACD,True,W002;W013;W017,W029;W032,3,1,1,0,0,0.00892781491507,-0,1
ACD,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,Q,4,ABC,ACD,True,W002;W006;W012,W013;W014,3,1,1,0,0,0.0642239027052,-0,1
ACD,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,S,4,ABC,ACD,True,W012;W027;W030,W031;W035,3,3,0,1,0,,1.58496250072,0
AABC,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,4,AABC,ABBC,True,W001;W002;W011;W035,W029;W032,4,1,1,0,0,0.0347866061244,-0,1
AABC,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,Q,4,AABC,BBCD,True,W001;W002;W032;W034,W013;W014,4,3,1,0.5,0.5,0.0711715831999,1.5,1
AABC,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,Q,4,AABC,ABCC,True,W012;W013;W027;W030,W031;W035,4,4,0,1,0.5,,2,0.5
AABC,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,Q,4,AABC,BBCD,True,W008;W014;W031;W034,W018;W032,4,1,1,0,0,0.0177253478985,-0,0
ABCD,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,4,ABCD,ABCD,True,W002;W015;W033;W034,W029;W032,4,1,1,0,0,0.0205997096393,-0,1
ABCD,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,Q,4,ABCD,ABCD,True,W001;W006;W012;W036,W013;W014,4,1,1,0,0,0.0635684502004,-0,1
ABCD,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,QSB,4,ABCD,ABCD,True,W012;W013;W027;W030,W031;W035,4,4,0,1,0.5,,2,0.5
ABCD,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,Q,4,ABCD,ABCD,True,W001;W011;W033;W037,W012;W029,4,4,0,1,0.833333333333,,2,0.5
