condition,axis,n_people,metric,field,label,images,groups,delta,macro_delta,lo,hi
manual,log_time,4,point_count_disagreement,floor_boundary,partial,32,10,-0.171875,-0.0936111111111,-0.333333333333,0
manual,log_time,4,point_count_disagreement,floor_boundary,present,14,10,-0.178571428571,-0.116666666667,-0.270833333333,-0.0333333333332
manual,log_time,4,point_count_disagreement,scene_category,储藏与家务辅助,2,2,0,0,0,0
manual,log_time,4,point_count_disagreement,scene_category,卧室,5,4,-0.233333333333,-0.1875,-0.388888888889,0
manual,log_time,4,point_count_disagreement,scene_category,卫浴,19,8,-0.201754385965,-0.111111111111,-0.473684210526,0.0416666666667
manual,log_time,4,point_count_disagreement,scene_category,厨房与用餐,1,1,0,0,,
manual,log_time,4,point_count_disagreement,scene_category,复合／待定,3,3,0,0,0,0
manual,log_time,4,point_count_disagreement,scene_category,工作与学习,1,1,-0.666666666667,-0.666666666667,,
manual,log_time,4,point_count_disagreement,scene_category,起居与休闲,2,2,-5.00044450291e-13,-5.00044450291e-13,-0.166666666667,0.166666666666
manual,log_time,4,point_count_disagreement,scene_category,通行与连接,13,9,-0.179487179487,-0.12037037037,-0.283357843137,-0.0370370370369
manual,log_time,4,point_count_disagreement,main_function_primary,bathroom,20,9,-0.191666666667,-0.070987654321,-0.428571428571,0.05
manual,log_time,4,point_count_disagreement,main_function_primary,circulation,8,7,-0.25,-0.214285714286,-0.458541666666,-0.0238095238094
manual,log_time,4,point_count_disagreement,main_function_primary,dining,1,1,0,0,,
manual,log_time,4,point_count_disagreement,main_function_primary,empty,2,1,0,0,,
manual,log_time,4,point_count_disagreement,main_function_primary,living,2,2,-5.00044450291e-13,-5.00044450291e-13,-0.166666666667,0.166666666666
manual,log_time,4,point_count_disagreement,main_function_primary,sleep,6,5,-0.25,-0.216666666666,-0.380952380952,-0.0666666666666
manual,log_time,4,point_count_disagreement,main_function_primary,storage,1,1,0,0,,
manual,log_time,4,point_count_disagreement,main_function_primary,unknown,4,4,0,0,0,0
manual,log_time,4,point_count_disagreement,main_function_primary,work,2,2,-0.333333333334,-0.333333333334,-0.666666666667,0
manual,log_time,4,singleton_share,floor_boundary,partial,32,10,-0.140625,-0.0779166666667,-0.278592436975,0.0125551470588
manual,log_time,4,singleton_share,floor_boundary,present,14,10,-0.25,-0.2125,-0.416666666667,-0.0769230769231
manual,log_time,4,singleton_share,scene_category,储藏与家务辅助,2,2,0.125,0.125,0,0.25
manual,log_time,4,singleton_share,scene_category,卧室,5,4,-0.2,-0.1875,-0.375,0
manual,log_time,4,singleton_share,scene_category,卫浴,19,8,-0.131578947368,-0.0755208333333,-0.345238095238,0.0441176470588
manual,log_time,4,singleton_share,scene_category,厨房与用餐,1,1,0,0,,
manual,log_time,4,singleton_share,scene_category,复合／待定,3,3,0,0,0,0
manual,log_time,4,singleton_share,scene_category,工作与学习,1,1,-0.25,-0.25,,
manual,log_time,4,singleton_share,scene_category,起居与休闲,2,2,-0.125,-0.125,-0.25,0
manual,log_time,4,singleton_share,scene_category,通行与连接,13,9,-0.326923076923,-0.305555555556,-0.480803571429,-0.159090909091
manual,log_time,4,singleton_share,main_function_primary,bathroom,20,9,-0.1625,-0.0902777777778,-0.357142857143,0.025
