image_id,condition,building,axis,composition,workers,future_workers,n_people,total_clusters,supported_clusters,singleton_share,point_count_disagreement,within_mode,mode_entropy,full_by8,core_by19,full_tail,core_tail,late_quarter_new,half_tv,orders,heldout_geometry_coverage
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,quality,lower,W002;W015;W018;W027,W029;W032,4,1,1,0,0,0.0105768689706,-0,1,1,1,1,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,quality,higher,W012;W034;W035;W037,W029;W032,4,1,1,0,0,0.03491756818,-0,1,1,0.833333333333,0.833333333333,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,quality,mixed,W002;W027;W034;W037,W029;W032,4,1,1,0,0,0.0215404079493,-0,1,1,1,1,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,quality,lower,W002;W010;W015;W017;W018;W027,W029;W032,6,1,1,0,0,0.0092669924478,-0,1,1,1,1,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,quality,higher,W001;W012;W014;W034;W035;W037,W029;W032,6,1,1,0,0,0.0359618313493,-0,1,1,1,1,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,quality,mixed,W002;W012;W018;W027;W034;W037,W029;W032,6,1,1,0,0,0.0219806698616,-0,1,1,1,1,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,quality,lower,W002;W010;W015;W017;W018;W021;W027;W031,W029;W032,8,1,1,0,0,0.0117249681835,-0,1,1,1,1,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,quality,higher,W001;W012;W013;W014;W028;W034;W035;W037,W029;W032,8,1,1,0,0,0.0319155700356,-0,1,1,1,1,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,quality,mixed,W002;W012;W015;W018;W027;W034;W035;W037,W029;W032,8,1,1,0,0,0.0264438549947,-0,1,1,1,1,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,log_time,lower,W006;W012;W013;W021,W029;W032,4,1,1,0,0,0.0271417781861,-0,1,1,0.708333333333,0.708333333333,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,log_time,higher,W027;W033;W036;W037,W029;W032,4,1,1,0,0,0.0277809800832,-0,1,1,1,1,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,log_time,mixed,W006;W021;W027;W036,W029;W032,4,1,1,0,0,0.0264926214412,-0,1,1,1,1,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,log_time,lower,W001;W006;W012;W013;W018;W021,W029;W032,6,1,1,0,0,0.0300535696719,-0,1,1,0.875,0.958333333333,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,log_time,higher,W008;W015;W027;W033;W036;W037,W029;W032,6,1,1,0,0,0.0228460317815,-0,1,1,1,1,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,log_time,mixed,W006;W013;W021;W027;W033;W036,W029;W032,6,1,1,0,0,0.0232809508263,-0,1,1,1,1,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,log_time,lower,W001;W006;W010;W012;W013;W018;W021;W030,W029;W032,8,1,1,0,0,0.0281669404005,-0,1,1,1,1,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,log_time,higher,W008;W015;W027;W028;W033;W035;W036;W037,W029;W032,8,1,1,0,0,0.0232408489126,-0,1,1,1,1,0,0,24,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,log_time,mixed,W006;W012;W013;W021;W027;W033;W036;W037,W029;W032,8,1,1,0,0,0.0272184262915,-0,1,1,1,1,0,0,24,1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,quality,lower,W002;W008;W018;W036,W013;W014,4,2,1,0.25,0,0.0145904344741,0.811278124459,0.75,1,0,0.375,0.25,0.25,24,1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,quality,higher,W001;W029;W034;W035,W013;W014,4,3,1,0.5,0,0.0480458694126,1.5,0,0.541666666667,0,0.208333333333,0.541666666667,0.3125,24,1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,quality,mixed,W001;W002;W008;W035,W013;W014,4,2,1,0.25,0,0.0480458694126,0.811278124459,0.666666666667,0.75,0,0.375,0.0833333333333,0.25,24,1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,quality,lower,W002;W008;W017;W018;W033;W036,W013;W014,6,2,1,0.166666666667,0,0.0114246293382,0.650022421648,0.875,1,0,1,0.25,0.166666666667,24,1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,quality,higher,W001;W012;W029;W031;W034;W035,W013;W014,6,3,1,0.333333333333,0,0.049795313689,1.25162916739,0.708333333333,1,0,0.625,0.229166666667,0.236111111111,24,1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,quality,mixed,W001;W002;W008;W018;W029;W035,W013;W014,6,3,1,0.333333333333,0,0.0407815790489,1.25162916739,0.5,0.791666666667,0,0.458333333333,0.270833333333,0.25,24,1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,quality,lower,W002;W008;W015;W017;W018;W027;W033;W036,W013;W014,8,2,1,0.125,0,0.00967239415006,0.5435644432,0.833333333333,1,0.708333333333,1,0.145833333333,0.125,24,1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,quality,higher,W001;W012;W029;W030;W031;W034;W035;W037,W013;W014,8,4,1,0.375,0,0.0454364688526,1.5487949407,0.625,1,0,0.958333333333,0.354166666667,0.276041666667,24,1
