condition,axis,n_people,metric,partial_images,visible_images,partial_minus_visible,lo,hi,buildings
semi,log_time,8,singleton_share,12,5,0.0791666666667,-0.0277777777778,0.2578125,9
semi,quality,4,core_by19,13,5,-0.160256410256,-0.545138888889,0.127124451755,10
semi,quality,4,core_tail,13,5,0.0916666666666,-0.315104166666,0.337425595238,10
semi,quality,4,full_by8,13,5,-0.0134615384615,-0.495287698413,0.420737044818,10
semi,quality,4,heldout_geometry_coverage,13,5,-0.2,-1,0.166666666667,10
semi,quality,4,late_quarter_new,13,5,0.128205128205,-0.170052083333,0.568426916221,10
semi,quality,4,mode_entropy,13,5,-0.0494736536131,-0.554121230391,0.768145814761,10
semi,quality,4,point_count_disagreement,13,5,-0.00256410256408,-0.180871212121,0.267708333333,10
semi,quality,4,singleton_share,13,5,0.1,-0.183705357143,0.544181034483,10
semi,quality,6,core_by19,13,5,0.183974358975,-0.0421401515148,0.438078703704,10
semi,quality,6,core_tail,13,5,0.0717948717951,-0.313988095238,0.317212301588,10
semi,quality,6,full_by8,13,5,-0.0391025641027,-0.53655260181,0.346651785714,10
semi,quality,6,heldout_geometry_coverage,13,5,-0.1,-1,0.394642857143,10
semi,quality,6,late_quarter_new,13,5,0.0125000000002,-0.2841796875,0.356488715278,10
semi,quality,6,mode_entropy,13,5,0.00591974042471,-0.623794945773,0.935365384558,10
semi,quality,6,point_count_disagreement,13,5,0.0533333333333,-0.151212121212,0.377777777778,10
semi,quality,6,singleton_share,13,5,0.0153846153848,-0.24533146592,0.316344246032,10
semi,quality,8,core_by19,13,5,0.073076923077,-0.224537037037,0.202643557423,10
semi,quality,8,core_tail,13,5,0.288461538462,-0.208912037037,0.594246031746,10
semi,quality,8,full_by8,13,5,-0.135256410256,-0.504546957672,0.086408730159,10
semi,quality,8,heldout_geometry_coverage,13,5,0,-0.55,0.394642857143,10
semi,quality,8,late_quarter_new,13,5,0.14391025641,-0.0223048499704,0.355915178571,10
semi,quality,8,mode_entropy,13,5,0.131065675661,-0.418628018353,0.862379379537,10
semi,quality,8,point_count_disagreement,13,5,0.0626373626374,-0.123782467533,0.350085034014,10
semi,quality,8,singleton_share,13,5,0.1,-0.0625,0.306348778736,10
