condition,family,comparison,metric,images,groups,delta,macro_delta,lo,hi
manual,B,AB minus marginal-matched (AA+BB)/2,total_clusters,54,16,0.0315927738185,0.0467590846678,-0.00620334075728,0.0903631583579
manual,B,AB minus marginal-matched (AA+BB)/2,supported_clusters,54,16,-0.0315927738185,-0.0467590846678,-0.0903631583579,0.00620334075728
manual,B,AB minus marginal-matched (AA+BB)/2,singleton_share,54,16,0.0315927738185,0.0467590846678,-0.00620334075728,0.0903631583579
manual,B,AB minus marginal-matched (AA+BB)/2,point_count_disagreement,54,16,0.00854928719308,0.00122446079248,-0.00957527168805,0.0254452663465
manual,B,AB minus marginal-matched (AA+BB)/2,heldout_geometry_coverage,54,16,0.0125263908551,0.0121306829295,-0.00362533394069,0.0304369122811
manual,B,AB minus marginal-matched (AA+BB)/2,mode_entropy,54,16,0.0315927738185,0.0467590846678,-0.00620334075728,0.0903631583579
manual,Q,AB minus marginal-matched (AA+BB)/2,total_clusters,42,12,0.0360307007413,0.0450880569765,-0.0183625543675,0.0932907421784
manual,Q,AB minus marginal-matched (AA+BB)/2,supported_clusters,42,12,-0.0360307007413,-0.0450880569765,-0.0932907421784,0.0183625543675
manual,Q,AB minus marginal-matched (AA+BB)/2,singleton_share,42,12,0.0360307007413,0.0450880569765,-0.0183625543675,0.0932907421784
manual,Q,AB minus marginal-matched (AA+BB)/2,point_count_disagreement,42,12,0.0324018606601,0.0501895181809,-0.00338380369894,0.0793952624198
manual,Q,AB minus marginal-matched (AA+BB)/2,heldout_geometry_coverage,42,12,-0.00421462476594,-0.00659156904921,-0.0219144455725,0.0056231888878
manual,Q,AB minus marginal-matched (AA+BB)/2,mode_entropy,42,12,0.0360307007413,0.0450880569765,-0.0183625543675,0.0932907421784
manual,QB,AB minus marginal-matched (AA+BB)/2,total_clusters,56,16,0.0267122624657,0.0453333569662,-0.00633220967808,0.0818039841861
manual,QB,AB minus marginal-matched (AA+BB)/2,supported_clusters,56,16,-0.0267122624657,-0.0453333569662,-0.0818039841861,0.00633220967808
manual,QB,AB minus marginal-matched (AA+BB)/2,singleton_share,56,16,0.0267122624657,0.0453333569662,-0.00633220967808,0.0818039841861
manual,QB,AB minus marginal-matched (AA+BB)/2,point_count_disagreement,56,16,0.0258374742141,0.0083570682414,0.000802767293864,0.0422670285523
