condition,family,requested_groups,n_people,signature,total_clusters,supported_clusters,singleton_share,point_count_disagreement,heldout_geometry_coverage,mode_entropy
manual,B,2,2,AA,1.47022692373,0.529773076267,0.470226923733,0.334584541887,0.584371267702,0.470226923733
manual,B,2,2,AB,1.52103337906,0.478966620942,0.521033379058,0.366712391404,0.587791495199,0.521033379058
manual,B,2,3,AAA,1.87009803922,0.729166666667,0.380310457516,0.334967320261,0.615808823529,0.730857838463
manual,B,2,3,AAB,1.97496790757,0.66431322208,0.436884895165,0.367351305092,0.642490372272,0.810840383431
manual,B,2,4,AAAA,2.15667311412,0.903288201161,0.31334622824,0.32720825274,0.625725338491,0.854468363054
manual,B,2,4,AAAB,2.30643699003,0.844968268359,0.365367180417,0.35826533696,0.671350861287,0.952847654021
manual,B,2,4,AABB,2.33172302738,0.843800322061,0.371980676329,0.365539452496,0.683574879227,0.972175593691
manual,B,4,2,AA,1.43909060061,0.560909399389,0.439090600611,0.302002035969,0.588903970139,0.439090600611
manual,B,4,2,AB,1.51330954995,0.486690450055,0.513309549945,0.367041712404,0.584591108672,0.513309549945
manual,B,4,3,AAA,1.7556561086,0.769230769231,0.328808446456,0.291101055807,0.642533936652,0.635847587106
manual,B,4,3,AAB,1.93151693667,0.693667157585,0.412616593029,0.347815414826,0.639175257732,0.778325844216
manual,B,4,3,ABC,2.00251572327,0.651572327044,0.450314465409,0.388679245283,0.620754716981,0.832931447013
manual,B,4,4,AAAA,1.76404494382,0.966292134831,0.199438202247,0.213483146067,0.702247191011,0.579065624872
manual,B,4,4,AAAB,2.18003565062,0.877005347594,0.325757575758,0.333333333333,0.656862745098,0.864873401199
manual,B,4,4,AABB,2.29765886288,0.882943143813,0.353678929766,0.365105908584,0.645484949833,0.955661716034
manual,B,4,4,AABC,2.35299295775,0.840669014085,0.378080985915,0.370158450704,0.669454225352,0.987318634354
manual,B,4,4,ABCD,2.35256410256,0.807692307692,0.386217948718,0.356837606838,0.666666666667,0.976951983079
manual,Q,2,2,AA,1.47922168172,0.520778318277,0.479221681723,0.343015983322,0.601111883252,0.479221681723
manual,Q,2,2,AB,1.52203947368,0.477960526316,0.522039473684,0.360855263158,0.549671052632,0.522039473684
manual,Q,2,3,AAA,1.89814814815,0.708333333333,0.396604938272,0.350051440329,0.645447530864,0.75137386232
manual,Q,2,3,AAB,1.9879406308,0.660482374768,0.442486085343,0.363636363636,0.618738404453,0.821789228204
manual,Q,2,4,AAAA,2.23758519961,0.858812074002,0.344693281402,0.351346965271,0.689386562804,0.905422011817
manual,Q,2,4,AAAB,2.2633297062,0.863982589771,0.349836779108,0.3532825535,0.656147986942,0.924695021664
manual,Q,2,4,AABB,2.47118644068,0.837288135593,0.408474576271,0.358757062147,0.601694915254,1.07392887702
manual,Q,4,2,AA,1.4798488665,0.520151133501,0.479848866499,0.331549118388,0.581549118388,0.479848866499
manual,Q,4,2,AB,1.49737923219,0.502620767814,0.497379232186,0.355857770222,0.587760305992,0.497379232186
manual,Q,4,3,AAA,1.97975708502,0.684210526316,0.431848852901,0.369770580297,0.647773279352,0.820245007226
manual,Q,4,3,AAB,1.93941504178,0.694289693593,0.41504178273,0.351439182916,0.62848189415,0.785735289454
manual,Q,4,3,ABC,1.92329956585,0.671490593343,0.417269657501,0.361312108056,0.638205499276,0.765199596425
manual,Q,4,4,AAAA,2.20652173913,0.913043478261,0.323369565217,0.33152173913,0.690217391304,0.901135971309
manual,Q,4,4,AAAB,2.29313232831,0.865996649916,0.356783919598,0.348129536572,0.675879396985,0.948665619657
manual,Q,4,4,AABB,2.25609756098,0.862804878049,0.348323170732,0.328760162602,0.666158536585,0.918796979705
manual,Q,4,4,AABC,2.28545288198,0.850869167429,0.358645928637,0.362763037511,0.65462031107,0.938019784896
manual,Q,4,4,ABCD,2.26717557252,0.832061068702,0.358778625954,0.371501272265,0.667938931298,0.920559017068
manual,QB,2,2,AA,1.45747520976,0.542524790236,0.457475209764,0.31998474447,0.587719298246,0.457475209764
manual,QB,2,2,AB,1.52815067121,0.471849328792,0.528150671208,0.378080544981,0.583850931677,0.528150671208
manual,QB,2,3,AAA,1.83574879227,0.729468599034,0.368760064412,0.309178743961,0.62962962963,0.699391043081
manual,QB,2,3,AAB,1.97547062179,0.671420422133,0.434683399886,0.372884578817,0.63462635482,0.813090402634
manual,QB,2,4,AAAA,2.00302114804,0.936555891239,0.266616314199,0.281470292044,0.641993957704,0.748808562957
manual,QB,2,4,AAAB,2.30693950178,0.842526690391,0.366103202847,0.363879003559,0.669483985765,0.951957951414
manual,QB,2,4,AABB,2.35496183206,0.847328244275,0.376908396947,0.367896522477,0.666030534351,0.99060531557
manual,QB,4,2,AA,1.45054945055,0.549450549451,0.450549450549,0.315323565324,0.593864468864,0.450549450549
manual,QB,4,2,AB,1.51142405518,0.48857594482,0.51142405518,0.363845380083,0.582052018968,0.51142405518
manual,QB,4,3,AAA,1.80797101449,0.731884057971,0.358695652174,0.298309178744,0.646739130435,0.674490625389
manual,QB,4,3,AAB,1.9456445993,0.690592334495,0.418350754936,0.363530778165,0.627177700348,0.790525502782
manual,QB,4,3,ABC,1.97888386124,0.659125188537,0.439919557567,0.364504776269,0.641025641026,0.813130926805
manual,QB,4,4,AAAA,2.01639344262,0.934426229508,0.270491803279,0.262295081967,0.676229508197,0.753938114683
manual,QB,4,4,AAAB,2.20512820513,0.887820512821,0.329326923077,0.336538461538,0.673878205128,0.887781941
manual,QB,4,4,AABB,2.30555555556,0.863888888889,0.360416666667,0.369444444444,0.672222222222,0.958586032867
manual,QB,4,4,AABC,2.34965719882,0.831537708129,0.379529872674,0.370062030689,0.652301665034,0.981650734472
manual,QB,4,4,ABCD,2.24561403509,0.833333333333,0.353070175439,0.337719298246,0.679824561404,0.904906990022
manual,QS,2,2,AA,1.47947576657,0.520524233432,0.479475766568,0.349653808111,0.59946834817,0.479475766568
manual,QS,2,2,AB,1.53889147648,0.461108523521,0.538891476479,0.343269678621,0.534466697718,0.538891476479
manual,QS,2,3,AAA,1.90073982737,0.709001233046,0.397246198109,0.358405260995,0.659987669544,0.753921853605
manual,QS,2,3,AAB,2.02127659574,0.63829787234,0.460992907801,0.351507092199,0.57579787234,0.846819238064
manual,QS,2,4,AAAA,2.23264137437,0.869720830351,0.340730136006,0.366738248628,0.693271295634,0.904105453543
manual,QS,2,4,AAAB,2.29562594268,0.84766214178,0.361990950226,0.335344394168,0.640271493213,0.944726055709
manual,QS,2,4,AABB,2.57458563536,0.806629834254,0.441988950276,0.313075506446,0.527624309392,1.14410749299
manual,QS,4,2,AA,1.47662936142,0.523370638578,0.476629361422,0.31797235023,0.587393021725,0.476629361422
manual,QS,4,2,AB,1.49840211199,0.501597888009,0.498402111991,0.36112269001,0.585174378213,0.498402111991
manual,QS,4,3,AAA,1.85779816514,0.756880733945,0.366972477064,0.295107033639,0.662844036697,0.726536583012
manual,QS,4,3,AAB,1.93127147766,0.692096219931,0.413058419244,0.355326460481,0.630927835052,0.777705146498
manual,QS,4,3,ABC,1.98002853067,0.65335235378,0.442225392297,0.377080361388,0.62910128388,0.812729458374
manual,QS,4,4,AAAA,2.09090909091,0.883116883117,0.301948051948,0.264069264069,0.714285714286,0.804081615126
manual,QS,4,4,AAAB,2.27953410982,0.868552412646,0.352745424293,0.339434276206,0.670549084859,0.937188633436
manual,QS,4,4,AABB,2.28925619835,0.865013774105,0.356060606061,0.345270890725,0.679063360882,0.945181120762
manual,QS,4,4,AABC,2.28191000918,0.850321395776,0.357897153352,0.36210590756,0.657943067034,0.936673625347
manual,QS,4,4,ABCD,2.34234234234,0.837837837838,0.376126126126,0.426426426426,0.608108108108,0.974497043846
manual,QSB,2,2,AA,1.45770106222,0.542298937785,0.457701062215,0.318854324734,0.587253414264,0.457701062215
manual,QSB,2,2,AB,1.52830949023,0.471690509772,0.528309490228,0.379609107395,0.584323997582,0.528309490228
manual,QSB,2,3,AAA,1.83917197452,0.730891719745,0.369426751592,0.305732484076,0.632165605096,0.702892635761
manual,QSB,2,3,AAB,1.97479954181,0.67067583047,0.43470790378,0.374379534173,0.633734249714,0.812286791703
manual,QSB,2,4,AAAA,2.02654867257,0.938053097345,0.272123893805,0.279252704031,0.638643067847,0.76653579451
manual,QSB,2,4,AAAB,2.30124777184,0.841354723708,0.364973262032,0.364081996435,0.669786096257,0.947743677483
manual,QSB,2,4,AABB,2.35641025641,0.847435897436,0.377243589744,0.369444444444,0.667307692308,0.99134372986
manual,QSB,4,2,AA,1.43373493976,0.566265060241,0.433734939759,0.299770510614,0.60140562249,0.433734939759
manual,QSB,4,2,AB,1.52200325974,0.477996740258,0.522003259742,0.37338865017,0.577789302119,0.522003259742
manual,QSB,4,3,AAA,1.74635568513,0.769679300292,0.325558794947,0.260447035957,0.663265306122,0.627419910479
manual,QSB,4,3,AAB,1.93391430646,0.694989106754,0.41297506657,0.354877753571,0.632897603486,0.780859979877
manual,QSB,4,3,ABC,2.0504587156,0.625382262997,0.4750254842,0.409276248726,0.618501529052,0.870367113128
