condition,target_building,worker_id,axis,score,qualified,training_responses,training_buildings,source_condition
manual,2t7WUuJeko7,W001,quality,0.019075143102,True,64,16,manual
manual,2t7WUuJeko7,W002,quality,-0.0393486390331,True,61,16,manual
manual,2t7WUuJeko7,W006,quality,0.000944288161314,True,66,17,manual
manual,2t7WUuJeko7,W008,quality,0.00692313306816,True,64,16,manual
manual,2t7WUuJeko7,W010,quality,-0.00415936945057,True,64,15,manual
manual,2t7WUuJeko7,W011,quality,0.00638390522495,True,64,16,manual
manual,2t7WUuJeko7,W012,quality,0.0230001633076,True,63,18,manual
manual,2t7WUuJeko7,W013,quality,0.0129863676549,True,65,16,manual
manual,2t7WUuJeko7,W014,quality,0.0182689579325,True,58,12,manual
manual,2t7WUuJeko7,W015,quality,-0.01056590039,True,65,18,manual
manual,2t7WUuJeko7,W017,quality,-0.00522231485621,True,64,17,manual
manual,2t7WUuJeko7,W018,quality,-0.0253407997226,True,57,12,manual
manual,2t7WUuJeko7,W021,quality,-0.00254353577273,True,30,12,manual
manual,2t7WUuJeko7,W027,quality,-0.0477560392543,True,57,12,manual
manual,2t7WUuJeko7,W028,quality,0.016067655691,True,65,15,manual
manual,2t7WUuJeko7,W029,quality,0.0200116691274,True,63,16,manual
manual,2t7WUuJeko7,W030,quality,0.00425407382096,True,64,17,manual
manual,2t7WUuJeko7,W031,quality,-0.00345842769478,True,66,16,manual
manual,2t7WUuJeko7,W032,quality,0.0138466376932,True,64,17,manual
manual,2t7WUuJeko7,W033,quality,0.00836738972427,True,65,15,manual
manual,2t7WUuJeko7,W034,quality,0.035985949345,True,82,17,manual
manual,2t7WUuJeko7,W035,quality,0.0261584235033,True,64,17,manual
manual,2t7WUuJeko7,W036,quality,0.0103801476243,True,66,17,manual
manual,2t7WUuJeko7,W037,quality,0.0322802316958,True,66,18,manual
manual,2t7WUuJeko7,W001,log_time,-0.62889907711,True,70,20,manual
manual,2t7WUuJeko7,W002,log_time,-0.261333100838,True,67,19,manual
manual,2t7WUuJeko7,W006,log_time,-1.37588223608,True,70,19,manual
manual,2t7WUuJeko7,W008,log_time,0.387897248232,True,68,19,manual
manual,2t7WUuJeko7,W010,log_time,-0.400389266171,True,70,19,manual
manual,2t7WUuJeko7,W011,log_time,-0.0689188415402,True,67,17,manual
manual,2t7WUuJeko7,W012,log_time,-0.779207178643,True,40,17,manual
manual,2t7WUuJeko7,W013,log_time,-0.988075476826,True,70,19,manual
manual,2t7WUuJeko7,W015,log_time,0.355786549464,True,71,21,manual
manual,2t7WUuJeko7,W017,log_time,-0.286198897102,True,70,20,manual
manual,2t7WUuJeko7,W018,log_time,-0.518038737126,True,58,12,manual
manual,2t7WUuJeko7,W021,log_time,-1.36889890922,True,30,12,manual
manual,2t7WUuJeko7,W027,log_time,0.953197265509,True,57,12,manual
manual,2t7WUuJeko7,W028,log_time,0.342833900465,True,70,18,manual
manual,2t7WUuJeko7,W029,log_time,0.432866363321,True,68,18,manual
manual,2t7WUuJeko7,W030,log_time,-0.500647646172,True,70,18,manual
manual,2t7WUuJeko7,W031,log_time,0.100911283995,True,29,16,manual
manual,2t7WUuJeko7,W032,log_time,0.515211501127,True,70,18,manual
manual,2t7WUuJeko7,W033,log_time,0.794138017991,True,71,18,manual
manual,2t7WUuJeko7,W034,log_time,0.128861730648,True,25,14,manual
manual,2t7WUuJeko7,W035,log_time,0.235020893882,True,40,17,manual
manual,2t7WUuJeko7,W036,log_time,1.61192294731,True,67,18,manual
manual,2t7WUuJeko7,W037,log_time,0.473543140734,True,71,18,manual
manual,2t7WUuJeko7,W001,scope_reject,0.222222222222,True,9,6,scope_direction_sources
manual,2t7WUuJeko7,W002,scope_reject,0.333333333333,True,9,6,scope_direction_sources
manual,2t7WUuJeko7,W006,scope_reject,-0.222222222222,True,9,6,scope_direction_sources
manual,2t7WUuJeko7,W008,scope_reject,-0.333333333333,True,9,6,scope_direction_sources
