condition,axis,n_people,metric,images,groups,delta,macro_delta,lo,hi
manual,log_time,4,total_clusters,46,15,-0.413043478261,-0.428787878788,-0.720930232558,-0.15783625731
manual,log_time,4,supported_clusters,46,15,0.282608695652,0.289898989899,0.12,0.490441176471
manual,log_time,4,singleton_share,46,15,-0.173913043478,-0.179671717172,-0.301026949241,-0.0720309960529
manual,log_time,4,point_count_disagreement,46,15,-0.173913043478,-0.101851851852,-0.280021604938,-0.0657751716247
manual,log_time,4,heldout_geometry_coverage,46,15,0.119565217391,0.122474747475,0.0441016624041,0.238121118012
manual,log_time,4,mode_entropy,46,15,-0.233801902221,-0.248775727591,-0.432533596036,-0.0751612875714
manual,log_time,4,full_by8,46,15,0.0144927536232,0.0348063973064,-0.0557800387597,0.111985809949
manual,log_time,4,core_by19,46,15,0.018115942029,0.0400883838384,-0.101193041872,0.163619700929
manual,log_time,4,late_quarter_new,46,15,-0.164855072464,-0.161026936027,-0.276396901709,-0.0736384837735
manual,log_time,6,total_clusters,46,15,-0.369565217391,-0.340404040404,-0.76002173913,-0.0249702380952
manual,log_time,6,supported_clusters,46,15,0.195652173913,0.168181818182,0,0.347826086957
manual,log_time,6,singleton_share,46,15,-0.0942028985507,-0.0847643097643,-0.177094655797,-0.0185185185185
manual,log_time,6,point_count_disagreement,46,15,-0.123188405797,-0.0858249158249,-0.215246031746,-0.0298835450696
manual,log_time,6,heldout_geometry_coverage,46,15,0.0978260869565,0.0755050505051,0,0.209698641766
manual,log_time,6,mode_entropy,46,15,-0.164622250301,-0.162573499698,-0.381144507571,0.0162825211682
manual,log_time,6,full_by8,46,15,0.00724637681159,-0.00883838383838,-0.0726418067227,0.075
manual,log_time,6,core_by19,46,15,0.044384057971,0.0593644781145,-0.0373053168636,0.139973958333
manual,log_time,6,late_quarter_new,46,15,-0.104619565217,-0.085343013468,-0.178246996997,-0.0279278861989
manual,log_time,8,total_clusters,46,15,-0.369565217391,-0.446464646465,-0.806451612903,0.0243902439024
manual,log_time,8,supported_clusters,46,15,0.108695652174,0.0232323232323,-0.0944004869142,0.279069767442
manual,log_time,8,singleton_share,46,15,-0.0597826086957,-0.0587121212121,-0.121272654584,0
manual,log_time,8,point_count_disagreement,46,15,-0.0978260869565,-0.0763347763348,-0.172736013986,-0.02284375
manual,log_time,8,heldout_geometry_coverage,46,15,0.054347826087,0.0391414141414,-0.010881916996,0.117666408669
manual,log_time,8,mode_entropy,46,15,-0.145968521795,-0.181096622351,-0.357638708278,0.0379763352644
manual,log_time,8,full_by8,46,15,0.0534420289855,0.0820075757576,-0.0425205498866,0.142298572024
manual,log_time,8,core_by19,46,15,0.0634057971014,0.134890572391,-0.00651105494281,0.157626811594
manual,log_time,8,late_quarter_new,46,15,-0.0715579710145,-0.0855008417508,-0.135120136469,-0.0213633040936
manual,quality,4,total_clusters,46,15,-0.652173913043,-0.621212121212,-0.883729356252,-0.386363636364
manual,quality,4,supported_clusters,46,15,0.217391304348,0.229797979798,0.104166666667,0.321481092437
manual,quality,4,singleton_share,46,15,-0.217391304348,-0.212752525253,-0.290024590164,-0.131563283208
manual,quality,4,point_count_disagreement,46,15,-0.159420289855,-0.209764309764,-0.286696969697,-0.0645906638517
manual,quality,4,heldout_geometry_coverage,46,15,0.119565217391,0.103535353535,0.0464852008457,0.181818181818
manual,quality,4,mode_entropy,46,15,-0.434782608696,-0.400258230817,-0.596225562489,-0.253404340248
manual,quality,4,full_by8,46,15,0.169384057971,0.160164141414,0.060456495098,0.275004340278
manual,quality,4,core_by19,46,15,0.173007246377,0.185437710438,0.0704047619048,0.284375
manual,quality,4,late_quarter_new,46,15,-0.234601449275,-0.244423400673,-0.319173611111,-0.142844742063
