condition,description,family_image_rows,distinct_images
manual,cores_stable_separately_pool_not_stable,43,9
manual,other,526,42
manual,subtypes_and_pool_have_supported_multimode,5,2
manual,two_uniform_types_pooled_uniform,80,6
semi,cores_stable_separately_pool_not_stable,10,3
semi,other,221,17
semi,subtypes_and_pool_have_supported_multimode,1,1
semi,two_uniform_types_pooled_uniform,42,6
