table,field_name,semantics_document,preserved_upstream_schema
annotations.csv.gz,schema_version,FIELDS_ZH.md,False
annotations.csv.gz,annotation_identity,FIELDS_ZH.md,False
annotations.csv.gz,canonical_annotation_id,FIELDS_ZH.md,False
annotations.csv.gz,canonical_annotation_id_legacy_alias,FIELDS_ZH.md,False
annotations.csv.gz,raw_annotation_id,FIELDS_ZH.md,False
annotations.csv.gz,annotation_unique_id,FIELDS_ZH.md,False
annotations.csv.gz,raw_stage,FIELDS_ZH.md,False
annotations.csv.gz,stage,FIELDS_ZH.md,False
annotations.csv.gz,block_index,FIELDS_ZH.md,False
annotations.csv.gz,raw_project_id,FIELDS_ZH.md,False
annotations.csv.gz,project_id,FIELDS_ZH.md,False
annotations.csv.gz,raw_runtime_task_id,FIELDS_ZH.md,False
annotations.csv.gz,runtime_task_id,FIELDS_ZH.md,False
annotations.csv.gz,raw_task_data_task_id,FIELDS_ZH.md,False
annotations.csv.gz,raw_task_data_planned_task_id,FIELDS_ZH.md,False
annotations.csv.gz,planned_task_id,FIELDS_ZH.md,False
annotations.csv.gz,base_task_id,FIELDS_ZH.md,False
annotations.csv.gz,image_id,FIELDS_ZH.md,False
annotations.csv.gz,building_id,FIELDS_ZH.md,False
annotations.csv.gz,raw_worker_id,FIELDS_ZH.md,False
annotations.csv.gz,worker_id,FIELDS_ZH.md,False
annotations.csv.gz,raw_condition,FIELDS_ZH.md,False
annotations.csv.gz,assistance_exposure,FIELDS_ZH.md,False
annotations.csv.gz,task_lane,FIELDS_ZH.md,False
annotations.csv.gz,scope_status,FIELDS_ZH.md,False
annotations.csv.gz,dataset_group,FIELDS_ZH.md,False
annotations.csv.gz,task_stratum,FIELDS_ZH.md,False
annotations.csv.gz,language_group,FIELDS_ZH.md,False
annotations.csv.gz,assignment_provenance,FIELDS_ZH.md,False
annotations.csv.gz,canonical_selection_status,FIELDS_ZH.md,False
annotations.csv.gz,historical_primary_eligibility_status,FIELDS_ZH.md,False
annotations.csv.gz,historical_primary_eligibility_source_field,FIELDS_ZH.md,False
annotations.csv.gz,historical_formal_assignment_status,FIELDS_ZH.md,False
annotations.csv.gz,legacy_exclusion_reason,FIELDS_ZH.md,False
annotations.csv.gz,raw_geometry_point_count,FIELDS_ZH.md,False
annotations.csv.gz,raw_geometry_computable,FIELDS_ZH.md,False
annotations.csv.gz,lead_time_seconds,FIELDS_ZH.md,False
annotations.csv.gz,lead_time_status,FIELDS_ZH.md,False
annotations.csv.gz,planned_import_match_status,FIELDS_ZH.md,False
annotations.csv.gz,planned_import_source_paths_json,FIELDS_ZH.md,False
annotations.csv.gz,raw_export_path,FIELDS_ZH.md,False
annotations.csv.gz,raw_export_sha256,FIELDS_ZH.md,False
annotations.csv.gz,canonical_reconciliation_path,FIELDS_ZH.md,False
annotations.csv.gz,canonical_reconciliation_sha256,FIELDS_ZH.md,False
annotations.csv.gz,context_key,FIELDS_ZH.md,False
annotations.csv.gz,current20_member,FIELDS_ZH.md,False
annotations.csv.gz,coordinate_width,FIELDS_ZH.md,False
annotations.csv.gz,coordinate_height,FIELDS_ZH.md,False
archive/all_condition_support.csv.gz,stage,FIELDS_ZH.md,True
archive/all_condition_support.csv.gz,condition,FIELDS_ZH.md,True
archive/all_condition_support.csv.gz,base_task_id,FIELDS_ZH.md,True
archive/all_condition_support.csv.gz,building_id,FIELDS_ZH.md,True
archive/all_condition_support.csv.gz,canonical_annotation_count,FIELDS_ZH.md,True
archive/all_condition_support.csv.gz,raw_version_count,FIELDS_ZH.md,True
archive/all_condition_support.csv.gz,unique_worker_count,FIELDS_ZH.md,True
archive/all_condition_support.csv.gz,strict_geometry_count,FIELDS_ZH.md,True
archive/all_condition_support.csv.gz,raw_geometry_computable_count,FIELDS_ZH.md,True
archive/all_condition_support.csv.gz,raw_geometry_noncomputable_count,FIELDS_ZH.md,True
archive/all_condition_support.csv.gz,strict_geometry_unique_worker_count,FIELDS_ZH.md,True
archive/all_condition_support.csv.gz,non_strict_or_non_geometry_count,FIELDS_ZH.md,True
archive/all_condition_support.csv.gz,current_available20_canonical_count,FIELDS_ZH.md,True
archive/all_condition_support.csv.gz,current_available20_strict_count,FIELDS_ZH.md,True
archive/all_condition_support.csv.gz,shared_initialization_status,FIELDS_ZH.md,True
archive/all_condition_support.csv.gz,supports_k15,FIELDS_ZH.md,True
