package_path,original_source,role,original_bytes,original_sha256,source_content_preserved,compression
facts/active_session_fact.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\active_session_fact.csv,existing_substrate_snapshot,756797,c9932b3e6b843c2f18b1b8176b871ceeae4054f527f9645eeb0ae43286932393,True,gzip
facts/active_time_context.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\active_time_context.csv,existing_substrate_snapshot,815826,4a35afcd65de3d58d8516fcc771a134ea97cd6badf448f1867cdacdce27fc126,True,gzip
facts/annotation_spine.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\annotation_spine.csv,existing_substrate_snapshot,2393592,c9d40fdc5641ff90b078f9374344a123ec94a85edf3ae861a8db54fcb84a4748,True,gzip
facts/annotation_version_lineage.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\annotation_version_lineage.csv,existing_substrate_snapshot,1220566,a1997dd578a20004f0e173e25cbd4e6b715dacececaf314b1fd900bd45e7df7e,True,gzip
facts/COVERAGE_AUDIT.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\COVERAGE_AUDIT.csv,existing_substrate_snapshot,2606,925b5fdf9f18ac7d3a0539d3de715d72f0b5b905d604b7800be96e45bcf5ad15,True,gzip
facts/DATA_DICTIONARY.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\DATA_DICTIONARY.csv,existing_substrate_snapshot,92711,a08c7eab065f594961edb3ec505b97316f6930237f56eebf21bd8c1e3af00e47,True,gzip
facts/geometry_pairwise.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\geometry_pairwise.csv,existing_substrate_snapshot,31655439,464e542ef89621b59ec145484c4378ae1bd32ff095edf59890a8c15c2f54ba97,True,gzip
facts/geometry_variants.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\geometry_variants.csv,existing_substrate_snapshot,6791473,0825493075b35d0fc3cb42e73b8c5d8eda894d45229710ff959fd98849783d47,True,gzip
facts/image_registry.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\image_registry.csv,existing_substrate_snapshot,152747,52063e76523687b648a345b8ee927895be67226e5843d17f584d6a4e9b3c403b,True,gzip
facts/meta_response_long.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\meta_response_long.csv,existing_substrate_snapshot,3150028,1d2593fb8649e0ce55be8ab9e6f979b5c4bd2b7552c5f190ab4dac111e1c6b9e,True,gzip
