id	year	title	primary_url	reading_depth
R01	1979	Maximum Likelihood Estimation of Observer Error-Rates Using the EM Algorithm	https://doi.org/10.2307/2346806	B
R02	2009	Whose Vote Should Count More: Optimal Integration of Labels from Labelers of Unknown Expertise	https://proceedings.neurips.cc/paper/2009/hash/f899139df5e1059396431415e770c6dd-Abstract.html	B
R03	2010	Learning From Crowds	https://jmlr.org/papers/v11/raykar10a.html	B
R04	2010	The Multidimensional Wisdom of Crowds	https://papers.nips.cc/paper_files/paper/2010/hash/0f9cafd014db7a619ddb4276af0d692c-Abstract.html	B
R05	2010	Modeling annotator expertise: Learning when everybody knows a bit of something	https://proceedings.mlr.press/v9/yan10a.html	B
R06	2016	Spectral Methods Meet EM: A Provably Optimal Algorithm for Crowdsourcing	https://www.jmlr.org/papers/v17/14-511.html	A
R07	2016	Exact Exponent in Optimal Rates for Crowdsourcing	https://proceedings.mlr.press/v48/gaoa16.html	B
R08	2014	Budget-Optimal Task Allocation for Reliable Crowdsourcing Systems	https://arxiv.org/abs/1110.3564	B
R09	2013	POMDP-based control of workflows for crowdsourcing	https://www.sciencedirect.com/science/article/pii/S000437021300057X	B
R10	2012	Crowdsourcing Control: Moving Beyond Multiple Choice	https://arxiv.org/abs/1210.4870	B
R11	2021	Do as AI say: susceptibility in deployment of clinical decision-aids	https://www.nature.com/articles/s41746-021-00385-9	A
R12	2020	Impact of a deep learning assistant on the histopathologic classification of liver cancer	https://www.nature.com/articles/s41746-020-0232-8	A
R13	2010	The influence of initial outlines on manual segmentation	https://pubmed.ncbi.nlm.nih.gov/20527549/	B
R14	2022	Quality and Efficiency of Manual Annotation: Pre-annotation Bias	https://aclanthology.org/2022.lrec-1.312/	B
R15	2016	Anchoring and Agreement in Syntactic Annotations	https://aclanthology.org/D16-1239/	B
R16	2026	Bias in the Loop: How Humans Evaluate AI-Generated Suggestions	https://hdsr.mitpress.mit.edu/pub/nrcn4h7d/release/2	A
R17	2025	Just Put a Human in the Loop? Investigating LLM-Assisted Annotation for Subjective Tasks	https://aclanthology.org/2025.findings-acl.1323/	B
R18	2021	To Trust or to Think: Cognitive Forcing Functions Can Reduce Overreliance on AI in AI-assisted Decision-making	https://arxiv.org/abs/2102.09692	B
R19	2018	A Probabilistic U-Net for Segmentation of Ambiguous Images	https://arxiv.org/abs/1806.05034	B
R20	2020	Stochastic Segmentation Networks: Modelling Spatially Correlated Aleatoric Uncertainty	https://arxiv.org/abs/2006.06015	B
R21	2019	Learning From Noisy Labels by Regularized Estimation of Annotator Confusion	https://arxiv.org/abs/1902.03680	B
R22	2020	Disentangling Human Error from the Ground Truth in Segmentation of Medical Images	https://arxiv.org/abs/2007.15963	B
R23	2019	Inherent Disagreements in Human Textual Inferences	https://aclanthology.org/Q19-1043/	A
R24	2022	Dealing with Disagreements: Looking Beyond the Majority Vote in Subjective Annotations	https://aclanthology.org/2022.tacl-1.6/	B
R25	2019	Are We Modeling the Task or the Annotator? An Investigation of Annotator Bias in Natural Language Understanding Datasets	https://aclanthology.org/D19-1107/	B
R26	2021	The Disagreement Deconvolution: Bringing Machine Learning Performance Metrics In Line With Reality	https://hci.stanford.edu/publications/2021/gordon_disagreement/chi2021_disagreement_deconvolution.pdf	A
R27	2022	Jury Learning: Integrating Dissenting Voices into Machine Learning Models	https://arxiv.org/abs/2202.02950	B
R28	2019	HorizonNet: Learning Room Layout with 1D Representation and Pano Stretch Data Augmentation	https://arxiv.org/abs/1901.03861	B
R29	2021	HoHoNet: 360 Indoor Holistic Understanding with Latent Horizontal Features	https://sunset1995.github.io/HoHoNet/	B
R30	2022	PSMNet: Position-Aware Stereo Merging Network for Room Layout Estimation	https://openaccess.thecvf.com/content/CVPR2022/html/Wang_PSMNet_Position-Aware_Stereo_Merging_Network_for_Room_Layout_Estimation_CVPR_2022_paper.html	B
R31	2021	Zillow Indoor Dataset: Annotated Floor Plans With 360° Panoramas and 3D Room Layouts	https://openaccess.thecvf.com/content/CVPR2021/html/Cruz_Zillow_Indoor_Dataset_Annotated_Floor_Plans_With_360deg_Panoramas_and_CVPR_2021_paper.html	B
R32	2018	PanoAnnotator: A Semi-Automatic Tool for Indoor Panorama Layout Annotation	https://cgv.cs.nthu.edu.tw/projects/panoannotator	B
R33	2021	Manhattan Room Layout Reconstruction from a Single 360° Image: A Comparative Study of State-of-the-Art Methods	https://arxiv.org/abs/1910.04099	B
R34	2024	No More Ambiguity in 360° Room Layout via Bi-Layout Estimation	https://arxiv.org/abs/2404.09993	A
R35	2012	Coverage-based rarefaction and extrapolation: standardizing samples by completeness rather than size	https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/11-1952.1	A
R36	2007	The pigeonhole bootstrap	https://arxiv.org/abs/0712.1111	B
R37	2021	Time-uniform, nonparametric, nonasymptotic confidence sequences	https://arxiv.org/abs/1810.08240	B
R38	2020	Confidence sequences for sampling without replacement	https://proceedings.neurips.cc/paper/2020/hash/e96c7de8f6390b1e6c71556e4e0a4959-Abstract.html	B
R39	1948	A Class of Statistics with Asymptotically Normal Distribution	https://doi.org/10.1214/aoms/1177730196	B
R40	2011	How social influence can undermine the wisdom of crowd effect	https://www.sg.ethz.ch/publications/2011/lorenz2011how-social-influence/	B
R41	1974	Reaching a Consensus	https://www.tandfonline.com/doi/abs/10.1080/01621459.1974.10480137	B
R42	2019	Human Uncertainty Makes Classification More Robust	https://openaccess.thecvf.com/content_ICCV_2019/html/Peterson_Human_Uncertainty_Makes_Classification_More_Robust_ICCV_2019_paper.html	B
R43	2007	Strictly Proper Scoring Rules, Prediction, and Estimation	https://doi.org/10.1198/016214506000001437	B
R44	1981	A Necessary and Sufficient Condition for Reaching a Consensus Using DeGroot’s Method	https://www.tandfonline.com/doi/abs/10.1080/01621459.1981.10477662	B
R45	2026	An Assessment of Human vs. Model Uncertainty in Soft-Label Learning and Calibration	https://arxiv.org/abs/2605.18648	A
