replicate,fixed_panel,independent_per_image
0,0.0394281115717,0.0388002219955
1,0.0423590513438,0.042693949188
2,0.0442837483481,0.0352626881307
3,0.0395183863246,0.0435055185692
4,0.0356307284493,0.042595062608
5,0.0374650051039,0.0434944405792
6,0.0370631825356,0.0417190827469
7,0.0439770977448,0.0391100726968
8,0.0425371271162,0.0436349114149
9,0.0436003798936,0.043843916835
10,0.0419185671278,0.044235528532
11,0.0431835112632,0.0453131263691
12,0.0404260158718,0.0402340532956
13,0.0426435329955,0.0376162595807
14,0.0402041741602,0.0421823362117
15,0.0363016505901,0.0448585788654
16,0.0425983003148,0.04315760652
17,0.0434410690618,0.0436987283234
18,0.0416590671523,0.0412782605621
19,0.0426546058055,0.0388324060235
20,0.0434396499243,0.0407428157478
21,0.0404097464219,0.0406081466168
22,0.0411633448449,0.0414616333773
23,0.0437211792636,0.0434702086809
24,0.0422999534396,0.041284866467
25,0.0442856414579,0.0430010230829
26,0.0407629351951,0.0446398392545
27,0.0381250692712,0.041281546899
28,0.0427188225687,0.0402340373341
29,0.0418873900597,0.0402457376061
30,0.0361620611407,0.043545011817
31,0.0415474592147,0.0380974723436
32,0.0410880527155,0.0412335889131
33,0.0423930913303,0.042700680884
34,0.0431844244502,0.0383864074341
35,0.0357122983404,0.040494306097
36,0.0381963970638,0.033262269424
37,0.0408679323171,0.043010239969
38,0.0430660068041,0.0424649053131
39,0.0462718615091,0.0382018515378
40,0.0414090501661,0.0431519521306
41,0.0448760886126,0.0424139356615
42,0.0441029773643,0.0416342860093
43,0.0415048218258,0.0450171021452
44,0.0417616116302,0.0422262842074
45,0.0382527756163,0.03995916876
46,0.0421491247138,0.0432448297028
47,0.0409112054839,0.0376124477791
48,0.0397949528142,0.0419785877696
49,0.040930316197,0.0434485669351
50,0.0397176712093,0.0449154876835
51,0.0406474465469,0.0417670102151
52,0.0421658333595,0.0428627158896
53,0.0354260119305,0.0435889767784
54,0.0440852800021,0.0403229676086
55,0.0437869690713,0.0453525139106
56,0.0425592726052,0.0380198895722
57,0.0432776134939,0.0391499025195
58,0.044614965187,0.0451912913406
59,0.040147352523,0.0441220044986
60,0.042851983693,0.0432109887324
61,0.0406181985648,0.039269362179
62,0.0375844048973,0.0358585736151
63,0.0463716443486,0.0411122462868
64,0.0414665920797,0.0442453708711
65,0.0441574547983,0.0406263797862
66,0.0413641262692,0.0358935613367
67,0.0406061645075,0.0439870108473
68,0.0416312847636,0.0379282232647
69,0.0436477426785,0.0410374503848
70,0.0451158156783,0.0413001388664
71,0.0393327959934,0.0444039724782
72,0.0385859955712,0.0365350358235
73,0.042264027274,0.0450419056054
74,0.0398553387334,0.037712759677
75,0.0420453172483,0.0367216150585
76,0.0392694800645,0.0351349915297
77,0.0442525997446,0.0383859617953
78,0.0387010457115,0.0392966098671
79,0.0387495705145,0.0417616116302
80,0.0381079221132,0.0391210864749
81,0.0410490190198,0.0450723243617
82,0.0375892809004,0.0411751923371
83,0.0416092782945,0.0427483334266
84,0.0423912738906,0.0399606595752
85,0.0409739552146,0.0455284691543
86,0.0436934623592,0.0442147519258
87,0.0407629351951,0.0434044180882
88,0.044183283495,0.0448240177362
89,0.0376182801916,0.039395982402
90,0.0437789556545,0.0366402188827
91,0.0425554888077,0.038607139284
92,0.04431803099,0.0423590402308
93,0.0428339782165,0.0449127874176
94,0.043060301178,0.0398819399952
95,0.0446796015925,0.0370003782397
96,0.0430685157659,0.0352771770213
97,0.045258279933,0.0438843295106
98,0.0378523898487,0.0369867964323
99,0.0402892744788,0.0392927037235
100,0.0415364882017,0.0414452887096
101,0.0401702368943,0.040828855418
102,0.0465796246738,0.0440091064696
103,0.0456205668541,0.0460178796797
104,0.0436696203832,0.0390700222266
105,0.0334205688566,0.0431722402384
106,0.0365794938921,0.0434245991173
107,0.0333343160599,0.041089903359
108,0.0407596559685,0.0433683414991
