replicate,fixed_panel,independent_per_image
0,0.113157240264,0.109533160892
1,0.112779698384,0.112819473078
2,0.11409341063,0.113192225256
3,0.116477595053,0.114931832107
4,0.114766794814,0.112748407082
5,0.10862099135,0.114006193822
6,0.114477836153,0.11173631936
7,0.111344935228,0.10970079014
8,0.109023265314,0.113787783748
9,0.11195666107,0.112473240081
10,0.111964876003,0.113206206106
11,0.112456343463,0.113082678635
12,0.112358341679,0.114956671374
13,0.108897279839,0.112207748131
14,0.107199292404,0.109862488085
15,0.116363149491,0.113574318181
16,0.11021521185,0.114757288459
17,0.115342700131,0.114024177572
18,0.107104327158,0.113478593333
19,0.113000998321,0.11262674181
20,0.112713893959,0.111604588679
21,0.112415418897,0.115792207245
22,0.107654926621,0.112284865255
23,0.113513863728,0.11348894183
24,0.112486348298,0.112940300792
25,0.110657539087,0.11195084682
26,0.11208487289,0.110978061702
27,0.111111325219,0.111523813707
28,0.112997281355,0.110450345708
29,0.115354521244,0.113687355832
30,0.112430445972,0.114022162535
31,0.112415418897,0.115255345887
32,0.115824896886,0.10920126001
33,0.109187166549,0.111136468237
34,0.110409764683,0.113929024054
35,0.110490169075,0.113313354506
36,0.108781734436,0.112409965042
37,0.110657539087,0.113646298824
38,0.114284055866,0.114227750049
39,0.112415418897,0.114710257509
40,0.114564844584,0.114440452792
41,0.115055117711,0.115531013046
42,0.114311990867,0.114592525541
43,0.102824994364,0.115072908982
44,0.105112867272,0.114281452431
45,0.110951014035,0.110414087386
46,0.115689781375,0.113213137573
47,0.112925150328,0.112471809415
48,0.1120648723,0.112509233322
49,0.112770105067,0.11353278204
50,0.108503420574,0.110423290522
51,0.112593456402,0.111412560172
52,0.115312225709,0.113158987512
53,0.116319639498,0.117557014211
54,0.114231244549,0.108593124515
55,0.113034265126,0.107592038698
56,0.112793268914,0.111443058948
57,0.116529002956,0.113943884492
58,0.110668550529,0.111029506354
59,0.115884859613,0.115005135883
60,0.107566783267,0.10882340707
61,0.116153711865,0.1130415581
62,0.107189862965,0.1128793522
63,0.111889319898,0.113803379212
64,0.11028313698,0.112714094144
65,0.109442394732,0.113800694416
66,0.111363856703,0.114631077092
67,0.112743768761,0.111590117274
68,0.108836523195,0.112664111448
69,0.110306036654,0.114558185668
70,0.115640179711,0.116264714763
71,0.109987908057,0.114028745966
72,0.108414943713,0.114844954277
73,0.112666979542,0.116331545916
74,0.113875113781,0.112836349986
75,0.115467540124,0.114430951711
76,0.116471631908,0.114487822491
77,0.106559683342,0.11312861097
78,0.117255767771,0.11546903187
79,0.103702653203,0.113515286981
80,0.116051264189,0.112734607082
81,0.112892387676,0.113345166349
82,0.116051264189,0.114366829572
83,0.114437405061,0.113561127101
84,0.1110700342,0.113579938465
85,0.110120500804,0.114474414777
86,0.116391860057,0.111926982985
87,0.110306036654,0.109722666241
88,0.11558919494,0.110853917841
89,0.115141653402,0.112507266422
90,0.111521280219,0.11368194558
91,0.115746833886,0.114406177733
92,0.115826102226,0.112578788053
93,0.112474521409,0.114768940037
94,0.112977139273,0.111477412533
95,0.108154586994,0.113255088508
96,0.110330670838,0.107992309755
97,0.110726198749,0.11518595413
98,0.107135254556,0.11575885173
99,0.111428592844,0.11420273617
100,0.114032709562,0.111002903746
101,0.116448030791,0.111482998543
102,0.111428592844,0.115978824197
103,0.110634190696,0.113942977769
104,0.112503210702,0.111331194661
105,0.104050002045,0.111139832722
106,0.109831703911,0.113761139653
107,0.109912336403,0.11602361579
108,0.115939272723,0.112871663031
109,0.111350738955,0.114428633638
110,0.115072069021,0.110548772078
111,0.108286135878,0.115657050316
112,0.111298920448,0.11286475564
113,0.115198909015,0.11481184502
114,0.116776030876,0.113735055806
115,0.108043219162,0.112888861154
116,0.108061612717,0.109874078504
117,0.112365503948,0.109676933228
118,0.115862630377,0.115160543006
119,0.110457774253,0.11425166843
120,0.115619401203,0.114709627356
121,0.116414385783,0.111102515353
122,0.114679183084,0.11556232128
123,0.109508065233,0.11097362702
124,0.113508453967,0.115498502514
125,0.11196977208,0.112330815569
126,0.109806725524,0.112653770719
127,0.114964839129,0.114345063299
128,0.113819110748,0.11475493605
129,0.115429218105,0.112634942324
130,0.116280190258,0.113878524414
131,0.114639200772,0.10902113492
132,0.11116849465,0.114340143579
133,0.115884859613,0.111941239022
134,0.112411508298,0.115082435393
135,0.109806725524,0.110361547887
136,0.114524194369,0.109704741535
137,0.111684556448,0.112714234598
138,0.110938541682,0.114354405226
139,0.103702653203,0.112970502942
140,0.109169955986,0.110358411414
141,0.11669437227,0.111321200401
142,0.112834063139,0.112342456834
143,0.113889564222,0.113778102163
144,0.115801703299,0.113571981636
145,0.113347287101,0.109641116317
146,0.116083926506,0.113609260655
147,0.112057289249,0.113911531997
148,0.114639200772,0.112779387622
149,0.112155069369,0.109211984946
150,0.1140713574,0.113777008768
151,0.114311990867,0.114818702306
152,0.113751365863,0.111138411198
