code,condition,view,metric,id_a,id_b,via,worker_a,worker_b,worker_via,direct,via_sum,excess
uNb9QFRL6hY-21,manual,human_correspondence,sphere,39f32d3182a9a449,8178591994d42ce3,a4e0cac5adec2e1e,W028,W006,W013,39.49122410760819,18.397402941417866,21.093821166190324
uNb9QFRL6hY-21,manual,human_correspondence,sphere,74051761f655b31b,a4e0cac5adec2e1e,8178591994d42ce3,W017,W013,W006,32.500090548979621,4.5926944531719638,27.907396095807655
uNb9QFRL6hY-21,manual,human_correspondence,sphere,a4e0cac5adec2e1e,c0243fb04589828e,8178591994d42ce3,W013,W021,W006,35.091955880107086,15.196051449722043,19.895904430385041
uNb9QFRL6hY-21,manual,human_correspondence,sphere,8178591994d42ce3,edbb02694073d0f8,a4e0cac5adec2e1e,W006,W008,W013,40.832023669337218,19.673146635520531,21.158877033816687
uNb9QFRL6hY-21,manual,human_correspondence,sphere,a4e0cac5adec2e1e,f4e3004912779c48,8178591994d42ce3,W013,W015,W006,35.091955880107086,15.196051449722043,19.895904430385041
uNb9QFRL6hY-21,manual,human_correspondence,image,39f32d3182a9a449,8178591994d42ce3,a4e0cac5adec2e1e,W028,W006,W013,116.33864816756532,67.403661709365835,48.934986458199489
uNb9QFRL6hY-21,manual,human_correspondence,image,74051761f655b31b,a4e0cac5adec2e1e,8178591994d42ce3,W017,W013,W006,92.567282100867502,14.43562503273756,78.13165706812994
uNb9QFRL6hY-21,manual,human_correspondence,image,a4e0cac5adec2e1e,c0243fb04589828e,8178591994d42ce3,W013,W021,W006,101.20921011037905,45.013761229575678,56.195448880803369
uNb9QFRL6hY-21,manual,human_correspondence,image,8178591994d42ce3,edbb02694073d0f8,a4e0cac5adec2e1e,W006,W008,W013,120.26483564979375,70.668928281942101,49.595907367851645
uNb9QFRL6hY-21,manual,human_correspondence,image,a4e0cac5adec2e1e,f4e3004912779c48,8178591994d42ce3,W013,W015,W006,101.20921011037905,45.013761229575678,56.195448880803369
